"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.954,626,100,95.376
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.784,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.859,162,92.424,93.44
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.809,10,89.394,91.36
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.781,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.807,20,88.06,92.634
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.749,495,93.665,81.225
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.719,495,83.333,88.56
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.812,495,93.939,87.28
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.847,434,95.455,89.2
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.844,534,91.045,93.355
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.759,495,88.06,87.83
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.905,70,97.738,92.614
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.807,20,92.424,87.92
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.902,89,96.97,93.28
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.835,10,98.485,84.56
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.832,129,88.06,95.036
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.823,30,92.537,89.512
