"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,495,100,100
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",1,500,100,100
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.8,495,100,80
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",1,495,100,100
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.8,495,93.333,86.667
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.933,495,93.333,100
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.867,874,93.333,93.333
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.8,495,100,80
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.8,980,100,80
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.933,495,93.333,100
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",1,495,100,100
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.867,495,86.667,100
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.933,495,93.333,100
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.933,374,93.333,100
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",1,495,100,100
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.867,495,93.333,93.333
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",1,0,100,0
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.933,126,93.333,100
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.933,490,100,93.333
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.933,495,93.333,100
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.933,495,100,93.333
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.867,495,100,86.667
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",1,495,100,100
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.934,419,98.361,95.082
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.933,495,100,93.333
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",1,398,100,100
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.8,495,100,80
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.867,495,86.667,100
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.867,495,86.667,100
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.933,464,100,93.333
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.933,495,100,93.333
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.933,793,93.333,100
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.933,495,100,93.333
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",1,91,100,100
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.933,495,93.333,100
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.867,899,86.667,100
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.933,495,93.333,100
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.933,848,93.333,100
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.933,495,93.333,100
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.933,81,100,93.333
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.8,495,100,80
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.933,40,100,93.333
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.933,495,93.333,100
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.933,990,93.333,100
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.967,247,98.361,98.361
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.934,247,95.082,98.361
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.933,247,100,93.333
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.933,350,100,93.333
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.933,247,100,93.333
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.933,257,93.333,100
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.867,247,93.333,93.333
