"rand1.GALEOCERDO.CUVIER_PA1_RUN1_GAM","rand2.GALEOCERDO.CUVIER_PA1_RUN1_GAM","rand3.GALEOCERDO.CUVIER_PA1_RUN1_GAM","rand4.GALEOCERDO.CUVIER_PA1_RUN1_GAM","rand5.GALEOCERDO.CUVIER_PA1_RUN1_GAM","rand1.GALEOCERDO.CUVIER_PA1_RUN1_GLM","rand2.GALEOCERDO.CUVIER_PA1_RUN1_GLM","rand3.GALEOCERDO.CUVIER_PA1_RUN1_GLM","rand4.GALEOCERDO.CUVIER_PA1_RUN1_GLM","rand5.GALEOCERDO.CUVIER_PA1_RUN1_GLM","rand1.GALEOCERDO.CUVIER_PA1_RUN1_MAXENT.Phillips","rand2.GALEOCERDO.CUVIER_PA1_RUN1_MAXENT.Phillips","rand3.GALEOCERDO.CUVIER_PA1_RUN1_MAXENT.Phillips","rand4.GALEOCERDO.CUVIER_PA1_RUN1_MAXENT.Phillips","rand5.GALEOCERDO.CUVIER_PA1_RUN1_MAXENT.Phillips","rand1.GALEOCERDO.CUVIER_PA1_RUN2_GAM","rand2.GALEOCERDO.CUVIER_PA1_RUN2_GAM","rand3.GALEOCERDO.CUVIER_PA1_RUN2_GAM","rand4.GALEOCERDO.CUVIER_PA1_RUN2_GAM","rand5.GALEOCERDO.CUVIER_PA1_RUN2_GAM","rand1.GALEOCERDO.CUVIER_PA1_RUN2_GLM","rand2.GALEOCERDO.CUVIER_PA1_RUN2_GLM","rand3.GALEOCERDO.CUVIER_PA1_RUN2_GLM","rand4.GALEOCERDO.CUVIER_PA1_RUN2_GLM","rand5.GALEOCERDO.CUVIER_PA1_RUN2_GLM","rand1.GALEOCERDO.CUVIER_PA1_RUN2_MAXENT.Phillips","rand2.GALEOCERDO.CUVIER_PA1_RUN2_MAXENT.Phillips","rand3.GALEOCERDO.CUVIER_PA1_RUN2_MAXENT.Phillips","rand4.GALEOCERDO.CUVIER_PA1_RUN2_MAXENT.Phillips","rand5.GALEOCERDO.CUVIER_PA1_RUN2_MAXENT.Phillips","rand1.GALEOCERDO.CUVIER_PA1_RUN3_GAM","rand2.GALEOCERDO.CUVIER_PA1_RUN3_GAM","rand3.GALEOCERDO.CUVIER_PA1_RUN3_GAM","rand4.GALEOCERDO.CUVIER_PA1_RUN3_GAM","rand5.GALEOCERDO.CUVIER_PA1_RUN3_GAM","rand1.GALEOCERDO.CUVIER_PA1_RUN3_GLM","rand2.GALEOCERDO.CUVIER_PA1_RUN3_GLM","rand3.GALEOCERDO.CUVIER_PA1_RUN3_GLM","rand4.GALEOCERDO.CUVIER_PA1_RUN3_GLM","rand5.GALEOCERDO.CUVIER_PA1_RUN3_GLM","rand1.GALEOCERDO.CUVIER_PA1_RUN3_MAXENT.Phillips","rand2.GALEOCERDO.CUVIER_PA1_RUN3_MAXENT.Phillips","rand3.GALEOCERDO.CUVIER_PA1_RUN3_MAXENT.Phillips","rand4.GALEOCERDO.CUVIER_PA1_RUN3_MAXENT.Phillips","rand5.GALEOCERDO.CUVIER_PA1_RUN3_MAXENT.Phillips","rand1.GALEOCERDO.CUVIER_PA1_RUN4_GAM","rand2.GALEOCERDO.CUVIER_PA1_RUN4_GAM","rand3.GALEOCERDO.CUVIER_PA1_RUN4_GAM","rand4.GALEOCERDO.CUVIER_PA1_RUN4_GAM","rand5.GALEOCERDO.CUVIER_PA1_RUN4_GAM","rand1.GALEOCERDO.CUVIER_PA1_RUN4_GLM","rand2.GALEOCERDO.CUVIER_PA1_RUN4_GLM","rand3.GALEOCERDO.CUVIER_PA1_RUN4_GLM","rand4.GALEOCERDO.CUVIER_PA1_RUN4_GLM","rand5.GALEOCERDO.CUVIER_PA1_RUN4_GLM","rand1.GALEOCERDO.CUVIER_PA1_RUN4_MAXENT.Phillips","rand2.GALEOCERDO.CUVIER_PA1_RUN4_MAXENT.Phillips","rand3.GALEOCERDO.CUVIER_PA1_RUN4_MAXENT.Phillips","rand4.GALEOCERDO.CUVIER_PA1_RUN4_MAXENT.Phillips","rand5.GALEOCERDO.CUVIER_PA1_RUN4_MAXENT.Phillips","rand1.GALEOCERDO.CUVIER_PA1_RUN5_GAM","rand2.GALEOCERDO.CUVIER_PA1_RUN5_GAM","rand3.GALEOCERDO.CUVIER_PA1_RUN5_GAM","rand4.GALEOCERDO.CUVIER_PA1_RUN5_GAM","rand5.GALEOCERDO.CUVIER_PA1_RUN5_GAM","rand1.GALEOCERDO.CUVIER_PA1_RUN5_GLM","rand2.GALEOCERDO.CUVIER_PA1_RUN5_GLM","rand3.GALEOCERDO.CUVIER_PA1_RUN5_GLM","rand4.GALEOCERDO.CUVIER_PA1_RUN5_GLM","rand5.GALEOCERDO.CUVIER_PA1_RUN5_GLM","rand1.GALEOCERDO.CUVIER_PA1_RUN5_MAXENT.Phillips","rand2.GALEOCERDO.CUVIER_PA1_RUN5_MAXENT.Phillips","rand3.GALEOCERDO.CUVIER_PA1_RUN5_MAXENT.Phillips","rand4.GALEOCERDO.CUVIER_PA1_RUN5_MAXENT.Phillips","rand5.GALEOCERDO.CUVIER_PA1_RUN5_MAXENT.Phillips","rand1.GALEOCERDO.CUVIER_PA1_Full_GAM","rand2.GALEOCERDO.CUVIER_PA1_Full_GAM","rand3.GALEOCERDO.CUVIER_PA1_Full_GAM","rand4.GALEOCERDO.CUVIER_PA1_Full_GAM","rand5.GALEOCERDO.CUVIER_PA1_Full_GAM","rand1.GALEOCERDO.CUVIER_PA1_Full_GLM","rand2.GALEOCERDO.CUVIER_PA1_Full_GLM","rand3.GALEOCERDO.CUVIER_PA1_Full_GLM","rand4.GALEOCERDO.CUVIER_PA1_Full_GLM","rand5.GALEOCERDO.CUVIER_PA1_Full_GLM","rand1.GALEOCERDO.CUVIER_PA1_Full_MAXENT.Phillips","rand2.GALEOCERDO.CUVIER_PA1_Full_MAXENT.Phillips","rand3.GALEOCERDO.CUVIER_PA1_Full_MAXENT.Phillips","rand4.GALEOCERDO.CUVIER_PA1_Full_MAXENT.Phillips","rand5.GALEOCERDO.CUVIER_PA1_Full_MAXENT.Phillips"
0.632368,0.630748,0.573287,0.512252,0.749224,0.297594,0.311053,0.337073,0.309557,0.287433,0.600413,0.663898,0.720883,0.707058,0.640149,0.786516,0.741969,0.719167,0.753597,0.786755,0.152127,0.180281,0.142888,0.145831,0.16773,0.634246,0.717532,0.71388,0.74203,0.734236,0.689823,0.759212,0.778318,0.747226,0.728855,0.459625,0.479637,0.510089,0.463258,0.488054,0.565129,0.589516,0.586515,0.532049,0.623645,0.840862,0.857392,0.884389,0.857567,0.848811,0.281403,0.295378,0.321503,0.337885,0.31534,0.483427,0.61929,0.548106,0.571908,0.603642,0.962372,0.952298,0.971183,0.977031,0.960745,0.669146,0.704454,0.689407,0.713988,0.643883,0.500844,0.537143,0.428853,0.470516,0.566274,0.634201,0.499967,0.550962,0.527781,0.558374,0.874626,0.885787,0.830328,0.897688,0.881367,0.606193,0.637127,0.567673,0.603398,0.596343
0.463147,0.418813,0.41279,0.523262,0.329174,0.322454,0.321308,0.317366,0.310931,0.331878,0.43899,0.437756,0.41557,0.402405,0.429103,0.68465,0.679706,0.684709,0.673658,0.683671,0.316529,0.327458,0.342616,0.337547,0.326687,0.100392,0.097391,0.088216,0.104718,0.0820419999999999,0.862315,0.851599,0.861001,0.869287,0.871147,0.681928,0.71603,0.713548,0.714545,0.709425,0,0,0,0,0,0.794317,0.76352,0.836658,0.786776,0.835236,0.505813,0.486494,0.510934,0.500144,0.518766,0.000295000000000045,0.000295999999999963,0.000279000000000029,0.000267000000000017,0.000253999999999976,0.805641,0.789353,0.807409,0.793516,0.7872,0.544927,0.542736,0.52291,0.525555,0.539377,0.00147399999999998,0.00122599999999995,0.00187599999999999,0.00106700000000004,0.00125299999999995,0.654561,0.655628,0.648506,0.644482,0.645928,0.753806,0.730071,0.698674,0.766884,0.772571,0.000568000000000013,0.000662999999999969,0.000770999999999966,0.000697999999999976,0.000645000000000007
0.877239,0.893179,0.852584,0.8428,0.910381,0.977042,0.939604,0.944228,0.913602,0.936509,0.975652,0.890591,0.873773,0.974918,0.939491,0.568385,0.605377,0.595582,0.51693,0.582432,0.874023,0.851162,0.869387,0.844659,0.850426,0.54021,0.512915,0.488963,0.534935,0.452349,0.876534,0.849629,0.84632,0.82494,0.890033,0.265597,0.278679,0.276138,0.23068,0.261817,0.610815,0.589103,0.603712,0.671336,0.704395,0.937725,0.903312,0.925122,0.92624,0.932946,1,0.976591,1,1,1,0.643319,0.548277,0.636214,0.650761,0.576517,0.18867,0.19762,0.200153,0.193746,0.186634,0.890402,0.857115,0.869967,0.929572,0.894039,0.740138,0.719535,0.70833,0.584765,0.608328,0.893091,0.889764,0.843082,0.947257,0.86971,0.356353,0.331185,0.345852,0.351477,0.362335,0.564394,0.669311,0.556797,0.572902,0.541657
0.622227,0.664072,0.582517,0.670588,0.629259,0.658263,0.657637,0.647024,0.675353,0.643481,0.731716,0.686984,0.746246,0.708459,0.716979,0.572995,0.520898,0.552412,0.548292,0.626065,0.952387,0.941633,0.913347,0.947109,0.91982,0.012147,0.013429,0.015428,0.012764,0.0154570000000001,0.693888,0.718158,0.680754,0.662553,0.706999,0,0,0,0,0,0.013199,0.0136309999999999,0.01214,0.014692,0.0131559999999999,0.907776,0.849431,0.860228,0.840908,0.861695,1,1,1,1,1,0.135738,0.176717,0.161874,0.168537,0.129858,0.85134,0.856739,0.864488,0.859224,0.893328,0,0,0,0,0,0.128216,0.127045,0.12583,0.117763,0.107939,0.687714,0.719235,0.744955,0.776617,0.736862,0.64618,0.641863,0.668988,0.675124,0.648439,0.172122,0.181845,0.175502,0.178548,0.184865
0.909252,0.930069,0.95821,0.941229,0.92696,0.878002,0.867224,0.881313,0.852469,0.873164,0.902926,0.877929,0.91624,0.900958,0.878498,0.95082,0.95574,0.917328,0.948544,0.938332,0.815165,0.817987,0.801215,0.81396,0.822344,0,0,0,0,0,0.992778,1,1,0.966376,0.997075,0.886046,0.862091,0.864076,0.888737,0.875606,0,0,0,0,0,1,1,1,1,1,0.108371,0.110984,0.116223,0.0996939999999999,0.116597,0,0,0,0,0,0.999059,1,0.991031,1,1,0.889873,0.885938,0.879078,0.90965,0.892668,0,0,0,0,0,0.983362,1,0.987973,0.987877,0.974356,1,1,1,1,1,0,0,0,0,0
0.793379,0.762061,0.778883,0.772496,0.744513,0,0,0,0,0,0.531358,0.552838,0.54376,0.542947,0.549594,0.442575,0.38012,0.447474,0.482075,0.446011,0.218974,0.257319,0.226158,0.219497,0.209088,0.106811,0.125177,0.126325,0.122149,0.12419,0.763465,0.774456,0.766241,0.779155,0.769004,0.948407,0.963166,0.941693,0.948629,0.923003,0.705719,0.679629,0.634546,0.658722,0.575438,0.582016,0.588624,0.590267,0.614562,0.588566,0,0,0,0,0,0.044198,0.0434639999999999,0.043622,0.044023,0.045466,0.574417,0.564184,0.602509,0.580132,0.53182,0,0,0,0,0,0.218384,0.273449,0.244494,0.232171,0.224725,0.72134,0.712946,0.723953,0.698339,0.708232,0,0,0,0,0,0.116676,0.097752,0.122172,0.11254,0.121355
0.521335,0.620253,0.575008,0.641954,0.619174,0,0,0,0,0,0,0,0,0,0,0.738778,0.771754,0.735235,0.780304,0.750513,0,0,0,0,0,0,0,0,0,0,0.619855,0.625323,0.622731,0.621607,0.629416,0.796901,0.816012,0.820794,0.81228,0.823573,0,0,0,0,0,0.6602,0.677397,0.663981,0.653546,0.677347,0,0,0,0,0,0,0,0,0,0,0.285318,0.246732,0.302825,0.274688,0.272028,0,0,0,0,0,0.00258100000000006,0.00319100000000005,0.00366900000000003,0.00324400000000002,0.00239699999999998,0.66498,0.639868,0.683885,0.591976,0.623855,0.768016,0.772412,0.752564,0.75067,0.769508,0,0,0,0,0
0.741304,0.744494,0.723291,0.717448,0.774496,0,0,0,0,0,0.023433,0.024979,0.0228699999999999,0.024938,0.02928,0.745404,0.803839,0.79171,0.821886,0.811835,0.815171,0.818626,0.816404,0.803748,0.828986,0,0,0,0,0,0.487072,0.474556,0.503854,0.488159,0.472783,0,0,0,0,0,0,0,0,0,0,0.851297,0.850934,0.84145,0.839434,0.856372,0.719065,0.732285,0.745627,0.735889,0.758146,0,0,0,0,0,0.809885,0.811371,0.823112,0.819384,0.813521,0.505358,0.521554,0.527421,0.514374,0.537827,0,0,0,0,0,0.546975,0.563164,0.528242,0.562543,0.570639,0.829256,0.837238,0.864025,0.837514,0.813482,0,0,0,0,0
0.232777,0.269742,0.26168,0.22459,0.25443,0,0,0,0,0,0.233059,0.156849,0.245315,0.162888,0.232952,0.501578,0.514129,0.577856,0.562754,0.589908,0.434823,0.370516,0.433159,0.384731,0.412127,0.053937,0.034541,0.049053,0.042344,0.036037,0.589137,0.610753,0.59872,0.549916,0.524112,0,0,0,0,0,0.025613,0.032529,0.031844,0.030386,0.0283679999999999,0.341539,0.362125,0.405894,0.349886,0.313186,0.710626,0.705495,0.703082,0.719049,0.728948,0.00319000000000003,0.00250399999999995,0.00361900000000004,0.00312800000000002,0.00288999999999995,0.617807,0.622979,0.675448,0.621806,0.624499,0.276408,0.298339,0.296445,0.27406,0.290961,0,0,0,0,0,0.481652,0.448904,0.478113,0.4843,0.470584,0.243436,0.257586,0.230818,0.24146,0.22985,0.015338,0.014337,0.007108,0.010426,0.015101
0.501186,0.473367,0.519537,0.58575,0.506543,0.351762,0.364593,0.36859,0.364529,0.376894,0.285285,0.303142,0.348129,0.339293,0.29551,0.39214,0.436665,0.462581,0.451164,0.451051,0.493738,0.492082,0.476519,0.498277,0.508996,0.00629199999999996,0.00688999999999995,0.00585199999999997,0.00610900000000003,0.00569299999999995,0.578887,0.640946,0.541699,0.627657,0.525903,0.458945,0.461381,0.446696,0.458785,0.470038,0.00673900000000005,0.00564799999999999,0.00616399999999995,0.007637,0.006081,0.690373,0.701809,0.613613,0.647966,0.640463,0.394668,0.373395,0.370769,0.373305,0.382477,0.0391629999999999,0.0350510000000001,0.034135,0.036141,0.041306,0.761157,0.774894,0.747023,0.763866,0.762508,0.510293,0.495218,0.516296,0.513119,0.503219,0.052522,0.03812,0.040789,0.0430739999999999,0.052115,0.392947,0.425823,0.443654,0.464632,0.447996,0.496252,0.500927,0.520026,0.517679,0.507078,0.00125699999999995,0.00121400000000005,0.00114300000000001,0.000889999999999946,0.00107299999999999
