"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.78,505,97.716,80.288
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.775,505,97.957,79.567
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.794,501,96.759,82.629
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.784,278,97.685,80.751
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.767,560,98.598,78.14
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.75,570,97.653,77.315
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.779,151,99.537,78.404
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.809,261,99.065,81.86
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.777,363,97.664,80
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.78,106,98.14,79.907
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.764,186,100,76.389
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.748,604,94.419,80.374
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.786,667,98.598,80
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.766,290,99.535,77.103
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.734,115,98.605,74.766
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.763,558,95.794,80.465
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.753,603,94.419,80.374
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.75,576,97.183,77.778
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.783,341,98.618,79.717
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.819,165,98.598,83.256
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.771,522,96.744,80.374
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.832,343,98.131,85.116
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.768,539.5,97.236,79.567
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.763,515,98.077,78.245
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.789,468,96.759,82.16
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.789,383.5,98.148,80.751
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.772,667,97.664,79.535
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.754,737,96.714,78.241
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.78,493,96.759,81.221
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.814,440,98.598,82.791
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.781,320,98.131,80
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.79,401,97.674,81.308
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.764,228,100,76.389
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.757,547,98.605,77.103
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.786,635,99.065,79.535
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.762,576,98.605,77.57
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.738,207,99.07,74.766
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.758,638,98.598,77.209
