"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.998,970,100,99.76
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.326,747,33.333,99.279
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.656,232,66.667,98.958
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.657,0,100,0
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.478,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.823,775,90.909,91.408
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.744,770,83.333,91.106
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.661,990,66.667,99.359
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.913,782,100,91.346
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.745,814,83.333,91.186
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.629,0,100,0
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.902,27,100,90.006
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.887,17,100,88.462
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.88,8,100,87.66
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.97,259,100,97.035
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.884,9,100,88.141
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.901,18,100,89.904
