"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.992,500,100,99.242
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",1,495,100,100
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.848,495,97.297,87.5
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.871,495,97.368,89.744
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.613,495,92.105,69.231
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.875,490,100,87.5
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.716,10,79.487,92.105
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.922,960,97.368,94.872
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.742,495,89.189,85
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.792,495,89.474,89.744
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.791,0,100,0
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.689,495,82.051,86.842
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.744,5,100,74.359
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.923,500,97.297,95
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.789,793,100,78.947
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.845,298,97.368,87.179
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.843,495,89.474,94.872
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.821,475,94.595,87.5
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.74,0,100,0
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.845,495,97.368,87.179
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.818,449.5,92.308,89.474
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.871,20,94.595,92.5
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.902,762.5,96.212,93.939
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.955,692,99.242,96.212
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.659,495,78.378,87.5
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.818,20,92.105,89.744
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.923,72.5,100,92.308
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.925,495,100,92.5
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.871,273,89.744,97.368
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.872,101,100,87.179
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.846,0,100,0
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.923,212,100,92.308
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.897,806,97.368,92.308
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.922,556,97.436,94.737
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.897,495,100,89.744
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.923,0,100,0
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.789,495,100,78.947
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.921,283,92.105,100
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.974,799,100,97.436
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.848,495,97.297,87.5
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.845,25,97.368,87.179
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.844,495,92.105,92.308
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.717,495,76.923,94.737
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.896,5,94.595,95
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.894,115,97.727,91.667
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.939,79,99.242,94.697
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.9,713.5,100,90
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.922,162,97.368,94.872
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.819,198.5,94.737,87.179
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.9,260,100,90
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.713,599.5,89.744,81.579
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.871,55.5,97.368,89.744
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.773,403,97.297,80
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.897,39,100,89.744
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.872,447,100,87.179
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.921,7,100,86.842
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.897,215,100,89.744
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.875,24,100,87.5
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.739,806,92.308,81.579
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.948,24,97.368,97.436
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.769,19,97.368,79.487
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.848,678,97.297,87.5
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.845,424,97.368,87.179
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.923,182,100,92.308
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.844,487,92.308,92.105
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.823,571,97.297,85
