"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.965,293,100,96.46
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.982,495,100,98.23
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.724,0,100,0
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.803,404,95.312,85
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.887,990,96.774,91.935
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.773,0,100,0
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.855,5,92.063,93.443
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.841,495,89.062,95
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.806,0,100,0
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.822,30,92.063,90.164
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.871,0,100,0
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.854,20,95.238,90.164
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.903,495,95.238,95.082
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.645,879,84.127,80.328
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.71,0,100,0
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.823,0,100,0
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.823,0,100,0
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.823,495,90.625,91.667
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.821,0,100,0
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.822,495,92.188,90
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.823,0,100,0
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.854,0,100,0
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.912,729,98.23,92.92
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.92,646,96.018,96.018
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.918,783,100,91.803
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.772,495,92.188,85
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.903,759,96.774,93.548
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.821,628,96.825,85.246
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.903,594,96.825,93.443
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.905,677,92.188,98.333
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.886,523,96.825,91.803
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.855,687,92.063,93.443
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.918,615,96.923,94.915
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.886,439,96.825,91.803
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.919,691,98.413,93.443
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.82,405,100,81.967
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.887,769,95.238,93.443
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.871,510,98.387,88.71
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.871,752,96.774,90.323
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.886,343,95.312,93.333
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.935,737,96.875,96.667
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.884,318,98.438,90
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.903,764,95.161,95.161
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.951,586,98.413,96.721
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.907,192.5,96.018,94.69
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.858,387,91.15,94.69
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.886,402,98.413,90.164
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.852,550,96.875,88.333
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.855,100,91.935,93.548
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.821,125,95.238,86.885
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.903,339,96.825,93.443
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.818,58,98.438,83.333
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.855,439,93.651,91.803
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.87,120,95.238,91.803
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.871,195,93.846,93.22
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.838,370,93.651,90.164
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.663,465.5,77.778,88.525
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.757,303,90.476,85.246
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.789,0,100,0
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.839,462.5,90.323,93.548
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.839,0,100,0
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.855,108.5,92.188,93.333
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.839,269,92.188,91.667
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.743,557,85.938,88.333
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.855,46,93.548,91.935
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.822,278.5,93.651,88.525
