"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByTSS_mergedAlgo_RUN1_PA1","KAPPA",0.887,NA,384,95.238,93.443
"2","EMmeanByTSS_mergedAlgo_RUN1_PA1","TSS",0.887,NA,384,95.238,93.443
"3","EMmeanByTSS_mergedAlgo_RUN1_PA1","ROC",0.969,NA,381,95.238,93.443
"4","EMmeanByTSS_mergedAlgo_RUN2_PA1","KAPPA",0.887,NA,541,96.774,91.935
"5","EMmeanByTSS_mergedAlgo_RUN2_PA1","TSS",0.887,NA,541,96.774,91.935
"6","EMmeanByTSS_mergedAlgo_RUN2_PA1","ROC",0.96,NA,554.5,96.774,91.935
"7","EMmeanByTSS_mergedAlgo_RUN3_PA1","KAPPA",0.871,NA,396,95.161,91.935
"8","EMmeanByTSS_mergedAlgo_RUN3_PA1","TSS",0.871,NA,396,95.161,91.935
"9","EMmeanByTSS_mergedAlgo_RUN3_PA1","ROC",0.947,NA,392,95.161,91.935
"10","EMmeanByTSS_mergedAlgo_RUN4_PA1","KAPPA",0.887,NA,556,96.875,91.667
"11","EMmeanByTSS_mergedAlgo_RUN4_PA1","TSS",0.885,NA,556,96.875,91.667
"12","EMmeanByTSS_mergedAlgo_RUN4_PA1","ROC",0.959,NA,557,96.875,91.667
"13","EMmeanByTSS_mergedAlgo_RUN5_PA1","KAPPA",0.887,NA,557,96.825,91.803
"14","EMmeanByTSS_mergedAlgo_RUN5_PA1","TSS",0.886,NA,557,96.825,91.803
"15","EMmeanByTSS_mergedAlgo_RUN5_PA1","ROC",0.974,NA,559.5,96.825,91.803
"16","EMmeanByTSS_mergedAlgo_RUN6_PA1","KAPPA",0.903,NA,430,96.875,93.333
"17","EMmeanByTSS_mergedAlgo_RUN6_PA1","TSS",0.902,NA,430,96.875,93.333
"18","EMmeanByTSS_mergedAlgo_RUN6_PA1","ROC",0.978,NA,427.5,96.875,93.333
"19","EMmeanByTSS_mergedAlgo_RUN7_PA1","KAPPA",0.919,NA,438,96.825,95.082
"20","EMmeanByTSS_mergedAlgo_RUN7_PA1","TSS",0.919,NA,438,96.825,95.082
"21","EMmeanByTSS_mergedAlgo_RUN7_PA1","ROC",0.976,NA,442.5,96.825,95.082
"22","EMmeanByTSS_mergedAlgo_RUN8_PA1","KAPPA",0.887,NA,109,100,88.71
"23","EMmeanByTSS_mergedAlgo_RUN8_PA1","TSS",0.887,NA,109,100,88.71
"24","EMmeanByTSS_mergedAlgo_RUN8_PA1","ROC",0.959,NA,110,100,88.71
"25","EMmeanByTSS_mergedAlgo_RUN9_PA1","KAPPA",0.806,NA,229,95.161,85.484
"26","EMmeanByTSS_mergedAlgo_RUN9_PA1","TSS",0.806,NA,229,95.161,85.484
"27","EMmeanByTSS_mergedAlgo_RUN9_PA1","ROC",0.917,NA,229,95.161,85.484
"28","EMmeanByTSS_mergedAlgo_RUN10_PA1","KAPPA",0.887,NA,88,98.387,90.323
"29","EMmeanByTSS_mergedAlgo_RUN10_PA1","TSS",0.887,NA,88,98.387,90.323
"30","EMmeanByTSS_mergedAlgo_RUN10_PA1","ROC",0.972,NA,90.5,98.387,90.323
"31","EMmeanByTSS_mergedAlgo_Full_PA1","KAPPA",0.969,NA,575,98.23,98.673
"32","EMmeanByTSS_mergedAlgo_Full_PA1","TSS",0.969,NA,575,98.23,98.673
"33","EMmeanByTSS_mergedAlgo_Full_PA1","ROC",0.999,NA,487.5,98.673,98.23
"34","EMmeanByTSS_mergedAlgo_RUN1_PA2","KAPPA",0.871,NA,448,95.312,91.667
"35","EMmeanByTSS_mergedAlgo_RUN1_PA2","TSS",0.87,NA,448,95.312,91.667
"36","EMmeanByTSS_mergedAlgo_RUN1_PA2","ROC",0.971,NA,448.5,95.312,91.667
"37","EMmeanByTSS_mergedAlgo_RUN2_PA2","KAPPA",0.855,NA,479,93.651,91.803
"38","EMmeanByTSS_mergedAlgo_RUN2_PA2","TSS",0.855,NA,479,93.651,91.803
"39","EMmeanByTSS_mergedAlgo_RUN2_PA2","ROC",0.969,NA,477,93.651,91.803
"40","EMmeanByTSS_mergedAlgo_RUN3_PA2","KAPPA",0.935,NA,460.5,98.413,95.082
"41","EMmeanByTSS_mergedAlgo_RUN3_PA2","TSS",0.935,NA,460.5,98.413,95.082
"42","EMmeanByTSS_mergedAlgo_RUN3_PA2","ROC",0.979,NA,460,98.413,95.082
"43","EMmeanByTSS_mergedAlgo_RUN4_PA2","KAPPA",0.886,NA,553,98.462,89.831
"44","EMmeanByTSS_mergedAlgo_RUN4_PA2","TSS",0.883,NA,553,98.462,89.831
"45","EMmeanByTSS_mergedAlgo_RUN4_PA2","ROC",0.962,NA,554.5,98.462,89.831
"46","EMmeanByTSS_mergedAlgo_RUN5_PA2","KAPPA",0.935,NA,98,98.413,95.082
"47","EMmeanByTSS_mergedAlgo_RUN5_PA2","TSS",0.935,NA,98,98.413,95.082
"48","EMmeanByTSS_mergedAlgo_RUN5_PA2","ROC",0.978,NA,97.5,98.413,95.082
"49","EMmeanByTSS_mergedAlgo_RUN6_PA2","KAPPA",0.855,NA,491,92.188,93.333
"50","EMmeanByTSS_mergedAlgo_RUN6_PA2","TSS",0.855,NA,491,92.188,93.333
"51","EMmeanByTSS_mergedAlgo_RUN6_PA2","ROC",0.971,NA,570.5,90.625,95
"52","EMmeanByTSS_mergedAlgo_RUN7_PA2","KAPPA",0.919,NA,195,100,91.667
"53","EMmeanByTSS_mergedAlgo_RUN7_PA2","TSS",0.917,NA,195,100,91.667
"54","EMmeanByTSS_mergedAlgo_RUN7_PA2","ROC",0.971,NA,198.5,100,91.667
"55","EMmeanByTSS_mergedAlgo_RUN8_PA2","KAPPA",0.968,NA,376.5,100,96.721
"56","EMmeanByTSS_mergedAlgo_RUN8_PA2","TSS",0.967,NA,376.5,100,96.721
"57","EMmeanByTSS_mergedAlgo_RUN8_PA2","ROC",0.995,NA,380.5,100,96.721
"58","EMmeanByTSS_mergedAlgo_RUN9_PA2","KAPPA",0.903,NA,531.5,95.312,95
"59","EMmeanByTSS_mergedAlgo_RUN9_PA2","TSS",0.903,NA,531.5,95.312,95
"60","EMmeanByTSS_mergedAlgo_RUN9_PA2","ROC",0.956,NA,532,95.312,95
"61","EMmeanByTSS_mergedAlgo_RUN10_PA2","KAPPA",0.919,NA,612,95.238,96.721
"62","EMmeanByTSS_mergedAlgo_RUN10_PA2","TSS",0.92,NA,612,95.238,96.721
"63","EMmeanByTSS_mergedAlgo_RUN10_PA2","ROC",0.982,NA,601.5,98.413,95.082
"64","EMmeanByTSS_mergedAlgo_Full_PA2","KAPPA",0.969,NA,341,100,96.903
"65","EMmeanByTSS_mergedAlgo_Full_PA2","TSS",0.969,NA,341,100,96.903
"66","EMmeanByTSS_mergedAlgo_Full_PA2","ROC",0.998,NA,342.5,100,96.903
