"GAM.RUN1.PA1","GLM.RUN1.PA1","MAXENT.Phillips.RUN1.PA1","GAM.RUN2.PA1","GLM.RUN2.PA1","MAXENT.Phillips.RUN2.PA1","GAM.RUN3.PA1","GLM.RUN3.PA1","MAXENT.Phillips.RUN3.PA1","GAM.RUN4.PA1","GLM.RUN4.PA1","MAXENT.Phillips.RUN4.PA1","GAM.RUN5.PA1","GLM.RUN5.PA1","MAXENT.Phillips.RUN5.PA1","GAM.RUN6.PA1","GLM.RUN6.PA1","MAXENT.Phillips.RUN6.PA1","GAM.RUN7.PA1","GLM.RUN7.PA1","MAXENT.Phillips.RUN7.PA1","GAM.RUN8.PA1","GLM.RUN8.PA1","MAXENT.Phillips.RUN8.PA1","GAM.RUN9.PA1","GLM.RUN9.PA1","MAXENT.Phillips.RUN9.PA1","GAM.RUN10.PA1","GLM.RUN10.PA1","MAXENT.Phillips.RUN10.PA1","GAM.Full.PA1","GLM.Full.PA1","MAXENT.Phillips.Full.PA1","GAM.RUN1.PA2","GLM.RUN1.PA2","MAXENT.Phillips.RUN1.PA2","GAM.RUN2.PA2","GLM.RUN2.PA2","MAXENT.Phillips.RUN2.PA2","GAM.RUN3.PA2","GLM.RUN3.PA2","MAXENT.Phillips.RUN3.PA2","GAM.RUN4.PA2","GLM.RUN4.PA2","MAXENT.Phillips.RUN4.PA2","GAM.RUN5.PA2","GLM.RUN5.PA2","MAXENT.Phillips.RUN5.PA2","GAM.RUN6.PA2","GLM.RUN6.PA2","MAXENT.Phillips.RUN6.PA2","GAM.RUN7.PA2","GLM.RUN7.PA2","MAXENT.Phillips.RUN7.PA2","GAM.RUN8.PA2","GLM.RUN8.PA2","MAXENT.Phillips.RUN8.PA2","GAM.RUN9.PA2","GLM.RUN9.PA2","MAXENT.Phillips.RUN9.PA2","GAM.RUN10.PA2","GLM.RUN10.PA2","MAXENT.Phillips.RUN10.PA2","GAM.Full.PA2","GLM.Full.PA2","MAXENT.Phillips.Full.PA2"
0.299,0.545,0.271,0.172,0.844,0.41,0.466,0.479,0.458,0.438,0.822,0.665,0.038,0.833,0.217,0.525,0.812,0.447,0.28,0.766,0.434,NA,0.706,0.398,0.043,0.397,0.11,0.506,0.444,0.501,0.38,0.742,0.36,0.448,0.74,0.226,0.784,0.987,0.398,NA,0.62,0.195,0.536,0.396,0.676,0.118,0.636,0.5,0.577,0.836,0.537,0.032,0.809,0.756,0.482,0.409,0.245,NA,0.388,0.254,0.076,0.866,0.387,0.087,0.67,0.214
0.287,0,0,0.25,0,0.01,0.283,0,0,0.314,0,0.04,0.446,0,0.011,0.484,0,0,0.436,0,0,NA,0,0,0.23,0,0.013,0.298,0,0.014,0.382,0,0.001,0.15,0.221,0,0.042,0,0,NA,0,0,0.371,0,0,0.485,0,0,0.341,0,0,0.267,0,0,0.255,0,0.005,NA,0,0.016,0.487,0,0,0.391,0,0.01
0.408,0,0.008,0.118,0,0.009,0,0,0.023,0.518,0,0,0.458,0,0,0.377,0,0.031,0.314,0,0,NA,0,0,0.351,0,0.02,0.187,0,0.003,0.392,0,0,0.479,0.391,0.043,0.424,0,0,NA,0,0,0.465,0,0,0.757,0,0,0.296,0,0,0.396,0,0.018,0.419,0,0.016,NA,0,0.022,0.783,0,0,0.449,0,0.006
0.161,0,0.045,0.486,0.127,0.172,0.322,0.145,0.096,0.13,0.073,0.033,0.453,0.082,0.172,0.366,0,0.02,0.685,0,0.02,NA,0.144,0.001,0.366,0,0,0.423,0.093,0.051,0.409,0.137,0.075,0.377,0.308,0.312,0.254,0,0.051,NA,0.232,0.184,0.342,0.215,0.147,0.485,0.249,0.031,0.284,0.102,0.107,0.256,0.219,0,0.301,0.115,0.106,NA,0.207,0.087,0.29,0.113,0.112,0.293,0.258,0.333
0.064,0.253,0.108,0.056,0,0.08,0.138,0.267,0.042,0.318,0,0.06,0.158,0,0.148,0.412,0,0.028,0.427,0.049,0.143,NA,0,0.286,0.319,0.067,0.33,0.405,0.329,0.153,0.129,0,0.144,0.33,0,0.111,0.092,0,0.124,NA,0,0.177,0.09,0.245,0.033,0.237,0,0.156,0.1,0,0.032,0.225,0,0.006,0.365,0,0.088,NA,0.394,0.076,0.16,0,0.003,0.238,0,0.093
0.226,0,0,0.204,0,0.001,0.419,0,0,0.385,0,0.013,0.468,0,0,0.094,0,0,0.351,0,0,NA,0.048,0,0.541,0,0.01,0.105,0.038,0.004,0.281,0,0.014,0.46,0.173,0.095,0.365,0,0.021,NA,0.215,0.026,0.207,0.197,0,0.256,0.21,0.168,0.231,0,0.007,0.279,0.164,0.001,0.319,0.344,0.015,NA,0.357,0.028,0.285,0.092,0,0.356,0.213,0.044
0.49,0,0.04,0.648,0,0.015,0.395,0,0,0.084,0,0.143,0.225,0,0.069,0.274,0,0.052,0.224,0,0.022,NA,0,0.062,0.203,0,0.037,0.198,0,0.034,0.562,0,0.08,0.103,0,0.004,0.361,0,0.001,NA,0,0.01,0.229,0,0.011,0.463,0,0.023,0.425,0,0,0.285,0,0.031,0.33,0,0.024,NA,0,0.007,0.151,0,0.007,0.341,0,0.006
0.316,0.088,0.09,0.434,0.042,0.134,0.289,0.031,0.004,0.259,0.061,0.077,0.465,0.053,0.112,0.23,0,0.091,0.234,0.112,0.061,NA,0,0.01,0.294,0,0,0.28,0,0.08,0.263,0.082,0.114,0.352,0.234,0.042,0.335,0.038,0,NA,0.165,0.008,0.235,0.143,0,0.405,0.165,0.016,0.173,0.067,0.03,0.276,0.223,0,0.299,0.26,0.012,NA,0.42,0.037,0.416,0.237,0.011,0.412,0.137,0.021
0,0,0,0.591,0,0.033,0.374,0,0.061,0.508,0,0,0.559,0,0,0.361,0,0,0.341,0,0.018,NA,0,0,0.663,0,0.027,0.277,0,0,0.344,0,0.01,0.293,0,0.019,0.373,0,0,NA,0,0.027,0.447,0,0.01,0.433,0,0,0.569,0,0,0.497,0,0.046,0.494,0,0,NA,0,0,0.279,0,0.021,0.508,0,0.016
0.313,0,0.039,0.61,0,0.023,0.162,0,0.059,0.277,0,0.002,0.227,0,0.053,0.667,0,0.065,0.186,0,0.067,NA,0,0.073,0.332,0,0.048,0.057,0,0.042,0.317,0,0.041,0.657,0,0.057,0.264,0,0.018,NA,0,0.033,0.227,0,0,0.291,0,0,0.583,0,0.013,0.011,0,0,0.324,0,0.011,NA,0,0,0.301,0,0.007,0.158,0,0.022
