"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.905,505,97.929,92.604
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.956,434,99.704,95.858
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.845,30,96.703,87.778
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.834,0,100,0
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.933,237,97.826,95.506
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.845,66,95.604,88.889
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.854,131,98.913,86.517
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.912,758,93.478,97.753
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.912,712,95.699,95.455
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.845,5,92.391,92.135
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.843,152,95.699,88.636
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.89,455,93.478,95.506
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.899,187,96.809,93.103
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",NA,NA,NA,NA
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.865,313,96.774,89.773
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.867,51,97.802,88.889
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.789,561,96.703,82.222
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.833,0,100,0
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.855,71,94.681,90.805
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.878,561,94.681,93.103
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.855,61,97.826,87.64
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.482,495,72.043,76.136
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.885,405,98.225,90.237
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.911,308,98.817,92.308
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.867,150,98.901,87.778
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.9,434,95.652,94.382
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.933,359,98.913,94.382
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.911,444,98.901,92.222
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.877,724,97.826,89.888
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.814,495,84.783,96.629
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.922,778,97.849,94.318
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.922,318,97.826,94.382
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.91,389,98.925,92.045
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.911,687,97.826,93.258
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.932,389,98.936,94.253
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.867,202,98.901,87.778
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.865,81,97.849,88.636
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.945,783,98.901,95.556
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.834,783,95.604,87.778
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.869,495,90.323,96.591
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.886,266,98.936,89.655
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.787,495,93.617,85.057
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.888,220,98.913,89.888
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.77,495,84.946,92.045
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.876,207.5,93.195,94.379
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.899,678,89.941,100
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.834,0,100,0
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.856,280.5,93.478,92.135
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.856,134,93.478,92.135
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.868,577,92.308,94.444
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.843,56,97.826,86.517
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.891,852,91.304,97.753
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.834,273,92.473,90.909
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.91,163,98.913,92.135
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.824,383,89.247,93.182
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.878,183,94.565,93.258
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.846,186.5,91.489,93.103
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.835,841,89.011,94.444
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.725,61.5,83.871,88.636
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.9,66,95.604,94.444
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.779,594,89.011,88.889
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.879,191.5,93.548,94.318
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.886,9,98.936,88.506
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.834,493.5,92.553,90.805
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.855,70.5,96.739,88.764
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.846,153.5,91.398,93.182
