"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByTSS_mergedAlgo_RUN1_PA1","KAPPA",0.889,NA,621,96.703,92.135
"2","EMmeanByTSS_mergedAlgo_RUN1_PA1","TSS",0.888,NA,621,96.703,92.135
"3","EMmeanByTSS_mergedAlgo_RUN1_PA1","ROC",0.971,NA,621,96.703,92.135
"4","EMmeanByTSS_mergedAlgo_RUN2_PA1","KAPPA",0.867,NA,397,97.802,88.764
"5","EMmeanByTSS_mergedAlgo_RUN2_PA1","TSS",0.866,NA,397,97.802,88.764
"6","EMmeanByTSS_mergedAlgo_RUN2_PA1","ROC",0.944,NA,398.5,97.802,88.764
"7","EMmeanByTSS_mergedAlgo_RUN3_PA1","KAPPA",0.878,NA,477,98.901,88.764
"8","EMmeanByTSS_mergedAlgo_RUN3_PA1","TSS",0.877,NA,477,98.901,88.764
"9","EMmeanByTSS_mergedAlgo_RUN3_PA1","ROC",0.947,NA,475.5,98.901,88.764
"10","EMmeanByTSS_mergedAlgo_RUN4_PA1","KAPPA",0.833,NA,551,96.703,86.517
"11","EMmeanByTSS_mergedAlgo_RUN4_PA1","TSS",0.832,NA,551,96.703,86.517
"12","EMmeanByTSS_mergedAlgo_RUN4_PA1","ROC",0.92,NA,548.5,96.703,86.517
"13","EMmeanByTSS_mergedAlgo_RUN5_PA1","KAPPA",0.789,NA,496,90.323,88.506
"14","EMmeanByTSS_mergedAlgo_RUN5_PA1","TSS",0.788,NA,496,90.323,88.506
"15","EMmeanByTSS_mergedAlgo_RUN5_PA1","ROC",0.911,NA,496.5,90.323,88.506
"16","EMmeanByTSS_mergedAlgo_RUN6_PA1","KAPPA",0.855,NA,507,98.901,86.517
"17","EMmeanByTSS_mergedAlgo_RUN6_PA1","TSS",0.854,NA,507,98.901,86.517
"18","EMmeanByTSS_mergedAlgo_RUN6_PA1","ROC",0.942,NA,507.5,98.901,86.517
"19","EMmeanByTSS_mergedAlgo_RUN7_PA1","KAPPA",0.855,NA,374,95.604,89.888
"20","EMmeanByTSS_mergedAlgo_RUN7_PA1","TSS",0.855,NA,374,95.604,89.888
"21","EMmeanByTSS_mergedAlgo_RUN7_PA1","ROC",0.947,NA,378.5,95.604,89.888
"22","EMmeanByTSS_mergedAlgo_RUN8_PA1","KAPPA",0.833,NA,301,97.778,85.556
"23","EMmeanByTSS_mergedAlgo_RUN8_PA1","TSS",0.833,NA,494,96.667,86.667
"24","EMmeanByTSS_mergedAlgo_RUN8_PA1","ROC",0.959,NA,496,96.667,86.667
"25","EMmeanByTSS_mergedAlgo_RUN9_PA1","KAPPA",0.855,NA,339,98.901,86.517
"26","EMmeanByTSS_mergedAlgo_RUN9_PA1","TSS",0.854,NA,339,98.901,86.517
"27","EMmeanByTSS_mergedAlgo_RUN9_PA1","ROC",0.927,NA,338.5,98.901,86.517
"28","EMmeanByTSS_mergedAlgo_RUN10_PA1","KAPPA",0.81,NA,147,97.826,82.955
"29","EMmeanByTSS_mergedAlgo_RUN10_PA1","TSS",0.808,NA,147,97.826,82.955
"30","EMmeanByTSS_mergedAlgo_RUN10_PA1","ROC",0.932,NA,150.5,97.826,82.955
"31","EMmeanByTSS_mergedAlgo_Full_PA1","KAPPA",0.893,NA,565,97.337,92.012
"32","EMmeanByTSS_mergedAlgo_Full_PA1","TSS",0.893,NA,565,97.337,92.012
"33","EMmeanByTSS_mergedAlgo_Full_PA1","ROC",0.99,NA,564,97.337,92.012
"34","EMmeanByTSS_mergedAlgo_RUN1_PA2","KAPPA",0.878,NA,388,96.703,91.011
"35","EMmeanByTSS_mergedAlgo_RUN1_PA2","TSS",0.877,NA,388,96.703,91.011
"36","EMmeanByTSS_mergedAlgo_RUN1_PA2","ROC",0.961,NA,386.5,96.703,91.011
"37","EMmeanByTSS_mergedAlgo_RUN2_PA2","KAPPA",0.9,NA,378,97.802,92.135
"38","EMmeanByTSS_mergedAlgo_RUN2_PA2","TSS",0.899,NA,378,97.802,92.135
"39","EMmeanByTSS_mergedAlgo_RUN2_PA2","ROC",0.958,NA,380,97.802,92.135
"40","EMmeanByTSS_mergedAlgo_RUN3_PA2","KAPPA",0.878,NA,320,98.901,88.764
"41","EMmeanByTSS_mergedAlgo_RUN3_PA2","TSS",0.877,NA,320,98.901,88.764
"42","EMmeanByTSS_mergedAlgo_RUN3_PA2","ROC",0.967,NA,321,98.901,88.764
"43","EMmeanByTSS_mergedAlgo_RUN4_PA2","KAPPA",0.866,NA,443,97.872,88.372
"44","EMmeanByTSS_mergedAlgo_RUN4_PA2","TSS",0.862,NA,443,97.872,88.372
"45","EMmeanByTSS_mergedAlgo_RUN4_PA2","ROC",0.948,NA,440.5,97.872,88.372
"46","EMmeanByTSS_mergedAlgo_RUN5_PA2","KAPPA",0.878,NA,421,98.901,88.764
"47","EMmeanByTSS_mergedAlgo_RUN5_PA2","TSS",0.877,NA,421,98.901,88.764
"48","EMmeanByTSS_mergedAlgo_RUN5_PA2","ROC",0.954,NA,419.5,98.901,88.764
"49","EMmeanByTSS_mergedAlgo_RUN6_PA2","KAPPA",0.867,NA,386,96.703,89.888
"50","EMmeanByTSS_mergedAlgo_RUN6_PA2","TSS",0.866,NA,386,96.703,89.888
"51","EMmeanByTSS_mergedAlgo_RUN6_PA2","ROC",0.926,NA,385,96.703,89.888
"52","EMmeanByTSS_mergedAlgo_RUN7_PA2","KAPPA",0.867,NA,397,95.604,91.011
"53","EMmeanByTSS_mergedAlgo_RUN7_PA2","TSS",0.866,NA,397,95.604,91.011
"54","EMmeanByTSS_mergedAlgo_RUN7_PA2","ROC",0.949,NA,396,95.604,91.011
"55","EMmeanByTSS_mergedAlgo_RUN8_PA2","KAPPA",0.822,NA,498,95.652,86.364
"56","EMmeanByTSS_mergedAlgo_RUN8_PA2","TSS",0.82,NA,498,95.652,86.364
"57","EMmeanByTSS_mergedAlgo_RUN8_PA2","ROC",0.94,NA,499.5,95.652,86.364
"58","EMmeanByTSS_mergedAlgo_RUN9_PA2","KAPPA",0.9,NA,188,100,90
"59","EMmeanByTSS_mergedAlgo_RUN9_PA2","TSS",0.9,NA,188,100,90
"60","EMmeanByTSS_mergedAlgo_RUN9_PA2","ROC",0.975,NA,183.5,100,90
"61","EMmeanByTSS_mergedAlgo_RUN10_PA2","KAPPA",0.867,NA,491,95.604,91.011
"62","EMmeanByTSS_mergedAlgo_RUN10_PA2","TSS",0.866,NA,491,95.604,91.011
"63","EMmeanByTSS_mergedAlgo_RUN10_PA2","ROC",0.947,NA,494,95.604,91.011
"64","EMmeanByTSS_mergedAlgo_Full_PA2","KAPPA",0.888,NA,472,96.45,91.716
"65","EMmeanByTSS_mergedAlgo_Full_PA2","TSS",0.888,NA,472,96.45,91.716
"66","EMmeanByTSS_mergedAlgo_Full_PA2","ROC",0.98,NA,447.5,97.041,91.716
