"GAM.RUN1.PA1","GLM.RUN1.PA1","MAXENT.Phillips.RUN1.PA1","GAM.RUN2.PA1","GLM.RUN2.PA1","MAXENT.Phillips.RUN2.PA1","GAM.RUN3.PA1","GLM.RUN3.PA1","MAXENT.Phillips.RUN3.PA1","GAM.RUN4.PA1","GLM.RUN4.PA1","MAXENT.Phillips.RUN4.PA1","GAM.RUN5.PA1","GLM.RUN5.PA1","MAXENT.Phillips.RUN5.PA1","GAM.RUN6.PA1","GLM.RUN6.PA1","MAXENT.Phillips.RUN6.PA1","GAM.RUN7.PA1","GLM.RUN7.PA1","MAXENT.Phillips.RUN7.PA1","GAM.RUN8.PA1","GLM.RUN8.PA1","MAXENT.Phillips.RUN8.PA1","GAM.RUN9.PA1","GLM.RUN9.PA1","MAXENT.Phillips.RUN9.PA1","GAM.RUN10.PA1","GLM.RUN10.PA1","MAXENT.Phillips.RUN10.PA1","GAM.Full.PA1","GLM.Full.PA1","MAXENT.Phillips.Full.PA1","GAM.RUN1.PA2","GLM.RUN1.PA2","MAXENT.Phillips.RUN1.PA2","GAM.RUN2.PA2","GLM.RUN2.PA2","MAXENT.Phillips.RUN2.PA2","GAM.RUN3.PA2","GLM.RUN3.PA2","MAXENT.Phillips.RUN3.PA2","GAM.RUN4.PA2","GLM.RUN4.PA2","MAXENT.Phillips.RUN4.PA2","GAM.RUN5.PA2","GLM.RUN5.PA2","MAXENT.Phillips.RUN5.PA2","GAM.RUN6.PA2","GLM.RUN6.PA2","MAXENT.Phillips.RUN6.PA2","GAM.RUN7.PA2","GLM.RUN7.PA2","MAXENT.Phillips.RUN7.PA2","GAM.RUN8.PA2","GLM.RUN8.PA2","MAXENT.Phillips.RUN8.PA2","GAM.RUN9.PA2","GLM.RUN9.PA2","MAXENT.Phillips.RUN9.PA2","GAM.RUN10.PA2","GLM.RUN10.PA2","MAXENT.Phillips.RUN10.PA2","GAM.Full.PA2","GLM.Full.PA2","MAXENT.Phillips.Full.PA2"
0.638,0.885,0.694,0.357,0.587,0.462,0.824,0.946,0.522,0.46,0.702,0.547,0.439,0.477,0.514,0.851,0.477,0.693,0.506,0.621,0.36,0.232,0.605,0.697,0.614,0.576,0.267,0.38,0.466,0.538,0.576,0.617,0.784,0.241,0.247,0.551,0.553,0.558,0.46,0.096,0.29,0.413,0.089,0.206,0.286,0.849,0.254,0.512,0.033,0.37,0.227,0.031,0.569,0.547,0.253,0.291,0.374,0.235,0.399,0.573,0.015,0.499,0.495,0.165,0.421,0.516
0.028,0,0.28,0.321,0,0.049,0.108,0,0,0.084,0,0.022,0.022,0,0,0.032,0,0.108,0.1,0,0.067,0.225,0.16,0.066,0.159,0,0.006,0.16,0,0,0.017,0,0.041,0.138,0,0.053,0.122,0,0.038,0.112,0,0.027,0.165,0,0,0.183,0,0.02,0.193,0,0.012,0.139,0,0,0.047,0,0,0.018,0,0,0.145,0,0.07,0.117,0,0
0.634,0,0.022,0.238,0,0.034,0.607,0,0.005,0.247,0,0,0.542,0,0,0.417,0,0.064,0.333,0,0.068,0.006,0,0.003,0.004,0,0,0.04,0,0.012,0.446,0,0.067,0.841,0,0.112,0.487,0,0.213,0.882,0.36,0.303,0.781,0,0.074,0.538,0.303,0.157,0.666,0.522,0.171,0.462,0,0.006,0.254,0,0.02,0.812,0,0.083,0.444,0.172,0.103,0.898,0,0.125
0.126,0,0.08,0.299,0.277,0.147,0.092,0,0.032,0.145,0,0.001,0.212,0,0.034,0.008,0,0.136,0.207,0,0.124,0.155,0,0.21,0.101,0,0,0.031,0,0.014,0.001,0,0.091,0.087,0,0.01,0.147,0,0.09,0.169,0,0.13,0.059,0,0.141,0.137,0,0.08,0.093,0.158,0.032,0.144,0,0.002,0.197,0,0.002,0.183,0,0.003,0.125,0,0.105,0.167,0,0.016
0.322,0,0.06,0.229,0,0.194,0.35,0,0.07,0.275,0.147,0.194,0.206,0.209,0.231,0.353,0.2,0.243,0.299,0.206,0.264,0.362,0.116,0.184,0.283,0.072,0.34,0.198,0.257,0.224,0.145,0.133,0.154,0.156,0.145,0.214,0.147,0.213,0.25,0.414,0.376,0.216,0.548,0.302,0.317,0.336,0.348,0.38,0.461,0.261,0.224,0.121,0.207,0.058,0.268,0.061,0.164,0.303,0.334,0.088,0.324,0.183,0.147,0.369,0.234,0.212
0.037,0,0.041,0.366,0.03,0.061,0.11,0,0,0.123,0,0.109,0.287,0,0.038,0.245,0,0.156,0.382,0,0.155,0.108,0,0.168,0.352,0,0.018,0.295,0,0.102,0,0,0.109,0.47,0,0.043,0.136,0,0.035,0.284,0,0.027,0.243,0,0.103,0.234,0,0,0.082,0,0.055,0.145,0,0,0.337,0,0,0.073,0,0.023,0.285,0,0.044,0.283,0,0.057
0.034,0,0.045,0.26,0.044,0.054,0.089,0,0.004,0.123,0,0.056,0.219,0,0.01,0.141,0,0.071,0.324,0,0.004,0.117,0,0.031,0.019,0,0,0.103,0,0.073,0.051,0,0.052,0.035,0,0.013,0.053,0,0.134,0.051,0,0.095,0.131,0,0.029,0.027,0,0.015,0.039,0,0.051,0.021,0,0.026,0.091,0,0.095,0.048,0,0.051,0.017,0,0.021,0.004,0,0.038
0.097,0.133,0.185,0.093,0,0.079,0.05,0.058,0.025,0.156,0.058,0.067,0.228,0.093,0.002,0.183,0.149,0.088,0.253,0.041,0.138,0.069,0,0.084,0.227,0.013,0.027,0.115,0.074,0.018,0.008,0.112,0.134,0.089,0.048,0.103,0.047,0.11,0.157,0.131,0,0.108,0.061,0.071,0.067,0.111,0,0.147,0.076,0,0.119,0.096,0.069,0.084,0.146,0.087,0.085,0.051,0.112,0.078,0.145,0,0.2,0.154,0.079,0.082
0.094,0,0.066,0.45,0.043,0.081,0.241,0,0.001,0.286,0,0.019,0.241,0.091,0.043,0.069,0.097,0.034,0.713,0.033,0.021,0.024,0,0.098,0.031,0,0.015,0.047,0.035,0.029,0.098,0,0.073,0.239,0,0.053,0.001,0,0.059,0.011,0,0.071,0.021,0,0,0.065,0,0,0.052,0,0.122,0.01,0,0,0.098,0,0,0.003,0,0.006,0.001,0,0.019,0.002,0,0.012
0.069,0,0.006,0.505,0,0.014,0.011,0,0,0.18,0,0.002,0.58,0.653,0.024,0.173,0.859,0.028,0.326,0,0.016,0.003,0,0.03,0.035,0,0.004,0.446,0.104,0.023,0,0.043,0.019,0.292,0.357,0.183,0.129,0.038,0.268,0.231,0,0.171,0.048,0.043,0.278,0.249,0,0.086,0.071,0,0.127,0.114,0.029,0.021,0.372,0.077,0.016,0.255,0.043,0.035,0.141,0,0.057,0.228,0.035,0.15
