"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",NA,NA,NA,NA
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",NA,NA,NA,NA
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",NA,NA,NA,NA
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",NA,NA,NA,NA
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",NA,NA,NA,NA
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",NA,NA,NA,NA
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",NA,NA,NA,NA
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",NA,NA,NA,NA
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",NA,NA,NA,NA
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",NA,NA,NA,NA
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",NA,NA,NA,NA
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",NA,NA,NA,NA
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",NA,NA,NA,NA
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",NA,NA,NA,NA
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",NA,NA,NA,NA
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",NA,NA,NA,NA
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",NA,NA,NA,NA
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",NA,NA,NA,NA
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",NA,NA,NA,NA
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",NA,NA,NA,NA
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",NA,NA,NA,NA
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.689,495,91.111,77.778
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.956,424,100,95.556
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.717,101,84.211,87.5
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.941,495,100,94.118
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",1,495,100,100
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.885,495,94.737,93.75
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.941,320.5,100,94.118
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.464,495,52.632,93.75
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.938,332,100,93.75
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.929,495,100,92.857
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.69,495,90.476,78.571
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.933,362,100,93.333
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.76,495,94.737,81.25
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.938,0,100,0
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.817,495,95,86.667
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.875,404,100,87.5
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.933,409,100,93.333
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.882,495,100,88.235
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",1,495,100,100
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.875,495,100,87.5
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.938,261,100,93.75
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.938,0,100,0
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.956,247,97.778,97.778
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.911,652,91.111,100
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.875,247,100,87.5
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.709,321.5,94.444,76.471
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.882,247,100,88.235
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.875,247,100,87.5
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.886,247,94.444,94.118
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.822,318,94.737,87.5
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.875,259,100,87.5
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.738,383,95.238,78.571
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.857,260,100,85.714
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.783,275,85,93.333
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.875,307,100,87.5
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.832,422.5,89.474,93.75
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.867,247,100,86.667
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.77,310,89.474,87.5
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.933,259,100,93.333
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.824,247,100,82.353
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",1,252,100,100
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.707,247,89.474,81.25
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.938,247,100,93.75
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.832,511.5,89.474,93.75
