"rand1.HAPLOBLEPHARUS.FUSCUS_PA1_RUN1_GLM","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_RUN1_GLM","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_RUN1_GLM","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_RUN1_GLM","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_RUN1_GLM","rand1.HAPLOBLEPHARUS.FUSCUS_PA1_RUN1_MAXENT.Phillips","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_RUN1_MAXENT.Phillips","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_RUN1_MAXENT.Phillips","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_RUN1_MAXENT.Phillips","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_RUN1_MAXENT.Phillips","rand1.HAPLOBLEPHARUS.FUSCUS_PA1_RUN2_GLM","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_RUN2_GLM","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_RUN2_GLM","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_RUN2_GLM","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_RUN2_GLM","rand1.HAPLOBLEPHARUS.FUSCUS_PA1_RUN2_MAXENT.Phillips","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_RUN2_MAXENT.Phillips","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_RUN2_MAXENT.Phillips","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_RUN2_MAXENT.Phillips","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_RUN2_MAXENT.Phillips","rand1.HAPLOBLEPHARUS.FUSCUS_PA1_RUN3_GLM","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_RUN3_GLM","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_RUN3_GLM","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_RUN3_GLM","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_RUN3_GLM","rand1.HAPLOBLEPHARUS.FUSCUS_PA1_RUN3_MAXENT.Phillips","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_RUN3_MAXENT.Phillips","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_RUN3_MAXENT.Phillips","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_RUN3_MAXENT.Phillips","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_RUN3_MAXENT.Phillips","rand1.HAPLOBLEPHARUS.FUSCUS_PA1_RUN4_GLM","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_RUN4_GLM","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_RUN4_GLM","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_RUN4_GLM","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_RUN4_GLM","rand1.HAPLOBLEPHARUS.FUSCUS_PA1_RUN4_MAXENT.Phillips","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_RUN4_MAXENT.Phillips","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_RUN4_MAXENT.Phillips","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_RUN4_MAXENT.Phillips","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_RUN4_MAXENT.Phillips","rand1.HAPLOBLEPHARUS.FUSCUS_PA1_RUN5_GLM","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_RUN5_GLM","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_RUN5_GLM","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_RUN5_GLM","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_RUN5_GLM","rand1.HAPLOBLEPHARUS.FUSCUS_PA1_RUN5_MAXENT.Phillips","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_RUN5_MAXENT.Phillips","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_RUN5_MAXENT.Phillips","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_RUN5_MAXENT.Phillips","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_RUN5_MAXENT.Phillips","rand1.HAPLOBLEPHARUS.FUSCUS_PA1_Full_GAM","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_Full_GAM","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_Full_GAM","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_Full_GAM","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_Full_GAM","rand1.HAPLOBLEPHARUS.FUSCUS_PA1_Full_GLM","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_Full_GLM","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_Full_GLM","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_Full_GLM","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_Full_GLM","rand1.HAPLOBLEPHARUS.FUSCUS_PA1_Full_MAXENT.Phillips","rand2.HAPLOBLEPHARUS.FUSCUS_PA1_Full_MAXENT.Phillips","rand3.HAPLOBLEPHARUS.FUSCUS_PA1_Full_MAXENT.Phillips","rand4.HAPLOBLEPHARUS.FUSCUS_PA1_Full_MAXENT.Phillips","rand5.HAPLOBLEPHARUS.FUSCUS_PA1_Full_MAXENT.Phillips"
0.322823,0.347314,0.325254,0.335526,0.319466,0.777906,0.805058,0.765366,0.78997,0.768737,0.858029,0.864513,0.851939,0.922326,0.810613,0.599022,0.641596,0.625234,0.630943,0.671936,0.179169,0.18551,0.193513,0.196734,0.190273,0.736394,0.853836,0.759704,0.718497,0.752259,0.234162,0.263466,0.304235,0.260472,0.260472,0.662099,0.677815,0.764935,0.646973,0.643041,0.586561,0.589885,0.580869,0.586188,0.584308,0.818104,0.818453,0.781946,0.848195,0.828398,0.823676,0.895699,0.806476,0.769383,0.819385,0.862646,0.784842,0.829896,0.781422,0.824746,0.783164,0.728304,0.732203,0.63284,0.762854
0.735157,0.711954,0.735554,0.773001,0.739791,0.242044,0.278526,0.255947,0.248306,0.272139,0,0,0,0,0,0.00666900000000004,0.00701600000000002,0.00629800000000003,0.00782000000000005,0.00721400000000005,0.640834,0.629195,0.660154,0.637693,0.636756,0.012238,0.016494,0.017128,0.0183219999999999,0.016791,0,0,0,0,0,0.00341000000000002,0.00492700000000001,0.005664,0.00365000000000004,0.00519499999999995,0.358008,0.366092,0.370931,0.392977,0.379532,0.00886699999999996,0.010758,0.014769,0.012363,0.008135,0.816483,0.82306,0.855499,0.77886,0.820638,0.125614,0.131007,0.153173,0.119324,0.115967,0.0128,0.017306,0.011361,0.015224,0.020161
0.995517,0.993801,0.98693,0.990521,1,0.527068,0.431377,0.434385,0.515972,0.416283,0.638052,0.743547,0.711774,0.65551,0.672835,0.627167,0.658318,0.700637,0.648211,0.672723,0.847186,0.905252,0.838846,0.870059,0.850078,0.59436,0.53184,0.59356,0.528312,0.616113,0,0,0,0,0,0.657936,0.578816,0.592255,0.551552,0.559753,1,1,1,1,1,0.57048,0.497528,0.543875,0.499194,0.531112,0.647193,0.755683,0.71232,0.552696,0.652185,0.610194,0.605051,0.586744,0.578268,0.629139,0.564454,0.530868,0.528266,0.550635,0.546498
0.522226,0.521087,0.545839,0.524986,0.536036,0,0,0,0,0,0.495581,0.475611,0.478276,0.490857,0.481181,0,0,0,0,0,0.829969,0.821837,0.804843,0.845695,0.825352,0,0,0,0,0,0.710498,0.706294,0.684885,0.695294,0.711683,0,0,0,0,0,0.868679,0.859559,0.879524,0.8825,0.849731,0,0,0,0,0,0.848939,0.834301,0.843681,0.862187,0.852354,0.442128,0.4386,0.450162,0.460012,0.462565,0.145746,0.14172,0.138134,0.142905,0.151852
0.186408,0.183812,0.203273,0.207165,0.228661,0,0,0,0,0,0.529967,0.500163,0.572787,0.486406,0.519669,0.043465,0.038203,0.0398770000000001,0.039691,0.056743,0.842028,0.82152,0.83218,0.844756,0.829491,0.048868,0.051424,0.0528690000000001,0.060176,0.051943,0.853379,0.859847,0.868197,0.852186,0.870166,0.161064,0.159267,0.153624,0.155581,0.15562,0.467308,0.452084,0.425908,0.433237,0.495112,0.043699,0.041893,0.043289,0.041843,0.0449270000000001,0.789845,0.768886,0.795682,0.82695,0.734561,0,0,0,0,0,0.047907,0.047098,0.045852,0.040338,0.047041
0,0,0,0,0,0,0,0,0,0,0.431353,0.418798,0.414469,0.413853,0.439707,0.177782,0.184369,0.197973,0.177804,0.205048,0.929218,0.933764,0.946303,0.940873,0.963606,0,0,0,0,0,0.416585,0.421826,0.422932,0.443417,0.429776,0,0,0,0,0,0.330381,0.334456,0.303472,0.333263,0.34419,0.074832,0.0745749999999999,0.065002,0.072097,0.075841,0.81531,0.810809,0.819778,0.804892,0.788858,0.226998,0.255232,0.226812,0.257358,0.240881,0,0,0,0,0
0.824609,0.842906,0.802315,0.808061,0.832248,0,0,0,0,0,0.720834,0.747687,0.697279,0.786076,0.721549,0.236163,0.232995,0.216435,0.226129,0.227976,0.687909,0.749017,0.728343,0.691764,0.742782,0.09476,0.118574,0.134876,0.097342,0.111469,0.956286,0.950601,0.944795,0.963584,0.948819,0,0,0,0,0,0.990586,0.983493,0.992423,0.957134,0.999752,0,0,0,0,0,0.825764,0.892098,0.866167,0.864437,0.845705,0.563961,0.603068,0.64087,0.623248,0.647411,0.281356,0.297023,0.285065,0.278583,0.271333
0.763011,0.779891,0.770803,0.798227,0.760351,0.265516,0.313616,0.306157,0.299968,0.304872,0.39803,0.370165,0.390469,0.379759,0.376037,0.041581,0.03764,0.045152,0.042544,0.04606,0.982395,0.981482,0.953583,0.985278,1,0,0,0,0,0,0.150773,0.10028,0.136644,0.144898,0.154858,0.20309,0.214219,0.22688,0.208621,0.18699,0.971296,0.97433,0.982685,0.968998,0.989117,0.269757,0.266407,0.262633,0.21926,0.235068,0.6238,0.630191,0.654409,0.64423,0.580469,0.411227,0.388528,0.387588,0.347063,0.343987,0.064076,0.08858,0.074701,0.080982,0.07548
0,0,0,0,0,0.000321000000000016,0.000313000000000008,0.000256999999999952,0.000492000000000048,0.000368999999999953,0.244371,0.229062,0.244475,0.276385,0.251206,0.00533499999999998,0.00659100000000001,0.00713399999999997,0.00548899999999997,0.00627500000000003,0.883643,0.863565,0.840715,0.85438,0.856127,0.051743,0.056527,0.051216,0.047229,0.056955,0,0,0,0,0,0.055741,0.05588,0.0528380000000001,0.049893,0.05089,0,0,0,0,0,0.024739,0.029078,0.028569,0.026538,0.030334,0.679923,0.64976,0.666702,0.648323,0.680715,0.177839,0.183963,0.167689,0.163231,0.169588,0.00752399999999998,0.00685199999999997,0.00809599999999999,0.00685800000000003,0.00705999999999996
0,0,0,0,0,0.028528,0.027119,0.028698,0.027744,0.0275609999999999,0,0,0,0,0,0.000519999999999965,0.000518000000000018,0.000515000000000043,0.000518000000000018,0.000493999999999994,0,0,0,0,0,0.0373329999999999,0.041096,0.035826,0.038551,0.03716,0.484895,0.498273,0.496884,0.471984,0.498375,0.062837,0.063811,0.0644709999999999,0.063939,0.057365,0,0,0,0,0,0.019408,0.026666,0.035587,0.028151,0.019555,0.608958,0.588756,0.633572,0.620011,0.639333,0,0,0,0,0,0.00339699999999998,0.00409899999999996,0.00361400000000001,0.00372300000000003,0.00288299999999997
