"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.984,909,100,98.378
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.57,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.549,0,100,0
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.554,0,100,0
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.646,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.746,51,80,94.636
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.914,604,100,91.331
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.808,384,90,90.713
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.701,101,80,90.072
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.778,0,100,0
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.903,594,100,90.312
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.831,30,100,83.106
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.89,147,100,89.009
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.827,78,100,82.626
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.754,61,90,85.348
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.794,40,100,79.103
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.907,228,100,90.633
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.877,131,100,87.67
