"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.996,970,100,99.619
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.415,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.155,0,100,0
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.173,495,17.647,99.68
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.059,687,6.25,99.68
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.494,10,50,99.361
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.977,495,100,97.675
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.675,121,68.421,99.038
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0,1000,0,99.84
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.913,48,100,91.2
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.933,45,100,93.285
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.96,816,100,95.923
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.988,89,100,98.838
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.986,396.5,100,98.638
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.79,0,100,0
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.983,159,100,98.32
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.986,40,100,98.641
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.99,211,100,98.961
