"rand1.HIMANTURA.UARNAK_PA1_RUN1_GAM","rand2.HIMANTURA.UARNAK_PA1_RUN1_GAM","rand3.HIMANTURA.UARNAK_PA1_RUN1_GAM","rand4.HIMANTURA.UARNAK_PA1_RUN1_GAM","rand5.HIMANTURA.UARNAK_PA1_RUN1_GAM","rand1.HIMANTURA.UARNAK_PA1_RUN1_GLM","rand2.HIMANTURA.UARNAK_PA1_RUN1_GLM","rand3.HIMANTURA.UARNAK_PA1_RUN1_GLM","rand4.HIMANTURA.UARNAK_PA1_RUN1_GLM","rand5.HIMANTURA.UARNAK_PA1_RUN1_GLM","rand1.HIMANTURA.UARNAK_PA1_RUN1_MAXENT.Phillips","rand2.HIMANTURA.UARNAK_PA1_RUN1_MAXENT.Phillips","rand3.HIMANTURA.UARNAK_PA1_RUN1_MAXENT.Phillips","rand4.HIMANTURA.UARNAK_PA1_RUN1_MAXENT.Phillips","rand5.HIMANTURA.UARNAK_PA1_RUN1_MAXENT.Phillips","rand1.HIMANTURA.UARNAK_PA1_RUN2_GAM","rand2.HIMANTURA.UARNAK_PA1_RUN2_GAM","rand3.HIMANTURA.UARNAK_PA1_RUN2_GAM","rand4.HIMANTURA.UARNAK_PA1_RUN2_GAM","rand5.HIMANTURA.UARNAK_PA1_RUN2_GAM","rand1.HIMANTURA.UARNAK_PA1_RUN2_GLM","rand2.HIMANTURA.UARNAK_PA1_RUN2_GLM","rand3.HIMANTURA.UARNAK_PA1_RUN2_GLM","rand4.HIMANTURA.UARNAK_PA1_RUN2_GLM","rand5.HIMANTURA.UARNAK_PA1_RUN2_GLM","rand1.HIMANTURA.UARNAK_PA1_RUN2_MAXENT.Phillips","rand2.HIMANTURA.UARNAK_PA1_RUN2_MAXENT.Phillips","rand3.HIMANTURA.UARNAK_PA1_RUN2_MAXENT.Phillips","rand4.HIMANTURA.UARNAK_PA1_RUN2_MAXENT.Phillips","rand5.HIMANTURA.UARNAK_PA1_RUN2_MAXENT.Phillips","rand1.HIMANTURA.UARNAK_PA1_RUN3_GAM","rand2.HIMANTURA.UARNAK_PA1_RUN3_GAM","rand3.HIMANTURA.UARNAK_PA1_RUN3_GAM","rand4.HIMANTURA.UARNAK_PA1_RUN3_GAM","rand5.HIMANTURA.UARNAK_PA1_RUN3_GAM","rand1.HIMANTURA.UARNAK_PA1_RUN3_GLM","rand2.HIMANTURA.UARNAK_PA1_RUN3_GLM","rand3.HIMANTURA.UARNAK_PA1_RUN3_GLM","rand4.HIMANTURA.UARNAK_PA1_RUN3_GLM","rand5.HIMANTURA.UARNAK_PA1_RUN3_GLM","rand1.HIMANTURA.UARNAK_PA1_RUN3_MAXENT.Phillips","rand2.HIMANTURA.UARNAK_PA1_RUN3_MAXENT.Phillips","rand3.HIMANTURA.UARNAK_PA1_RUN3_MAXENT.Phillips","rand4.HIMANTURA.UARNAK_PA1_RUN3_MAXENT.Phillips","rand5.HIMANTURA.UARNAK_PA1_RUN3_MAXENT.Phillips","rand1.HIMANTURA.UARNAK_PA1_RUN4_GAM","rand2.HIMANTURA.UARNAK_PA1_RUN4_GAM","rand3.HIMANTURA.UARNAK_PA1_RUN4_GAM","rand4.HIMANTURA.UARNAK_PA1_RUN4_GAM","rand5.HIMANTURA.UARNAK_PA1_RUN4_GAM","rand1.HIMANTURA.UARNAK_PA1_RUN4_GLM","rand2.HIMANTURA.UARNAK_PA1_RUN4_GLM","rand3.HIMANTURA.UARNAK_PA1_RUN4_GLM","rand4.HIMANTURA.UARNAK_PA1_RUN4_GLM","rand5.HIMANTURA.UARNAK_PA1_RUN4_GLM","rand1.HIMANTURA.UARNAK_PA1_RUN4_MAXENT.Phillips","rand2.HIMANTURA.UARNAK_PA1_RUN4_MAXENT.Phillips","rand3.HIMANTURA.UARNAK_PA1_RUN4_MAXENT.Phillips","rand4.HIMANTURA.UARNAK_PA1_RUN4_MAXENT.Phillips","rand5.HIMANTURA.UARNAK_PA1_RUN4_MAXENT.Phillips","rand1.HIMANTURA.UARNAK_PA1_RUN5_GAM","rand2.HIMANTURA.UARNAK_PA1_RUN5_GAM","rand3.HIMANTURA.UARNAK_PA1_RUN5_GAM","rand4.HIMANTURA.UARNAK_PA1_RUN5_GAM","rand5.HIMANTURA.UARNAK_PA1_RUN5_GAM","rand1.HIMANTURA.UARNAK_PA1_RUN5_GLM","rand2.HIMANTURA.UARNAK_PA1_RUN5_GLM","rand3.HIMANTURA.UARNAK_PA1_RUN5_GLM","rand4.HIMANTURA.UARNAK_PA1_RUN5_GLM","rand5.HIMANTURA.UARNAK_PA1_RUN5_GLM","rand1.HIMANTURA.UARNAK_PA1_RUN5_MAXENT.Phillips","rand2.HIMANTURA.UARNAK_PA1_RUN5_MAXENT.Phillips","rand3.HIMANTURA.UARNAK_PA1_RUN5_MAXENT.Phillips","rand4.HIMANTURA.UARNAK_PA1_RUN5_MAXENT.Phillips","rand5.HIMANTURA.UARNAK_PA1_RUN5_MAXENT.Phillips","rand1.HIMANTURA.UARNAK_PA1_Full_GAM","rand2.HIMANTURA.UARNAK_PA1_Full_GAM","rand3.HIMANTURA.UARNAK_PA1_Full_GAM","rand4.HIMANTURA.UARNAK_PA1_Full_GAM","rand5.HIMANTURA.UARNAK_PA1_Full_GAM","rand1.HIMANTURA.UARNAK_PA1_Full_GLM","rand2.HIMANTURA.UARNAK_PA1_Full_GLM","rand3.HIMANTURA.UARNAK_PA1_Full_GLM","rand4.HIMANTURA.UARNAK_PA1_Full_GLM","rand5.HIMANTURA.UARNAK_PA1_Full_GLM","rand1.HIMANTURA.UARNAK_PA1_Full_MAXENT.Phillips","rand2.HIMANTURA.UARNAK_PA1_Full_MAXENT.Phillips","rand3.HIMANTURA.UARNAK_PA1_Full_MAXENT.Phillips","rand4.HIMANTURA.UARNAK_PA1_Full_MAXENT.Phillips","rand5.HIMANTURA.UARNAK_PA1_Full_MAXENT.Phillips"
0.995787,0.994272,1,0.973376,0.988304,1,1,1,1,1,0.826846,0.892207,0.923354,0.891269,0.924664,1,1,1,1,1,1,1,1,1,1,0.953405,0.96558,0.941327,1,0.916446,1,1,1,1,1,0.567735,0.536125,0.589223,0.575659,0.593285,0.964979,0.919224,0.924417,0.93055,0.922352,0.35263,0.304652,0.196585,0.23296,0.293206,0.524956,0.551383,0.522208,0.567472,0.539378,0.577784,0.534139,0.617127,0.624798,0.564948,0.249661,0.31223,0.370823,0.385243,0.294189,0.594768,0.560701,0.572987,0.58904,0.581024,0.883374,0.908768,0.893887,0.873795,0.845149,0.596936,0.590268,0.591669,0.517135,0.565899,0.348342,0.315818,0.326611,0.236437,0.316032,0.771569,0.792129,0.861179,0.862806,0.715625
0.901726,0.883462,0.871537,0.8634,0.874694,0,0,0,0,0,0.815987,0.789398,0.853948,0.804283,0.781017,0.879035,0.876969,0.877127,0.863441,0.881848,0.780948,0.772024,0.818241,0.777019,0.782186,0.16794,0.117983,0.180252,0.134211,0.134702,0.931065,0.92153,0.969143,0.982694,0.938315,0,0,0,0,0,0.210616,0.207443,0.191541,0.252476,0.211533,0.802517,0.789044,0.80569,0.792549,0.796908,0,0,0,0,0,0.819686,0.8671,0.790082,0.805854,0.836802,0.696515,0.69524,0.702102,0.705309,0.701109,0,0,0,0,0,0,0,0,0,0,0.275389,0.256256,0.275627,0.259933,0.288551,0,0,0,0,0,0.00737500000000002,0.00666699999999998,0.015135,0.00836199999999998,0.012717
0.720023,0.702264,0.710869,0.725634,0.705414,0.590192,0.584429,0.583276,0.58801,0.599346,0,0,0,0,0,0.675788,0.565121,0.519226,0.590401,0.604804,0,0,0,0,0,0,0,0,0,0,0.922681,0.762878,0.922681,0.926914,0.930567,0.874711,0.818848,0.874004,0.84078,0.836672,0,0,0,0,0,0.966796,1,0.952614,1,0.971046,0.876635,0.847287,0.86693,0.845272,0.833246,0.713435,0.633739,0.584098,0.753734,0.604301,0.497443,0.591483,0.644121,0.656822,0.606031,0.76383,0.763172,0.796147,0.798931,0.776228,0,0,0,0,0,0.237494,0.256648,0.283646,0.233229,0.259837,0.884796,0.839036,0.85605,0.844212,0.857111,0.396367,0.379415,0.380627,0.39516,0.383538
0.244524,0.185697,0.232079,0.102416,0.203023,0,0,0,0,0,0,0,0,0,0,0.908675,0.856573,0.910532,0.856857,0.894826,0.743953,0.745389,0.793222,0.781083,0.820222,0,0,0,0,0,0.617303,0.632218,0.654627,0.628231,0.613888,0,0,0,0,0,0,0,0,0,0,0.930725,0.929015,0.938738,0.921087,0.920194,0,0,0,0,0,0,0,0,0,0,0.614552,0.388327,0.458825,0.393482,0.377355,0,0,0,0,0,0.285394,0.435101,0.309879,0.325527,0.434815,0.775491,0.802253,0.777565,0.784941,0.783198,0.443585,0.463774,0.431388,0.448777,0.430838,0.592402,0.590887,0.68653,0.645331,0.63486
1,0.993321,0.993349,1,1,0,0,0,0,0,0,0,0,0,0,0.999369,0.988794,0.999145,0.98809,0.989101,0.795421,0.720969,0.713202,0.74819,0.763373,0,0,0,0,0,0.748777,0.729895,0.739071,0.761683,0.719871,0,0,0,0,0,0,0,0,0,0,0.909587,0.897793,0.897529,0.905508,0.914402,0,0,0,0,0,0,0,0,0,0,0.38639,0.360594,0.310287,0.366343,0.440507,0,0,0,0,0,0,0,0,0,0,0.597577,0.607728,0.721557,0.554347,0.760098,0,0,0,0,0,0,0,0,0,0
0.705546,0.727035,0.751885,0.748288,0.708629,0,0,0,0,0,0,0,0,0,0,1,0.982866,0.98926,0.946764,0.975391,0.987301,0.980734,0.988247,1,0.987588,0,0,0,0,0,0.596106,0.601398,0.473017,0.470974,0.465192,0,0,0,0,0,0.079221,0.087625,0.086083,0.0976900000000001,0.08978,0.999173,0.995985,0.976915,1,0.999123,0,0,0,0,0,0,0,0,0,0,0.59113,0.582563,0.601213,0.553481,0.600123,0,0,0,0,0,0.555949,0.551368,0.538393,0.520581,0.529843,0.492815,0.588249,0.640051,0.690272,0.435123,0,0,0,0,0,0.39697,0.42322,0.358614,0.360692,0.329383
0.92003,0.932724,0.924985,0.93078,0.926056,0,0,0,0,0,0,0,0,0,0,0.835162,0.839864,0.850803,0.827822,0.879433,0,0,0,0,0,0,0,0,0,0,0.9149,0.949599,0.939831,0.952122,0.934912,0,0,0,0,0,0.098733,0.111472,0.101673,0.083556,0.101763,0.843421,0.855307,0.828995,0.853527,0.817343,0,0,0,0,0,0,0,0,0,0,0.980331,0.962263,0.949415,0.973111,0.937335,0,0,0,0,0,0,0,0,0,0,0.797387,0.795422,0.824872,0.8085,0.818131,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0.882947,0.902041,0.840131,0.892508,0.910847,0,0,0,0,0,0.992309,0.980068,0.992627,0.992261,0.991954,0.969903,0.98986,1,0.970451,1,0.260311,0.208242,0.249591,0.309071,0.215152,0.662981,0.625032,0.632214,0.580917,0.632518,0,0,0,0,0,0,0,0,0,0,0.969616,0.987469,0.96566,0.987627,0.987926,0,0,0,0,0,0,0,0,0,0,0.300421,0.32706,0.367959,0.32248,0.304109,0,0,0,0,0,0,0,0,0,0,1,0.984853,0.992529,0.982969,0.991212,0.9223,0.941289,0.873982,0.923479,0.957231,0,0,0,0,0
0.772506,0.758125,0.771988,0.755479,0.790773,0,0,0,0,0,0,0,0,0,0,0.64138,0.695317,0.67128,0.689347,0.666769,0,0,0,0,0,0,0,0,0,0,0.939127,0.893662,0.820652,0.865847,0.799356,0.039644,0.051051,0.04504,0.0456530000000001,0.0451240000000001,0,0,0,0,0,0.630062,0.658256,0.64669,0.659745,0.644268,0,0,0,0,0,0,0,0,0,0,0.388798,0.378208,0.407202,0.412414,0.383397,0,0,0,0,0,0,0,0,0,0,0.557625,0.773611,0.680663,0.611552,0.814501,0,0,0,0,0,0,0,0,0,0
0.796321,0.703492,0.715306,0.768786,0.768718,0.817683,0.81605,0.807887,0.819835,0.802731,0.00127200000000005,0.000958000000000014,0.00105,0.00107400000000002,0.000947999999999949,0.938884,0.897897,0.876571,0.924311,0.951104,0,0,0,0,0,0.063167,0.074408,0.084943,0.055433,0.088306,0.866103,0.882496,0.910811,0.894916,0.883459,0,0,0,0,0,0.02695,0.027185,0.026881,0.026816,0.027352,0.857623,0.898838,0.872505,0.859805,0.85139,0,0,0,0,0,0.096432,0.073343,0.100475,0.074135,0.063923,0.913855,0.900131,0.882287,0.877333,0.947762,0,0,0,0,0,0.093094,0.069531,0.052408,0.068058,0.062522,0.700042,0.567188,0.542947,0.580764,0.488087,0,0,0,0,0,0.109324,0.098009,0.100313,0.114352,0.090315
