"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.796,495,97.151,82.431
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.783,444,97.341,81.007
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.764,432,97.048,79.401
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.772,323,96.679,80.524
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.762,286,97.398,78.81
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.728,237,97.037,75.746
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.743,620,95.167,79.182
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.77,364,97.77,79.182
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.799,636,95.167,84.758
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.744,384,97.761,76.667
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.814,515,96.667,84.701
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.762,439,95.539,80.669
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.741,328,97.378,76.753
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.777,508,95.539,82.156
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.781,525,95.149,82.963
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.764,313,99.631,76.779
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.803,469,95.926,84.328
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.743,300,96.667,77.612
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.751,550.5,96.283,78.81
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.81,556,95.941,84.644
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.715,338,97.761,73.704
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.766,232,98.513,78.067
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.78,575,95.157,82.716
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.773,548.5,96.011,81.102
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.768,504,96.679,80.15
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.764,315,97.417,79.026
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.751,172,98.885,76.208
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.724,430.5,97.037,75.373
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.747,618,94.424,79.926
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.777,545,97.026,80.669
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.784,379.5,99.628,78.81
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.763,602,95.522,81.111
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.806,383,99.259,81.343
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.755,279,98.141,77.323
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.738,428,97.378,76.384
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.788,626,92.937,85.874
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.781,389,98.134,80
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.764,533,98.155,78.277
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.787,350,98.889,79.851
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.743,451,96.667,77.612
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.743,395.5,98.141,76.208
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.809,513,98.155,82.772
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.718,413,98.507,73.333
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.777,509,97.77,79.926
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.797,201,94.967,84.71
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.772,231,90.693,86.42
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.772,211,94.465,82.772
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.746,80,94.465,80.15
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.743,145,94.424,79.926
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.68,200,89.63,78.358
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.74,251,93.309,80.669
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.762,90,94.796,81.413
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.799,241,95.539,84.387
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.733,50,96.269,77.037
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.821,256,94.815,87.313
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.743,50,91.822,82.156
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.76,110,98.502,77.491
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.755,170,90.335,85.13
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.781,80,99.627,78.519
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.761,331,95.203,80.899
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.803,196,95.185,85.075
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.75,70,97.407,77.985
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.747,80,98.141,76.58
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.783,70,96.679,80.899
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.711,160,94.403,76.667
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.777,160,95.167,82.528
