"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByTSS_mergedAlgo_RUN1_PA1","KAPPA",0.788,NA,479,93.333,85.448
"2","EMmeanByTSS_mergedAlgo_RUN1_PA1","TSS",0.788,NA,479,93.333,85.448
"3","EMmeanByTSS_mergedAlgo_RUN1_PA1","ROC",0.927,NA,480,93.333,85.448
"4","EMmeanByTSS_mergedAlgo_RUN2_PA1","KAPPA",0.788,NA,257,98.148,80.597
"5","EMmeanByTSS_mergedAlgo_RUN2_PA1","TSS",0.787,NA,257,98.148,80.597
"6","EMmeanByTSS_mergedAlgo_RUN2_PA1","ROC",0.919,NA,280.5,97.407,81.343
"7","EMmeanByTSS_mergedAlgo_RUN3_PA1","KAPPA",0.788,NA,537,92.565,85.502
"8","EMmeanByTSS_mergedAlgo_RUN3_PA1","TSS",0.788,NA,537,92.565,85.502
"9","EMmeanByTSS_mergedAlgo_RUN3_PA1","ROC",0.92,NA,550,92.193,86.617
"10","EMmeanByTSS_mergedAlgo_RUN4_PA1","KAPPA",0.777,NA,255,97.786,79.775
"11","EMmeanByTSS_mergedAlgo_RUN4_PA1","TSS",0.776,NA,255,97.786,79.775
"12","EMmeanByTSS_mergedAlgo_RUN4_PA1","ROC",0.912,NA,258,97.786,79.775
"13","EMmeanByTSS_mergedAlgo_RUN5_PA1","KAPPA",0.78,NA,396,97.059,80.827
"14","EMmeanByTSS_mergedAlgo_RUN5_PA1","TSS",0.779,NA,396,97.059,80.827
"15","EMmeanByTSS_mergedAlgo_RUN5_PA1","ROC",0.926,NA,397.5,97.059,80.827
"16","EMmeanByTSS_mergedAlgo_RUN6_PA1","KAPPA",0.758,NA,500,94.424,81.784
"17","EMmeanByTSS_mergedAlgo_RUN6_PA1","TSS",0.758,NA,500,94.424,81.784
"18","EMmeanByTSS_mergedAlgo_RUN6_PA1","ROC",0.918,NA,489.5,94.796,81.413
"19","EMmeanByTSS_mergedAlgo_RUN7_PA1","KAPPA",0.803,NA,553,93.633,86.716
"20","EMmeanByTSS_mergedAlgo_RUN7_PA1","TSS",0.803,NA,553,93.633,86.716
"21","EMmeanByTSS_mergedAlgo_RUN7_PA1","ROC",0.927,NA,540,94.382,85.978
"22","EMmeanByTSS_mergedAlgo_RUN8_PA1","KAPPA",0.792,NA,362,96.296,82.836
"23","EMmeanByTSS_mergedAlgo_RUN8_PA1","TSS",0.791,NA,362,96.296,82.836
"24","EMmeanByTSS_mergedAlgo_RUN8_PA1","ROC",0.922,NA,363,96.296,82.836
"25","EMmeanByTSS_mergedAlgo_RUN9_PA1","KAPPA",0.822,NA,513,94.074,88.06
"26","EMmeanByTSS_mergedAlgo_RUN9_PA1","TSS",0.821,NA,513,94.074,88.06
"27","EMmeanByTSS_mergedAlgo_RUN9_PA1","ROC",0.933,NA,512.5,94.074,88.06
"28","EMmeanByTSS_mergedAlgo_RUN10_PA1","KAPPA",0.799,NA,400,95.539,84.015
"29","EMmeanByTSS_mergedAlgo_RUN10_PA1","TSS",0.799,NA,400,95.539,84.015
"30","EMmeanByTSS_mergedAlgo_RUN10_PA1","ROC",0.928,NA,434.5,95.167,85.502
"31","EMmeanByTSS_mergedAlgo_Full_PA1","KAPPA",0.802,NA,535,94.017,86.42
"32","EMmeanByTSS_mergedAlgo_Full_PA1","TSS",0.802,NA,535,94.017,86.42
"33","EMmeanByTSS_mergedAlgo_Full_PA1","ROC",0.951,NA,534.5,94.017,86.42
"34","EMmeanByTSS_mergedAlgo_RUN1_PA2","KAPPA",0.718,NA,133,100,71.852
"35","EMmeanByTSS_mergedAlgo_RUN1_PA2","TSS",0.719,NA,133,100,71.852
"36","EMmeanByTSS_mergedAlgo_RUN1_PA2","ROC",0.89,NA,137,100,71.852
"37","EMmeanByTSS_mergedAlgo_RUN2_PA2","KAPPA",0.769,NA,224,98.889,77.985
"38","EMmeanByTSS_mergedAlgo_RUN2_PA2","TSS",0.769,NA,224,98.889,77.985
"39","EMmeanByTSS_mergedAlgo_RUN2_PA2","ROC",0.909,NA,244,98.889,78.358
"40","EMmeanByTSS_mergedAlgo_RUN3_PA2","KAPPA",0.758,NA,469,94.872,80.755
"41","EMmeanByTSS_mergedAlgo_RUN3_PA2","TSS",0.756,NA,469,94.872,80.755
"42","EMmeanByTSS_mergedAlgo_RUN3_PA2","ROC",0.921,NA,472.5,94.872,80.755
"43","EMmeanByTSS_mergedAlgo_RUN4_PA2","KAPPA",0.769,NA,425,97.048,79.401
"44","EMmeanByTSS_mergedAlgo_RUN4_PA2","TSS",0.768,NA,425,97.048,79.401
"45","EMmeanByTSS_mergedAlgo_RUN4_PA2","ROC",0.915,NA,430,97.048,79.775
"46","EMmeanByTSS_mergedAlgo_RUN5_PA2","KAPPA",0.77,NA,353,98.513,78.439
"47","EMmeanByTSS_mergedAlgo_RUN5_PA2","TSS",0.77,NA,353,98.513,78.439
"48","EMmeanByTSS_mergedAlgo_RUN5_PA2","ROC",0.904,NA,351.5,98.513,78.439
"49","EMmeanByTSS_mergedAlgo_RUN6_PA2","KAPPA",0.792,NA,360,98.519,80.597
"50","EMmeanByTSS_mergedAlgo_RUN6_PA2","TSS",0.791,NA,360,98.519,80.597
"51","EMmeanByTSS_mergedAlgo_RUN6_PA2","ROC",0.922,NA,360.5,98.519,80.597
"52","EMmeanByTSS_mergedAlgo_RUN7_PA2","KAPPA",0.773,NA,376,95.926,81.343
"53","EMmeanByTSS_mergedAlgo_RUN7_PA2","TSS",0.773,NA,376,95.926,81.343
"54","EMmeanByTSS_mergedAlgo_RUN7_PA2","ROC",0.922,NA,394.5,95.556,81.716
"55","EMmeanByTSS_mergedAlgo_RUN8_PA2","KAPPA",0.785,NA,154,99.254,79.259
"56","EMmeanByTSS_mergedAlgo_RUN8_PA2","TSS",0.785,NA,154,99.254,79.259
"57","EMmeanByTSS_mergedAlgo_RUN8_PA2","ROC",0.93,NA,445,94.776,84.074
"58","EMmeanByTSS_mergedAlgo_RUN9_PA2","KAPPA",0.773,NA,326,98.507,78.889
"59","EMmeanByTSS_mergedAlgo_RUN9_PA2","TSS",0.774,NA,326,98.507,78.889
"60","EMmeanByTSS_mergedAlgo_RUN9_PA2","ROC",0.909,NA,328.5,98.507,78.889
"61","EMmeanByTSS_mergedAlgo_RUN10_PA2","KAPPA",0.747,NA,505,95.203,79.401
"62","EMmeanByTSS_mergedAlgo_RUN10_PA2","TSS",0.746,NA,505,95.203,79.401
"63","EMmeanByTSS_mergedAlgo_RUN10_PA2","ROC",0.91,NA,527,94.096,80.524
"64","EMmeanByTSS_mergedAlgo_Full_PA2","KAPPA",0.786,NA,413,96.771,81.766
"65","EMmeanByTSS_mergedAlgo_Full_PA2","TSS",0.786,NA,413,96.771,81.766
"66","EMmeanByTSS_mergedAlgo_Full_PA2","ROC",0.95,NA,393,97.151,81.481
