"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.713,465,94.94,75.904
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.718,505,91.566,80.241
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.663,439,88.462,77.885
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.654,313,96.154,69.231
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.577,389,86.538,71.154
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.596,268,88.462,71.154
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.606,495,86.538,74.038
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.615,338,88.462,73.077
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.577,403,89.423,68.269
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.548,101,89.423,65.385
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.548,429.5,89.423,64.423
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.635,338.5,95.192,67.308
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.529,343,90.385,62.5
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.558,182,95.192,59.615
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.51,101,91.346,58.654
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.577,308,92.308,65.385
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.635,592,81.731,80.769
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.519,500,81.731,67.308
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.635,631,81.731,82.692
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.587,369,92.308,66.346
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.548,369,87.5,67.308
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.615,414,88.462,73.077
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.607,545,86.024,74.699
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.586,508,88.193,70.361
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.587,458,84.615,74.038
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.587,466,84.615,74.038
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.635,561,86.538,75.962
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.558,392,85.577,70.192
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.587,350,92.308,64.423
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.529,277,90.385,61.538
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.567,607,81.731,75
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.51,500,83.654,67.308
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.625,354,95.192,67.308
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.567,505,89.423,67.308
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.567,502,84.615,71.154
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.558,629,80.769,75
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.548,453,89.423,65.385
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.548,235,99.038,55.769
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.635,357.5,90.385,73.077
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.538,638,78.846,74.038
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.615,341,93.269,67.308
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.548,523,87.5,67.308
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.529,241,93.269,59.615
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.644,398,95.192,69.231
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.364,79,48.916,87.47
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.692,311,88.916,80.241
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.596,135,91.346,68.269
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.673,255,91.346,75.962
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.558,10,92.308,63.462
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.683,196,91.346,76.923
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.096,97,14.423,95.192
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.519,120,96.154,55.769
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.587,285,86.538,72.115
