"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,500,100,99.92
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0,1000,0,99.68
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.494,566,50,99.44
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0,1000,0,99.76
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0,1000,0,99.84
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.494,0,100,0
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.985,949,100,98.458
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.486,732,50,98.639
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.879,0,100,0
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.478,990,50,97.838
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.842,0,100,0
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.572,278,100,57.246
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.468,432,100,46.527
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.472,439,100,46.517
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.539,461,100,53.483
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.482,655,50,97.998
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.458,284,100,45.396
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.472,308,100,46.918
