"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.82,596,96.096,85.894
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.805,606,96.222,84.131
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.833,427,97.059,86.275
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.783,409,97.561,80.788
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.802,355,97.585,82.587
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.768,384,94.175,82.178
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.828,277,98.529,84.314
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.789,562,95.588,83.333
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.803,662,95.61,84.729
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.789,500,95.61,83.251
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.822,232,99.029,83.168
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.79,333,98.03,80.976
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.783,485,96.602,81.683
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.765,474,94.089,82.439
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.805,332,98.03,82.439
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.775,237,97.059,80.392
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.813,649,95.61,85.714
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.76,328,96.569,79.412
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.818,430,95.61,86.207
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.779,495,98.039,79.412
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.813,570,97.073,84.236
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.798,389,96.117,83.663
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.806,501,97.607,82.997
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.785,601,96.222,82.242
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.819,742,92.647,89.216
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.798,619,96.585,83.251
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.807,598,96.135,84.577
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.758,486,95.631,80.198
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.833,367,99.02,84.314
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.789,438.5,98.529,80.392
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.828,645,96.585,86.207
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.794,628,95.61,83.744
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.817,202,99.515,82.178
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.795,441,98.522,80.976
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.783,501,97.573,80.693
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.766,475.5,96.552,80
