"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByTSS_mergedAlgo_RUN1_PA1","KAPPA",0.815,NA,293,99.024,82.439
"2","EMmeanByTSS_mergedAlgo_RUN1_PA1","TSS",0.815,NA,293,99.024,82.439
"3","EMmeanByTSS_mergedAlgo_RUN1_PA1","ROC",0.914,NA,256,99.512,82.439
"4","EMmeanByTSS_mergedAlgo_RUN2_PA1","KAPPA",0.853,NA,316,98.558,86.139
"5","EMmeanByTSS_mergedAlgo_RUN2_PA1","TSS",0.852,NA,316,98.558,86.139
"6","EMmeanByTSS_mergedAlgo_RUN2_PA1","ROC",0.956,NA,316.5,98.558,86.634
"7","EMmeanByTSS_mergedAlgo_RUN3_PA1","KAPPA",0.8,NA,461,94.686,85.222
"8","EMmeanByTSS_mergedAlgo_RUN3_PA1","TSS",0.799,NA,461,94.686,85.222
"9","EMmeanByTSS_mergedAlgo_RUN3_PA1","ROC",0.913,NA,462,94.686,85.222
"10","EMmeanByTSS_mergedAlgo_RUN4_PA1","KAPPA",0.78,NA,201,99.519,78.218
"11","EMmeanByTSS_mergedAlgo_RUN4_PA1","TSS",0.777,NA,201,99.519,78.218
"12","EMmeanByTSS_mergedAlgo_RUN4_PA1","ROC",0.922,NA,198.5,99.519,78.218
"13","EMmeanByTSS_mergedAlgo_RUN5_PA1","KAPPA",0.815,NA,502,95.61,85.854
"14","EMmeanByTSS_mergedAlgo_RUN5_PA1","TSS",0.815,NA,502,95.61,85.854
"15","EMmeanByTSS_mergedAlgo_RUN5_PA1","ROC",0.919,NA,499,95.61,85.854
"16","EMmeanByTSS_mergedAlgo_RUN6_PA1","KAPPA",0.79,NA,528.5,91.866,87.065
"17","EMmeanByTSS_mergedAlgo_RUN6_PA1","TSS",0.789,NA,528.5,91.866,87.065
"18","EMmeanByTSS_mergedAlgo_RUN6_PA1","ROC",0.916,NA,533.5,91.866,87.065
"19","EMmeanByTSS_mergedAlgo_RUN7_PA1","KAPPA",0.814,NA,408,96.635,84.653
"20","EMmeanByTSS_mergedAlgo_RUN7_PA1","TSS",0.813,NA,408,96.635,84.653
"21","EMmeanByTSS_mergedAlgo_RUN7_PA1","ROC",0.928,NA,410.5,96.635,84.653
"22","EMmeanByTSS_mergedAlgo_RUN8_PA1","KAPPA",0.804,NA,364,97.596,82.673
"23","EMmeanByTSS_mergedAlgo_RUN8_PA1","TSS",0.803,NA,364,97.596,82.673
"24","EMmeanByTSS_mergedAlgo_RUN8_PA1","ROC",0.922,NA,362.5,97.596,82.673
"25","EMmeanByTSS_mergedAlgo_RUN9_PA1","KAPPA",0.8,NA,403,96.618,83.251
"26","EMmeanByTSS_mergedAlgo_RUN9_PA1","TSS",0.799,NA,403,96.618,83.251
"27","EMmeanByTSS_mergedAlgo_RUN9_PA1","ROC",0.918,NA,402,96.618,83.251
"28","EMmeanByTSS_mergedAlgo_RUN10_PA1","KAPPA",0.756,NA,501,94.146,81.463
"29","EMmeanByTSS_mergedAlgo_RUN10_PA1","TSS",0.756,NA,472,94.634,80.976
"30","EMmeanByTSS_mergedAlgo_RUN10_PA1","ROC",0.914,NA,470,94.634,80.976
"31","EMmeanByTSS_mergedAlgo_Full_PA1","KAPPA",0.819,NA,408,96.474,85.39
"32","EMmeanByTSS_mergedAlgo_Full_PA1","TSS",0.819,NA,408,96.474,85.39
"33","EMmeanByTSS_mergedAlgo_Full_PA1","ROC",0.968,NA,417.5,96.474,85.516
"34","EMmeanByTSS_mergedAlgo_RUN1_PA2","KAPPA",0.775,NA,425,94.712,82.178
"35","EMmeanByTSS_mergedAlgo_RUN1_PA2","TSS",0.774,NA,425,94.712,82.178
"36","EMmeanByTSS_mergedAlgo_RUN1_PA2","ROC",0.921,NA,429,94.712,82.673
"37","EMmeanByTSS_mergedAlgo_RUN2_PA2","KAPPA",0.858,NA,481,95.652,90.148
"38","EMmeanByTSS_mergedAlgo_RUN2_PA2","TSS",0.858,NA,481,95.652,90.148
"39","EMmeanByTSS_mergedAlgo_RUN2_PA2","ROC",0.959,NA,541.5,94.686,91.133
"40","EMmeanByTSS_mergedAlgo_RUN3_PA2","KAPPA",0.751,NA,304,96.618,78.325
"41","EMmeanByTSS_mergedAlgo_RUN3_PA2","TSS",0.749,NA,304,96.618,78.325
"42","EMmeanByTSS_mergedAlgo_RUN3_PA2","ROC",0.895,NA,305,96.618,78.325
"43","EMmeanByTSS_mergedAlgo_RUN4_PA2","KAPPA",0.849,NA,467,95.192,89.109
"44","EMmeanByTSS_mergedAlgo_RUN4_PA2","TSS",0.848,NA,467,95.192,89.109
"45","EMmeanByTSS_mergedAlgo_RUN4_PA2","ROC",0.946,NA,471.5,95.192,89.604
"46","EMmeanByTSS_mergedAlgo_RUN5_PA2","KAPPA",0.829,NA,380,96.651,86.07
