"GAM.RUN1.PA1","GLM.RUN1.PA1","MAXENT.Phillips.RUN1.PA1","GAM.RUN2.PA1","GLM.RUN2.PA1","MAXENT.Phillips.RUN2.PA1","GAM.RUN3.PA1","GLM.RUN3.PA1","MAXENT.Phillips.RUN3.PA1","GAM.RUN4.PA1","GLM.RUN4.PA1","MAXENT.Phillips.RUN4.PA1","GAM.RUN5.PA1","GLM.RUN5.PA1","MAXENT.Phillips.RUN5.PA1","GAM.RUN6.PA1","GLM.RUN6.PA1","MAXENT.Phillips.RUN6.PA1","GAM.RUN7.PA1","GLM.RUN7.PA1","MAXENT.Phillips.RUN7.PA1","GAM.RUN8.PA1","GLM.RUN8.PA1","MAXENT.Phillips.RUN8.PA1","GAM.RUN9.PA1","GLM.RUN9.PA1","MAXENT.Phillips.RUN9.PA1","GAM.RUN10.PA1","GLM.RUN10.PA1","MAXENT.Phillips.RUN10.PA1","GAM.Full.PA1","GLM.Full.PA1","MAXENT.Phillips.Full.PA1","GAM.RUN1.PA2","GLM.RUN1.PA2","MAXENT.Phillips.RUN1.PA2","GAM.RUN2.PA2","GLM.RUN2.PA2","MAXENT.Phillips.RUN2.PA2","GAM.RUN3.PA2","GLM.RUN3.PA2","MAXENT.Phillips.RUN3.PA2","GAM.RUN4.PA2","GLM.RUN4.PA2","MAXENT.Phillips.RUN4.PA2","GAM.RUN5.PA2","GLM.RUN5.PA2","MAXENT.Phillips.RUN5.PA2","GAM.RUN6.PA2","GLM.RUN6.PA2","MAXENT.Phillips.RUN6.PA2","GAM.RUN7.PA2","GLM.RUN7.PA2","MAXENT.Phillips.RUN7.PA2","GAM.RUN8.PA2","GLM.RUN8.PA2","MAXENT.Phillips.RUN8.PA2","GAM.RUN9.PA2","GLM.RUN9.PA2","MAXENT.Phillips.RUN9.PA2","GAM.RUN10.PA2","GLM.RUN10.PA2","MAXENT.Phillips.RUN10.PA2","GAM.Full.PA2","GLM.Full.PA2","MAXENT.Phillips.Full.PA2"
0.068,0.138,0.485,0.323,0.069,0.542,0.275,0.089,0.638,0.236,0.248,0.591,0.124,0.145,0.444,0.334,0.208,0.465,0.191,0.25,0.629,0.255,0.176,0.551,0.187,0.124,0.45,0.148,0.263,0.59,0.37,0.108,0.572,0.132,0.153,0.473,0.367,0.463,0.429,0.477,0.604,0.531,0.095,0.097,0.449,0.217,0.183,0.501,0.273,0.537,0.485,0.099,0.184,0.396,0.152,0.261,0.442,0.472,0.511,0.501,0.32,0.292,0.516,0.199,0.216,0.483
0.104,0.043,0.005,0.31,0,0.003,0.431,0,0.027,0.205,0,0.041,0.228,0,0,0.028,0,0,0.219,0,0,0.233,0,0.025,0.162,0,0.021,0.136,0.05,0.005,0.22,0,0.008,0.27,0,0.022,0.002,0,0.065,0.092,0,0.125,0.092,0.075,0.024,0.028,0,0.135,0.095,0.033,0.037,0.148,0,0.148,0.026,0,0.091,0.005,0,0.172,0.19,0,0.053,0.002,0.031,0.011
0.283,0,0.073,0.12,0,0.033,0.262,0,0.014,0.05,0,0.038,0.01,0,0.067,0.409,0,0,0.012,0,0.021,0.257,0.463,0.017,0.061,0,0.065,0.046,0,0.011,0.016,0,0.006,0.318,0,0.226,0.034,0,0.261,0.636,0,0.004,0.108,0,0.039,0.061,0,0.158,0.507,0,0.002,0.441,0,0.238,0.146,0,0,0.238,0,0.025,0.016,0,0.001,0.185,0,0.202
0.182,0.109,0.106,0.26,0.164,0.128,0.332,0,0.021,0.032,0.099,0.1,0.292,0,0.002,0.013,0,0.08,0.372,0.106,0.029,0.049,0,0.05,0.201,0.181,0.299,0.368,0,0.012,0.162,0,0.077,0.019,0,0.04,0.005,0,0.065,0.174,0,0.026,0.162,0,0.395,0.068,0,0.083,0.112,0,0.277,0.04,0,0.097,0.093,0,0.241,0.006,0,0.102,0.148,0,0.062,0.08,0,0.14
0.053,0.05,0.268,0.007,0.058,0.318,0.088,0.107,0.322,0.001,0,0.15,0.009,0.085,0.253,0.043,0.094,0.139,0,0,0.014,0.013,0.086,0.238,0.007,0.045,0.262,0.001,0,0.297,0.001,0.105,0.29,0,0,0.274,0.002,0,0.257,0.029,0,0.244,0.225,0.074,0.129,0.169,0,0.259,0.015,0,0.274,0.126,0,0.109,0.034,0,0.033,0.002,0,0.064,0.001,0.016,0.091,0.166,0,0.278
0.292,0,0.068,0.121,0,0.064,0.309,0.206,0.055,0.063,0,0.067,0.09,0,0.103,0.183,0,0.01,0.325,0,0.012,0.176,0,0.004,0.162,0.081,0.094,0.297,0.177,0.054,0.11,0,0.058,0.069,0,0.045,0.178,0,0.047,0.053,0,0.037,0.306,0.071,0.022,0.279,0,0.047,0.033,0,0.068,0.135,0.213,0.026,0.274,0,0.229,0.012,0,0.057,0.059,0,0.019,0.276,0,0.046
0.099,0,0.047,0.192,0,0.039,0.332,0,0.012,0.259,0,0.01,0.089,0,0.026,0.126,0.01,0.019,0.406,0.014,0.001,0.17,0,0.032,0.221,0,0.026,0.369,0,0.005,0.122,0,0.03,0.183,0,0.004,0.247,0,0.001,0.069,0,0.025,0.355,0,0.014,0.382,0,0,0.004,0,0,0.004,0,0.006,0.295,0.081,0.005,0.036,0,0.015,0.274,0,0,0.314,0,0
0.352,0,0.01,0.337,0,0.028,0.123,0.072,0.052,0.279,0,0.041,0.473,0,0.093,0.263,0,0,0.482,0.06,0.078,0.33,0.069,0.078,0.332,0,0.099,0.321,0.113,0.027,0.232,0,0.008,0.03,0.064,0.025,0.338,0.105,0.04,0.196,0,0,0.229,0,0.059,0.171,0,0.048,0.387,0,0.116,0.168,0.092,0.185,0.483,0,0.057,0.097,0,0.057,0.006,0,0.032,0.386,0,0.047
0.185,0,0.072,0.445,0.155,0.095,0.547,0.308,0.048,0.386,0.136,0.082,0.069,0.011,0.046,0.293,0,0.01,0.539,0,0,0.485,0,0.06,0.511,0.298,0.079,0.509,0.244,0.027,0.33,0.025,0.101,0.127,0.015,0,0.458,0,0,0.001,0.104,0.089,0.454,0.285,0.009,0.517,0,0.019,0.017,0,0.002,0.081,0.297,0.007,0.665,0,0.001,0.049,0.075,0.047,0.532,0.004,0.018,0.582,0,0.025
0.305,0,0.016,0.37,0,0.064,0.299,0,0.161,0.327,0,0.094,0.442,0,0.108,0.281,0,0.014,0.44,0,0.019,0.385,0,0.045,0.387,0,0.19,0.382,0,0.029,0.243,0,0.081,0.251,0,0.019,0.107,0,0.006,0.017,0.018,0.024,0.019,0,0.001,0.101,0,0.007,0.198,0,0.018,0.186,0,0.013,0.494,0,0.024,0.053,0,0.108,0,0,0.006,0.325,0,0.01
