"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.982,899,100,98.218
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.279,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.671,0,100,0
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.477,0,100,0
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.414,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.397,30,41.667,98.077
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.925,533,100,92.51
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",NA,NA,NA,NA
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",NA,NA,NA,NA
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.794,495,87.5,91.907
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",NA,NA,NA,NA
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.68,0,100,0
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.887,138,96,92.71
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.808,34,91.304,89.512
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.861,85,95.833,90.224
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.897,99,100,89.583
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.792,17,91.304,87.67
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.837,76,91.667,91.827
