"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,889,100,99.9
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0,1000,0,99.679
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.498,505,50,99.84
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.496,0,100,0
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.494,495,50,99.359
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.497,495,50,99.679
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.847,495,85.714,98.939
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.482,495,50,98.237
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.983,495,100,98.317
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.922,495,100,92.228
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.988,141,100,98.798
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.994,985,100,99.359
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.992,429,100,99.199
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.988,191.5,100,98.798
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.992,467,100,99.199
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.999,688.5,100,99.92
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.99,353,100,98.958
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.979,167,100,97.917
