"rand1.MOBULA.BIROSTRIS_PA1_RUN1_GAM","rand2.MOBULA.BIROSTRIS_PA1_RUN1_GAM","rand3.MOBULA.BIROSTRIS_PA1_RUN1_GAM","rand4.MOBULA.BIROSTRIS_PA1_RUN1_GAM","rand5.MOBULA.BIROSTRIS_PA1_RUN1_GAM","rand1.MOBULA.BIROSTRIS_PA1_RUN1_GLM","rand2.MOBULA.BIROSTRIS_PA1_RUN1_GLM","rand3.MOBULA.BIROSTRIS_PA1_RUN1_GLM","rand4.MOBULA.BIROSTRIS_PA1_RUN1_GLM","rand5.MOBULA.BIROSTRIS_PA1_RUN1_GLM","rand1.MOBULA.BIROSTRIS_PA1_RUN1_MAXENT.Phillips","rand2.MOBULA.BIROSTRIS_PA1_RUN1_MAXENT.Phillips","rand3.MOBULA.BIROSTRIS_PA1_RUN1_MAXENT.Phillips","rand4.MOBULA.BIROSTRIS_PA1_RUN1_MAXENT.Phillips","rand5.MOBULA.BIROSTRIS_PA1_RUN1_MAXENT.Phillips","rand1.MOBULA.BIROSTRIS_PA1_RUN2_GAM","rand2.MOBULA.BIROSTRIS_PA1_RUN2_GAM","rand3.MOBULA.BIROSTRIS_PA1_RUN2_GAM","rand4.MOBULA.BIROSTRIS_PA1_RUN2_GAM","rand5.MOBULA.BIROSTRIS_PA1_RUN2_GAM","rand1.MOBULA.BIROSTRIS_PA1_RUN2_GLM","rand2.MOBULA.BIROSTRIS_PA1_RUN2_GLM","rand3.MOBULA.BIROSTRIS_PA1_RUN2_GLM","rand4.MOBULA.BIROSTRIS_PA1_RUN2_GLM","rand5.MOBULA.BIROSTRIS_PA1_RUN2_GLM","rand1.MOBULA.BIROSTRIS_PA1_RUN2_MAXENT.Phillips","rand2.MOBULA.BIROSTRIS_PA1_RUN2_MAXENT.Phillips","rand3.MOBULA.BIROSTRIS_PA1_RUN2_MAXENT.Phillips","rand4.MOBULA.BIROSTRIS_PA1_RUN2_MAXENT.Phillips","rand5.MOBULA.BIROSTRIS_PA1_RUN2_MAXENT.Phillips","rand1.MOBULA.BIROSTRIS_PA1_RUN3_GAM","rand2.MOBULA.BIROSTRIS_PA1_RUN3_GAM","rand3.MOBULA.BIROSTRIS_PA1_RUN3_GAM","rand4.MOBULA.BIROSTRIS_PA1_RUN3_GAM","rand5.MOBULA.BIROSTRIS_PA1_RUN3_GAM","rand1.MOBULA.BIROSTRIS_PA1_RUN3_GLM","rand2.MOBULA.BIROSTRIS_PA1_RUN3_GLM","rand3.MOBULA.BIROSTRIS_PA1_RUN3_GLM","rand4.MOBULA.BIROSTRIS_PA1_RUN3_GLM","rand5.MOBULA.BIROSTRIS_PA1_RUN3_GLM","rand1.MOBULA.BIROSTRIS_PA1_RUN3_MAXENT.Phillips","rand2.MOBULA.BIROSTRIS_PA1_RUN3_MAXENT.Phillips","rand3.MOBULA.BIROSTRIS_PA1_RUN3_MAXENT.Phillips","rand4.MOBULA.BIROSTRIS_PA1_RUN3_MAXENT.Phillips","rand5.MOBULA.BIROSTRIS_PA1_RUN3_MAXENT.Phillips","rand1.MOBULA.BIROSTRIS_PA1_RUN4_GAM","rand2.MOBULA.BIROSTRIS_PA1_RUN4_GAM","rand3.MOBULA.BIROSTRIS_PA1_RUN4_GAM","rand4.MOBULA.BIROSTRIS_PA1_RUN4_GAM","rand5.MOBULA.BIROSTRIS_PA1_RUN4_GAM","rand1.MOBULA.BIROSTRIS_PA1_RUN4_GLM","rand2.MOBULA.BIROSTRIS_PA1_RUN4_GLM","rand3.MOBULA.BIROSTRIS_PA1_RUN4_GLM","rand4.MOBULA.BIROSTRIS_PA1_RUN4_GLM","rand5.MOBULA.BIROSTRIS_PA1_RUN4_GLM","rand1.MOBULA.BIROSTRIS_PA1_RUN4_MAXENT.Phillips","rand2.MOBULA.BIROSTRIS_PA1_RUN4_MAXENT.Phillips","rand3.MOBULA.BIROSTRIS_PA1_RUN4_MAXENT.Phillips","rand4.MOBULA.BIROSTRIS_PA1_RUN4_MAXENT.Phillips","rand5.MOBULA.BIROSTRIS_PA1_RUN4_MAXENT.Phillips","rand1.MOBULA.BIROSTRIS_PA1_RUN5_GAM","rand2.MOBULA.BIROSTRIS_PA1_RUN5_GAM","rand3.MOBULA.BIROSTRIS_PA1_RUN5_GAM","rand4.MOBULA.BIROSTRIS_PA1_RUN5_GAM","rand5.MOBULA.BIROSTRIS_PA1_RUN5_GAM","rand1.MOBULA.BIROSTRIS_PA1_RUN5_GLM","rand2.MOBULA.BIROSTRIS_PA1_RUN5_GLM","rand3.MOBULA.BIROSTRIS_PA1_RUN5_GLM","rand4.MOBULA.BIROSTRIS_PA1_RUN5_GLM","rand5.MOBULA.BIROSTRIS_PA1_RUN5_GLM","rand1.MOBULA.BIROSTRIS_PA1_RUN5_MAXENT.Phillips","rand2.MOBULA.BIROSTRIS_PA1_RUN5_MAXENT.Phillips","rand3.MOBULA.BIROSTRIS_PA1_RUN5_MAXENT.Phillips","rand4.MOBULA.BIROSTRIS_PA1_RUN5_MAXENT.Phillips","rand5.MOBULA.BIROSTRIS_PA1_RUN5_MAXENT.Phillips","rand1.MOBULA.BIROSTRIS_PA1_Full_GAM","rand2.MOBULA.BIROSTRIS_PA1_Full_GAM","rand3.MOBULA.BIROSTRIS_PA1_Full_GAM","rand4.MOBULA.BIROSTRIS_PA1_Full_GAM","rand5.MOBULA.BIROSTRIS_PA1_Full_GAM","rand1.MOBULA.BIROSTRIS_PA1_Full_GLM","rand2.MOBULA.BIROSTRIS_PA1_Full_GLM","rand3.MOBULA.BIROSTRIS_PA1_Full_GLM","rand4.MOBULA.BIROSTRIS_PA1_Full_GLM","rand5.MOBULA.BIROSTRIS_PA1_Full_GLM","rand1.MOBULA.BIROSTRIS_PA1_Full_MAXENT.Phillips","rand2.MOBULA.BIROSTRIS_PA1_Full_MAXENT.Phillips","rand3.MOBULA.BIROSTRIS_PA1_Full_MAXENT.Phillips","rand4.MOBULA.BIROSTRIS_PA1_Full_MAXENT.Phillips","rand5.MOBULA.BIROSTRIS_PA1_Full_MAXENT.Phillips"
0.084275,0.075448,0.102217,0.098875,0.082579,0,0,0,0,0,0.411684,0.411131,0.440781,0.431311,0.493195,0.508332,0.605031,0.48082,0.614845,0.498128,0.659026,0.681981,0.601614,0.556424,0.72168,0.674295,0.718386,0.646135,0.660101,0.602418,1,1,1,1,1,0.522472,0.520737,0.54171,0.541503,0.521597,0.84308,0.905433,0.839008,0.881114,0.874944,0.692154,0.781196,0.708923,0.703296,0.682501,0,0,0,0,0,0.562986,0.543344,0.543679,0.514857,0.463966,0.969131,0.968641,0.985072,0.951867,0.984779,0.914681,0.931659,0.926194,0.922281,0.94354,0.556015,0.517667,0.476759,0.394626,0.461524,0.83557,0.89418,0.944821,0.908648,0.901845,0.809766,0.80418,0.839709,0.77127,0.802658,0.449591,0.378425,0.344633,0.380304,0.387829
0.944542,0.909669,0.912755,0.878855,0.955058,0,0,0,0,0,0.337625,0.421878,0.414618,0.410812,0.346127,0.938808,0.935324,0.937862,0.964064,0.914971,0.252748,0.322284,0.293131,0.395457,0.337051,0.247096,0.25813,0.263309,0.17203,0.28145,0.888874,0.950862,0.915716,0.969929,0.875631,0,0,0,0,0,0.14404,0.124433,0.165328,0.140692,0.119827,0.7504,0.748877,0.718177,0.764424,0.706777,0,0,0,0,0,0.361541,0.430506,0.441585,0.428752,0.398845,1,1,0.964199,1,0.987247,0,0,0,0,0,0.687695,0.696,0.673327,0.645801,0.76583,0.25029,0.227402,0.267336,0.247671,0.232127,0,0,0,0,0,0.927249,0.897093,0.883511,0.882413,0.893999
0.684702,0.990551,0.998195,0.728586,0.799018,0.319264,0.389945,0.312898,0.327897,0.341466,0.718898,0.802346,0.75584,0.777658,0.754368,0.923601,0.846652,0.915899,0.795416,0.890301,0,0,0,0,0,0.526732,0.61073,0.673613,0.587993,0.618699,0.973783,0.877739,0.88556,0.94268,1,0.235774,0.234335,0.23188,0.246872,0.228949,0.357451,0.487034,0.413034,0.456647,0.49226,1,1,1,0.960628,0.955622,0.662679,0.651323,0.696661,0.683922,0.633324,0.848118,0.695392,0.739312,0.830817,0.788259,0.989727,1,0.922065,0.990246,1,0.373549,0.372462,0.310486,0.257928,0.410323,0.658474,0.83815,0.614198,0.648328,0.641142,0.735512,0.700768,0.722086,0.879219,0.83541,1,1,1,1,1,0.780466,0.912158,0.887071,0.81011,0.755851
0.621756,0.588738,0.594373,0.563761,0.603163,0,0,0,0,0,0.01436,0.016205,0.013508,0.017055,0.015352,0.933185,0.887569,0.84636,0.941638,0.831887,1,1,1,1,1,0,0,0,0,0,0.983622,0.985104,0.936186,1,0.994977,0.759209,0.759063,0.766378,0.781986,0.774458,0.105161,0.102538,0.100774,0.109182,0.090262,0.914436,0.904082,0.873163,0.897218,0.914181,0,0,0,0,0,0.0237000000000001,0.025983,0.031487,0.034489,0.022429,0.949562,0.920279,0.927567,0.870506,0.890496,0.932282,0.883153,0.896908,0.916746,0.921115,0,0,0,0,0,0.722249,0.551555,0.797616,0.632113,0.585914,0,0,0,0,0,0,0,0,0,0
0.635698,0.564445,0.663017,0.602401,0.691367,0,0,0,0,0,0,0,0,0,0,0.624509,0.511203,0.633027,0.614569,0.650349,0,0,0,0,0,0.0570000000000001,0.055876,0.043222,0.056855,0.067551,0.889209,0.850133,0.843619,0.895148,0.89063,0.246727,0.249161,0.2368,0.23455,0.246671,0,0,0,0,0,0.973627,0.918815,0.913572,0.964654,0.953142,0,0,0,0,0,0,0,0,0,0,0.674769,0.495187,0.439146,0.506236,0.341952,0,0,0,0,0,0,0,0,0,0,0.477703,0.683644,0.687034,0.52566,0.659782,0,0,0,0,0,0,0,0,0,0
0.508716,0.511547,0.517374,0.538439,0.535822,0,0,0,0,0,0,0,0,0,0,0.900492,0.970462,0.94067,0.977132,0.972996,0,0,0,0,0,0,0,0,0,0,0.794733,0.755695,0.79164,0.769206,0.771223,0,0,0,0,0,0,0,0,0,0,0.882934,0.890976,0.915101,0.906935,0.891556,0,0,0,0,0,0,0,0,0,0,0.895895,0.896024,0.897555,0.906598,0.895412,0,0,0,0,0,0,0,0,0,0,0.682779,0.842102,0.586842,0.80629,0.75628,0.657019,0.646734,0.613492,0.629504,0.661804,0.017809,0.016614,0.015456,0.015657,0.017995
0.986267,0.979452,0.986321,0.976412,0.951831,0.493658,0.434432,0.460704,0.470133,0.466155,0,0,0,0,0,0.986935,0.940277,0.991646,0.954238,0.991632,0.919506,0.953726,0.925663,0.892335,0.920338,0,0,0,0,0,0.882142,0.829577,0.835195,0.865209,0.858407,0,0,0,0,0,0,0,0,0,0,0.865067,0.865868,0.839666,0.863927,0.888095,0.780806,0.788431,0.79599,0.803568,0.767446,0,0,0,0,0,0.93415,0.924948,0.941788,0.92423,0.962694,0,0,0,0,0,0,0,0,0,0,0.730049,0.756421,0.800978,0.765065,0.777706,0.594998,0.572677,0.58708,0.572943,0.568019,0.00806099999999998,0.00841000000000003,0.00700900000000004,0.00862600000000002,0.00756100000000004
0.537247,0.509332,0.556796,0.591371,0.576001,0.227587,0.222294,0.17532,0.23749,0.20092,0,0,0,0,0,0.925179,0.929784,0.930383,0.914865,0.919187,0,0,0,0,0,0,0,0,0,0,0.626339,0.676069,0.65624,0.641278,0.624133,0,0,0,0,0,0,0,0,0,0,0.954871,0.955319,0.982094,0.973404,0.983149,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0.011477,0.01259,0.015898,0.015077,0.0140980000000001,0.907942,0.920771,0.855595,0.808607,0.828689,1,0.975052,0.988891,0.986252,0.95434,0.035798,0.026602,0.0247579999999999,0.030231,0.027393
0.853982,0.859677,0.831796,0.737906,0.918406,0,0,0,0,0,0,0,0,0,0,0.892856,0.978758,0.981565,0.90369,0.980964,0.261551,0.305889,0.291902,0.283542,0.236204,0.0777600000000001,0.099123,0.087442,0.069706,0.058727,0.935963,0.809224,0.918309,0.922573,0.859522,0.433744,0.413924,0.440755,0.420515,0.436114,1.00000000002876e-06,1.00000000002876e-06,1.00000000002876e-06,1.00000000002876e-06,1.00000000002876e-06,0.645868,0.682362,0.647773,0.70679,0.624873,0,0,0,0,0,0,0,0,0,0,0.921973,0.888853,0.91275,0.925467,0.939038,0.283031,0.255638,0.220204,0.279627,0.290336,0,0,0,0,0,0.50231,0.519218,0.599677,0.450364,0.412529,0.162627,0.150847,0.14074,0.184106,0.120466,0,0,0,0,0
0.945594,0.695977,0.966735,0.78231,0.622482,0.803327,0.789565,0.831881,0.768733,0.806088,0.016939,0.015136,0.015612,0.013479,0.01394,0.871796,0.942555,0.876081,0.877294,0.866189,0,0,0,0,0,0.309733,0.193825,0.214596,0.235676,0.302449,0.868555,0.860505,0.862991,0.866391,0.887404,0,0,0,0,0,0.0157350000000001,0.021267,0.015783,0.015934,0.015439,0.652475,0.707641,0.638726,0.679596,0.584187,0.793145,0.853397,0.802545,0.824257,0.832026,0.00500199999999995,0.00500400000000001,0.00500199999999995,0.00500199999999995,0.00500299999999998,0.904402,0.910522,0.875302,0.88561,0.857017,0,0,0,0,0,0.021771,0.024258,0.028177,0.027567,0.02525,0.612843,0.572767,0.608583,0.611584,0.662763,0.50586,0.548992,0.541023,0.542621,0.560174,0.539369,0.54322,0.523423,0.550808,0.538039
