"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.998,924,100,99.76
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.285,495,29.412,99.119
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.343,0,100,0
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.195,495,20,99.52
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.232,500,23.529,99.679
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.227,379,23.529,99.199
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.974,495,100,97.375
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.115,354,11.765,99.76
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.575,495,58.824,98.638
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.936,500,100,93.6
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.656,495,76.471,89.103
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.873,495,100,87.26
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.975,30,100,97.435
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.909,0,100,0
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.938,0,100,0
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.971,26,100,97.04
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.977,400,100,97.676
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.917,101,94.118,97.596
