"rand1.MOBULA.KUHLII_PA1_RUN1_GAM","rand2.MOBULA.KUHLII_PA1_RUN1_GAM","rand3.MOBULA.KUHLII_PA1_RUN1_GAM","rand4.MOBULA.KUHLII_PA1_RUN1_GAM","rand5.MOBULA.KUHLII_PA1_RUN1_GAM","rand1.MOBULA.KUHLII_PA1_RUN1_GLM","rand2.MOBULA.KUHLII_PA1_RUN1_GLM","rand3.MOBULA.KUHLII_PA1_RUN1_GLM","rand4.MOBULA.KUHLII_PA1_RUN1_GLM","rand5.MOBULA.KUHLII_PA1_RUN1_GLM","rand1.MOBULA.KUHLII_PA1_RUN1_MAXENT.Phillips","rand2.MOBULA.KUHLII_PA1_RUN1_MAXENT.Phillips","rand3.MOBULA.KUHLII_PA1_RUN1_MAXENT.Phillips","rand4.MOBULA.KUHLII_PA1_RUN1_MAXENT.Phillips","rand5.MOBULA.KUHLII_PA1_RUN1_MAXENT.Phillips","rand1.MOBULA.KUHLII_PA1_RUN2_GAM","rand2.MOBULA.KUHLII_PA1_RUN2_GAM","rand3.MOBULA.KUHLII_PA1_RUN2_GAM","rand4.MOBULA.KUHLII_PA1_RUN2_GAM","rand5.MOBULA.KUHLII_PA1_RUN2_GAM","rand1.MOBULA.KUHLII_PA1_RUN2_GLM","rand2.MOBULA.KUHLII_PA1_RUN2_GLM","rand3.MOBULA.KUHLII_PA1_RUN2_GLM","rand4.MOBULA.KUHLII_PA1_RUN2_GLM","rand5.MOBULA.KUHLII_PA1_RUN2_GLM","rand1.MOBULA.KUHLII_PA1_RUN2_MAXENT.Phillips","rand2.MOBULA.KUHLII_PA1_RUN2_MAXENT.Phillips","rand3.MOBULA.KUHLII_PA1_RUN2_MAXENT.Phillips","rand4.MOBULA.KUHLII_PA1_RUN2_MAXENT.Phillips","rand5.MOBULA.KUHLII_PA1_RUN2_MAXENT.Phillips","rand1.MOBULA.KUHLII_PA1_RUN3_GAM","rand2.MOBULA.KUHLII_PA1_RUN3_GAM","rand3.MOBULA.KUHLII_PA1_RUN3_GAM","rand4.MOBULA.KUHLII_PA1_RUN3_GAM","rand5.MOBULA.KUHLII_PA1_RUN3_GAM","rand1.MOBULA.KUHLII_PA1_RUN3_GLM","rand2.MOBULA.KUHLII_PA1_RUN3_GLM","rand3.MOBULA.KUHLII_PA1_RUN3_GLM","rand4.MOBULA.KUHLII_PA1_RUN3_GLM","rand5.MOBULA.KUHLII_PA1_RUN3_GLM","rand1.MOBULA.KUHLII_PA1_RUN3_MAXENT.Phillips","rand2.MOBULA.KUHLII_PA1_RUN3_MAXENT.Phillips","rand3.MOBULA.KUHLII_PA1_RUN3_MAXENT.Phillips","rand4.MOBULA.KUHLII_PA1_RUN3_MAXENT.Phillips","rand5.MOBULA.KUHLII_PA1_RUN3_MAXENT.Phillips","rand1.MOBULA.KUHLII_PA1_RUN4_GAM","rand2.MOBULA.KUHLII_PA1_RUN4_GAM","rand3.MOBULA.KUHLII_PA1_RUN4_GAM","rand4.MOBULA.KUHLII_PA1_RUN4_GAM","rand5.MOBULA.KUHLII_PA1_RUN4_GAM","rand1.MOBULA.KUHLII_PA1_RUN4_GLM","rand2.MOBULA.KUHLII_PA1_RUN4_GLM","rand3.MOBULA.KUHLII_PA1_RUN4_GLM","rand4.MOBULA.KUHLII_PA1_RUN4_GLM","rand5.MOBULA.KUHLII_PA1_RUN4_GLM","rand1.MOBULA.KUHLII_PA1_RUN4_MAXENT.Phillips","rand2.MOBULA.KUHLII_PA1_RUN4_MAXENT.Phillips","rand3.MOBULA.KUHLII_PA1_RUN4_MAXENT.Phillips","rand4.MOBULA.KUHLII_PA1_RUN4_MAXENT.Phillips","rand5.MOBULA.KUHLII_PA1_RUN4_MAXENT.Phillips","rand1.MOBULA.KUHLII_PA1_RUN5_GAM","rand2.MOBULA.KUHLII_PA1_RUN5_GAM","rand3.MOBULA.KUHLII_PA1_RUN5_GAM","rand4.MOBULA.KUHLII_PA1_RUN5_GAM","rand5.MOBULA.KUHLII_PA1_RUN5_GAM","rand1.MOBULA.KUHLII_PA1_RUN5_GLM","rand2.MOBULA.KUHLII_PA1_RUN5_GLM","rand3.MOBULA.KUHLII_PA1_RUN5_GLM","rand4.MOBULA.KUHLII_PA1_RUN5_GLM","rand5.MOBULA.KUHLII_PA1_RUN5_GLM","rand1.MOBULA.KUHLII_PA1_RUN5_MAXENT.Phillips","rand2.MOBULA.KUHLII_PA1_RUN5_MAXENT.Phillips","rand3.MOBULA.KUHLII_PA1_RUN5_MAXENT.Phillips","rand4.MOBULA.KUHLII_PA1_RUN5_MAXENT.Phillips","rand5.MOBULA.KUHLII_PA1_RUN5_MAXENT.Phillips","rand1.MOBULA.KUHLII_PA1_Full_GAM","rand2.MOBULA.KUHLII_PA1_Full_GAM","rand3.MOBULA.KUHLII_PA1_Full_GAM","rand4.MOBULA.KUHLII_PA1_Full_GAM","rand5.MOBULA.KUHLII_PA1_Full_GAM","rand1.MOBULA.KUHLII_PA1_Full_GLM","rand2.MOBULA.KUHLII_PA1_Full_GLM","rand3.MOBULA.KUHLII_PA1_Full_GLM","rand4.MOBULA.KUHLII_PA1_Full_GLM","rand5.MOBULA.KUHLII_PA1_Full_GLM","rand1.MOBULA.KUHLII_PA1_Full_MAXENT.Phillips","rand2.MOBULA.KUHLII_PA1_Full_MAXENT.Phillips","rand3.MOBULA.KUHLII_PA1_Full_MAXENT.Phillips","rand4.MOBULA.KUHLII_PA1_Full_MAXENT.Phillips","rand5.MOBULA.KUHLII_PA1_Full_MAXENT.Phillips"
0.905432,0.779772,0.826161,0.82285,0.803063,0.422683,0.906011,0.352454,0.728353,0.993007,0.732978,0.88992,0.858971,0.847669,0.823017,0.74221,0.734939,0.726817,0.731475,0.742365,0,0,0,0,0,0.667675,0.588683,0.541897,0.604196,0.642369,0.656016,0.617668,0.667199,0.663194,0.637475,0,0,0,0,0,0.739565,0.718529,0.773612,0.779224,0.761407,0.787782,1,0.936383,0.864793,0.84486,0.593828,0.621254,0.612684,0.638129,0.605208,0.018896,0.017533,0.01958,0.018752,0.020064,1,1,0.99706,1,1,0.470346,0.427345,0.470984,0.415472,0.472902,0.689424,0.79627,0.821513,0.780215,0.811398,0.918709,0.888702,0.727285,0.852232,0.899378,0.910248,0.884367,0.900663,0.896532,0.901992,0.439363,0.362024,0.402479,0.497538,0.485191
0.431106,0.439152,0.511138,0.489257,0.478143,0.759338,0.915273,0.653122,1,1,0,0,0,0,0,0.912294,0.926154,0.900034,0.906661,0.914483,1,1,1,1,1,0,0,0,0,0,0.697783,0.645332,0.705725,0.698607,0.673453,0,0,0,0,0,0.798723,0.82525,0.789855,0.82188,0.845913,0.936313,0.937112,0.945809,0.935707,0.928462,0,0,0,0,0,0.105421,0.117417,0.105163,0.113838,0.116984,0.972854,0.982536,0.972404,0.996,0.971566,1,1,1,1,1,0.520168,0.537358,0.479751,0.475988,0.50322,0.630033,0.799576,0.841957,0.772073,0.674944,0.955782,1,1,1,1,0.254146,0.232209,0.178962,0.271849,0.231893
0.409819,0.43859,0.435404,0.449837,0.428861,0,0,0,0,0,0.507777,0.607761,0.440743,0.577713,0.485341,0.981849,1,0.988358,0.952931,0.984138,0.684619,0.744239,0.678652,0.728207,0.691793,0.781783,0.737736,0.649018,0.789573,0.681368,0.9095,0.761623,1,0.916547,0.774742,0.973945,0.97212,0.972458,0.968239,0.96769,0.449404,0.41074,0.391898,0.363839,0.428816,1,0.962289,0.962426,1,0.964352,0.410349,0.41418,0.433164,0.423701,0.395034,0.918554,0.898925,0.863699,0.869897,0.908071,0.871182,0.836366,0.79532,0.951743,0.947898,0.296282,0.256154,0.254907,0.26249,0.274971,0.530146,0.463338,0.487728,0.499914,0.491378,1,0.846246,0.99112,1,0.91514,0.25976,0.319727,0.349094,0.26592,0.327812,0.896517,0.75886,0.779426,0.900708,0.883361
0.850133,0.851068,0.866014,0.871976,0.867888,0,0,0,0,0,0,0,0,0,0,0.966438,0.948243,0.930743,0.940783,0.942283,0.739736,0.715431,0.668774,0.715588,0.658793,0.606439,0.70058,0.63362,0.619298,0.619585,0.899187,0.886429,0.886738,0.876518,0.886168,0,0,0,0,0,0,0,0,0,0,0.973026,0.971585,0.94889,0.972507,0.930801,0.948498,0.958506,0.993415,0.965336,0.980292,0.051218,0.057329,0.051853,0.06037,0.057963,0.500918,0.468446,0.470969,0.516616,0.432554,0,0,0,0,0,0,0,0,0,0,0.892593,0.948821,0.929969,0.892041,0.907296,0.516992,0.515023,0.506701,0.5386,0.493159,0.321447,0.328923,0.322426,0.31359,0.365436
0.94835,0.939451,0.953749,0.931966,0.953248,1,0.969955,1,0.865496,0.967392,0.218208,0.204782,0.206932,0.181342,0.200763,0.898542,0.898792,0.900405,0.890777,0.900816,0.73038,0.698628,0.714472,0.727212,0.746075,0,0,0,0,0,0.937519,0.924938,0.941417,0.945721,0.926278,0,0,0,0,0,0,0,0,0,0,0.997561,0.987756,0.934258,0.998157,0.93317,0,0,0,0,0,0,0,0,0,0,0.602281,0.607392,0.618242,0.607263,0.681191,0,0,0,0,0,0,0,0,0,0,0.915443,0.982322,0.912214,0.894923,0.896147,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0.923191,0.879081,1,0.907888,0.811915,0.937203,0.97802,0.983381,0.954216,0.95987,0.95309,0.948328,0.964753,0.971095,0.960144,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.9296,0.947617,0.926918,0.9035,0.930834,0,0,0,0,0,0,0,0,0,0,0.67351,0.662029,0.726252,0.695779,0.740144,0.520988,0.534533,0.543891,0.529054,0.568058,0,0,0,0,0,0.808852,0.856176,0.787575,0.780532,0.799216,0.750643,0.727296,0.734861,0.719337,0.7326,0,0,0,0,0
0.894557,0.926969,0.915367,0.916009,0.917134,0,0,0,0,0,0,0,0,0,0,0.34864,0.329549,0.444541,0.332348,0.308245,0,0,0,0,0,0,0,0,0,0,0.840043,0.986699,0.836257,0.878957,0.892369,0,0,0,0,0,0,0,0,0,0,0.871503,0.887486,0.920511,0.902891,0.877775,0,0,0,0,0,0,0,0,0,0,0.998125,0.939982,0.943698,0.960422,0.953906,0,0,0,0,0,0,0,0,0,0,0.817257,0.761435,0.765857,0.782614,0.805025,0,0,0,0,0,0.069952,0.059141,0.036631,0.058199,0.059832
0.770953,0.777252,0.750815,0.78002,0.812565,0,0,0,0,0,0.136582,0.126423,0.104412,0.111093,0.130843,0.887993,0.834107,0.826267,0.837044,0.827273,0.848817,0.909222,0.878505,0.874109,0.879771,0,0,0,0,0,0.618114,0.623,0.641706,0.586264,0.591571,0,0,0,0,0,0,0,0,0,0,0.970054,0.984653,0.971031,0.961739,0.984511,0.239687,0.253543,0.244965,0.248233,0.24564,0.07604,0.078647,0.073242,0.076423,0.067982,0.720622,0.70861,0.729907,0.784373,0.710561,0.41993,0.428188,0.419067,0.425153,0.421869,0,0,0,0,0,0.881874,0.930107,0.934438,0.903,0.92463,0.964593,0.915925,0.927604,0.906679,0.939926,0.198497,0.228483,0.21541,0.273615,0.195266
0.332621,0.381057,0.414779,0.305054,0.389308,0,0,0,0,0,0.001363,0.00121899999999997,0.00113399999999997,0.000905999999999962,0.00112100000000004,0.226734,0.286978,0.257016,0.293676,0.24236,0,0,0,0,0,0.011744,0.011948,0.012738,0.010398,0.012895,0.405086,0.281473,0.386398,0.351013,0.472625,0.114265,0.107767,0.109259,0.105002,0.106717,0,0,0,0,0,0.765443,0.796055,0.911513,0.796781,0.799331,0,0,0,0,0,0,0,0,0,0,0.84608,0.783878,0.976584,0.947166,0.861808,0,0,0,0,0,0,0,0,0,0,0.348659,0.347598,0.342889,0.333301,0.350741,0.412775,0.396581,0.403788,0.435051,0.415682,0,0,0,0,0
0.860399,0.917269,0.915346,0.867797,0.858976,0,0,0,0,0,0.000117000000000034,0.000136000000000025,0.000121999999999955,0.000155000000000016,0.000153999999999987,0.972455,0.966818,0.853001,0.822124,0.941206,0,0,0,0,0,0.208463,0.163538,0.223956,0.218697,0.205217,0.867246,0.841256,0.830381,0.872526,0.845897,0,0,0,0,0,0.00651199999999996,0.00353099999999995,0.005776,0.00553099999999995,0.00526800000000005,0.734573,0.753868,0.734918,0.780372,0.75349,0.383429,0.362964,0.367073,0.365456,0.3768,0.00251900000000005,0.00298299999999996,0.00217699999999998,0.00302999999999998,0.00309199999999998,0.847957,0.867269,0.860285,0.839867,0.839967,0,0,0,0,0,0,0,0,0,0,0.518306,0.515098,0.529213,0.492159,0.491011,0.625366,0.627963,0.562136,0.624709,0.614485,0.091065,0.106993,0.094056,0.104902,0.069053
