"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.895,540,96.238,93.267
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.846,545,95.05,89.505
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.827,530,92.366,90.299
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.811,682,90.909,90.226
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.849,591,94.697,90.226
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.745,343,95.42,79.104
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.842,449.5,93.939,90.226
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.789,465,90.977,87.879
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.864,343,99.248,87.121
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.76,152,96.183,79.851
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.812,232,97.727,83.459
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.804,404,97.727,82.707
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.827,374,93.182,89.474
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.849,394,96.97,87.97
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.842,197,99.242,84.962
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.812,197,96.212,84.962
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.797,222,94.656,85.075
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.775,586,91.538,85.926
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.788,348.5,93.985,84.848
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.757,424,94.03,81.679
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.835,237,97.71,85.821
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.745,389,93.13,81.343
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.848,548,93.267,91.485
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.8,500,93.069,86.931
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.888,388,97.71,91.045
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.819,506.5,93.939,87.97
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.834,484,96.212,87.218
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.767,535,92.366,84.328
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.864,618,93.939,92.481
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.774,734,87.218,90.152
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.849,692,92.481,92.424
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.738,272,95.42,78.358
