"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByTSS_mergedAlgo_RUN1_PA1","KAPPA",0.758,NA,155,94.656,81.203
"2","EMmeanByTSS_mergedAlgo_RUN1_PA1","TSS",0.759,NA,155,94.656,81.203
"3","EMmeanByTSS_mergedAlgo_RUN1_PA1","ROC",0.948,NA,166.5,94.656,81.955
"4","EMmeanByTSS_mergedAlgo_RUN2_PA1","KAPPA",0.871,NA,205,96.124,91.111
"5","EMmeanByTSS_mergedAlgo_RUN2_PA1","TSS",0.872,NA,205,96.124,91.111
"6","EMmeanByTSS_mergedAlgo_RUN2_PA1","ROC",0.968,NA,205.5,96.124,91.111
"7","EMmeanByTSS_mergedAlgo_RUN3_PA1","KAPPA",0.78,NA,595,87.218,90.84
"8","EMmeanByTSS_mergedAlgo_RUN3_PA1","TSS",0.781,NA,595,87.218,90.84
"9","EMmeanByTSS_mergedAlgo_RUN3_PA1","ROC",0.93,NA,597,87.218,90.84
"10","EMmeanByTSS_mergedAlgo_RUN4_PA1","KAPPA",0.849,NA,294,96.923,88.06
"11","EMmeanByTSS_mergedAlgo_RUN4_PA1","TSS",0.85,NA,294,96.923,88.06
"12","EMmeanByTSS_mergedAlgo_RUN4_PA1","ROC",0.963,NA,297.5,96.923,88.06
"13","EMmeanByTSS_mergedAlgo_RUN5_PA1","KAPPA",0.811,NA,563,90.299,90.769
"14","EMmeanByTSS_mergedAlgo_RUN5_PA1","TSS",0.811,NA,563,90.299,90.769
"15","EMmeanByTSS_mergedAlgo_RUN5_PA1","ROC",0.962,NA,560.5,90.299,90.769
"16","EMmeanByTSS_mergedAlgo_RUN6_PA1","KAPPA",0.811,NA,405,96.183,84.962
"17","EMmeanByTSS_mergedAlgo_RUN6_PA1","TSS",0.811,NA,405,96.183,84.962
"18","EMmeanByTSS_mergedAlgo_RUN6_PA1","ROC",0.938,NA,377,96.947,84.211
"19","EMmeanByTSS_mergedAlgo_RUN7_PA1","KAPPA",0.826,NA,261,98.462,84.328
"20","EMmeanByTSS_mergedAlgo_RUN7_PA1","TSS",0.828,NA,261,98.462,84.328
"21","EMmeanByTSS_mergedAlgo_RUN7_PA1","ROC",0.937,NA,261.5,98.462,84.328
