"GAM.RUN1.PA1","GLM.RUN1.PA1","MAXENT.Phillips.RUN1.PA1","GAM.RUN2.PA1","GLM.RUN2.PA1","MAXENT.Phillips.RUN2.PA1","GAM.RUN3.PA1","GLM.RUN3.PA1","MAXENT.Phillips.RUN3.PA1","GAM.RUN4.PA1","GLM.RUN4.PA1","MAXENT.Phillips.RUN4.PA1","GAM.RUN5.PA1","GLM.RUN5.PA1","MAXENT.Phillips.RUN5.PA1","GAM.RUN6.PA1","GLM.RUN6.PA1","MAXENT.Phillips.RUN6.PA1","GAM.RUN7.PA1","GLM.RUN7.PA1","MAXENT.Phillips.RUN7.PA1","GAM.RUN8.PA1","GLM.RUN8.PA1","MAXENT.Phillips.RUN8.PA1","GAM.RUN9.PA1","GLM.RUN9.PA1","MAXENT.Phillips.RUN9.PA1","GAM.RUN10.PA1","GLM.RUN10.PA1","MAXENT.Phillips.RUN10.PA1","GAM.Full.PA1","GLM.Full.PA1","MAXENT.Phillips.Full.PA1","GAM.RUN1.PA2","GLM.RUN1.PA2","MAXENT.Phillips.RUN1.PA2","GAM.RUN2.PA2","GLM.RUN2.PA2","MAXENT.Phillips.RUN2.PA2","GAM.RUN3.PA2","GLM.RUN3.PA2","MAXENT.Phillips.RUN3.PA2","GAM.RUN4.PA2","GLM.RUN4.PA2","MAXENT.Phillips.RUN4.PA2","GAM.RUN5.PA2","GLM.RUN5.PA2","MAXENT.Phillips.RUN5.PA2","GAM.RUN6.PA2","GLM.RUN6.PA2","MAXENT.Phillips.RUN6.PA2","GAM.RUN7.PA2","GLM.RUN7.PA2","MAXENT.Phillips.RUN7.PA2","GAM.RUN8.PA2","GLM.RUN8.PA2","MAXENT.Phillips.RUN8.PA2","GAM.RUN9.PA2","GLM.RUN9.PA2","MAXENT.Phillips.RUN9.PA2","GAM.RUN10.PA2","GLM.RUN10.PA2","MAXENT.Phillips.RUN10.PA2","GAM.Full.PA2","GLM.Full.PA2","MAXENT.Phillips.Full.PA2"
0.557,0.702,0.41,0.333,0.516,0.594,0.386,0.202,0.522,0.252,0.338,0.563,0.234,0.839,0.654,0.262,0.339,0.58,0.31,0.346,0.417,0.471,0.293,0.449,0.146,0.186,0.664,0.028,0.142,0.604,0.121,0.239,0.684,0.11,0.387,0.513,0.741,0.225,0.455,0.578,0.452,0.455,0,0.311,0.405,0.51,0.433,0.625,0.001,0.362,0.518,0.537,0.316,0.365,0.084,0.379,0.58,0.397,0.41,0.482,0.369,0.687,0.59,0.354,0.354,0.619
0.174,0,0.047,0.136,0,0.028,0.385,0,0,0.415,0.142,0,0.147,0,0.194,0.073,0,0.032,0.417,0,0.06,0.024,0.136,0.108,0.012,0.145,0,0.013,0,0.001,0.405,0,0.006,0,0,0.068,0.371,0.106,0,0.302,0,0,0.483,0,0.002,0.042,0,0.041,0.322,0,0.088,0.28,0,0,0.269,0.071,0.054,0.14,0,0.002,0.233,0,0.127,0.114,0.188,0.021
0.123,0,0.042,0.108,0,0.011,0.528,0.352,0.015,0.324,0.155,0,0.262,0,0.045,0.324,0,0,0.451,0,0.021,0.129,0,0,0.403,0,0,0.365,0,0.001,0.425,0,0,0.099,0,0.013,0.469,0,0,0.178,0,0,0.518,0,0.005,0.071,0,0.024,0.474,0,0.119,0.32,0,0,0.392,0,0.011,0.271,0,0.002,0.151,0,0.004,0.102,0,0
0.316,0,0.006,0.174,0,0.049,0.47,0,0.103,0.412,0,0.033,0.296,0,0.188,0.084,0,0.006,0.37,0,0.013,0.106,0.217,0.051,0.333,0,0,0.491,0.093,0,0.484,0,0.058,0.024,0,0.021,0.622,0,0.006,0.203,0,0,0.454,0,0.01,0.005,0,0,0.562,0,0.015,0.258,0,0,0.653,0,0.039,0.296,0,0,0.017,0,0.022,0.159,0,0.003
0.228,0.239,0.346,0.251,0.364,0.066,0.38,0.474,0.194,0.061,0.294,0.224,0.118,0.211,0.096,0.26,0.412,0.171,0.434,0.391,0.577,0.198,0.28,0.388,0.159,0.404,0.033,0.282,0.347,0.085,0.195,0.234,0.196,0.244,0.31,0.354,0.095,0.366,0.27,0.149,0.311,0.284,0.268,0.236,0.185,0.43,0.333,0.162,0.775,0.399,0.238,0.331,0.241,0.372,0.319,0.336,0.277,0.323,0.27,0.171,0.348,0.17,0.23,0.232,0.286,0.2
0.136,0.2,0.041,0.099,0,0.066,0.486,0,0.025,0.26,0,0.003,0.186,0.018,0.086,0.16,0,0.002,0.333,0,0.229,0.257,0.126,0.006,0.248,0,0.039,0.125,0,0.013,0.454,0,0.025,0.014,0.153,0.074,0.146,0,0,0.002,0,0,0.489,0.045,0.004,0.186,0,0.003,0.148,0,0.146,0.148,0,0.003,0.157,0,0.034,0.368,0,0.004,0.277,0,0.003,0.039,0,0.041
0.165,0.151,0.026,0.009,0,0.035,0.018,0,0.028,0.117,0,0.051,0.138,0,0.028,0.229,0,0.046,0.1,0,0.143,0.178,0,0.026,0.193,0,0.018,0.229,0,0.024,0.209,0,0.038,0.081,0,0.035,0.382,0,0.026,0.209,0.155,0,0.091,0,0.002,0.095,0,0.02,0.237,0,0.041,0.293,0,0,0.041,0,0.011,0.192,0,0,0.273,0,0.007,0.041,0,0.01
0.021,0.042,0.113,0.002,0,0.06,0.33,0.126,0.05,0.139,0,0.025,0.109,0,0.123,0.053,0,0.042,0.159,0,0.093,0.136,0,0,0.069,0,0.016,0.03,0.056,0.006,0.221,0.028,0.112,0.01,0,0.042,0.205,0.015,0.19,0.039,0.065,0.047,0.218,0,0.023,0.199,0,0.032,0.157,0,0.107,0.149,0.014,0.016,0.027,0,0.049,0.119,0.017,0.011,0.314,0.041,0.092,0.009,0,0.058
0.293,0.373,0.051,0,0.065,0.005,0.228,0,0,0.132,0,0,0.161,0,0,0.018,0.042,0.009,0.338,0.048,0.056,0.244,0.118,0.007,0.152,0,0,0.017,0.091,0,0.25,0,0.01,0.162,0.237,0.076,0.207,0,0.119,0.229,0.285,0,0.275,0.249,0,0.086,0.095,0.017,0.242,0.107,0.039,0.381,0.1,0,0,0,0.093,0.409,0,0.045,0.157,0,0.039,0.008,0.062,0.042
0.102,0,0.033,0.089,0,0.028,0.027,0,0.023,0.014,0,0.005,0.177,0,0.002,0.001,0.058,0,0.204,0.065,0.043,0.187,0,0.02,0.055,0.027,0,0.053,0,0.027,0.109,0,0.033,0.234,0.068,0.04,0.155,0,0.036,0.071,0,0,0.193,0,0,0.356,0,0.037,0.111,0,0.004,0.454,0,0,0.004,0,0,0.064,0,0,0.246,0,0.042,0.061,0,0.042
