"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.787,586,95.47,83.391
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.815,586,96.516,85.017
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.756,486,96.396,79.186
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.779,404,97.738,80.18
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.793,349,98.643,80.631
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.746,323,96.413,78.182
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.75,196,99.552,75.455
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.779,313,95.928,81.982
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.705,258,95.067,75.455
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.728,646,92.377,80.455
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.783,510,95.045,83.258
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.773,323,94.619,82.727
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.77,400.5,98.643,78.378
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.787,465,96.847,81.9
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.765,475,97.297,79.186
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.774,490,94.144,83.258
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.754,111,99.554,75.799
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.769,535,92.825,83.636
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.786,459,97.321,81.279
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.819,545,97.748,84.163
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.797,525,98.19,81.532
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.75,484,95.536,79.452
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.784,626,97.329,81.069
