"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByTSS_mergedAlgo_RUN1_PA1","KAPPA",0.792,NA,357,98.661,80.365
"2","EMmeanByTSS_mergedAlgo_RUN1_PA1","TSS",0.79,NA,357,98.661,80.365
"3","EMmeanByTSS_mergedAlgo_RUN1_PA1","ROC",0.903,NA,356.5,98.661,80.365
"4","EMmeanByTSS_mergedAlgo_RUN2_PA1","KAPPA",0.819,NA,415,98.661,83.105
"5","EMmeanByTSS_mergedAlgo_RUN2_PA1","TSS",0.818,NA,415,98.661,83.105
"6","EMmeanByTSS_mergedAlgo_RUN2_PA1","ROC",0.93,NA,442.5,97.768,84.018
"7","EMmeanByTSS_mergedAlgo_RUN3_PA1","KAPPA",0.869,NA,424.5,100,86.818
"8","EMmeanByTSS_mergedAlgo_RUN3_PA1","TSS",0.868,NA,424.5,100,86.818
"9","EMmeanByTSS_mergedAlgo_RUN3_PA1","ROC",0.949,NA,425.5,100,86.818
"10","EMmeanByTSS_mergedAlgo_RUN4_PA1","KAPPA",0.855,NA,477,98.198,87.33
"11","EMmeanByTSS_mergedAlgo_RUN4_PA1","TSS",0.855,NA,477,98.198,87.33
"12","EMmeanByTSS_mergedAlgo_RUN4_PA1","ROC",0.946,NA,475.5,98.198,87.33
"13","EMmeanByTSS_mergedAlgo_RUN5_PA1","KAPPA",0.778,NA,283,97.333,80.275
"14","EMmeanByTSS_mergedAlgo_RUN5_PA1","TSS",0.776,NA,283,97.333,80.275
"15","EMmeanByTSS_mergedAlgo_RUN5_PA1","ROC",0.9,NA,279,97.333,80.275
"16","EMmeanByTSS_mergedAlgo_RUN6_PA1","KAPPA",0.774,NA,468,96.396,80.995
"17","EMmeanByTSS_mergedAlgo_RUN6_PA1","TSS",0.774,NA,468,96.396,80.995
"18","EMmeanByTSS_mergedAlgo_RUN6_PA1","ROC",0.904,NA,469,96.396,80.995
"19","EMmeanByTSS_mergedAlgo_RUN7_PA1","KAPPA",0.824,NA,442,97.778,84.404
"20","EMmeanByTSS_mergedAlgo_RUN7_PA1","TSS",0.822,NA,442,97.778,84.404
"21","EMmeanByTSS_mergedAlgo_RUN7_PA1","ROC",0.922,NA,439.5,97.778,84.404
"22","EMmeanByTSS_mergedAlgo_RUN8_PA1","KAPPA",0.788,NA,429,97.748,80.995
"23","EMmeanByTSS_mergedAlgo_RUN8_PA1","TSS",0.787,NA,429,97.748,80.995
"24","EMmeanByTSS_mergedAlgo_RUN8_PA1","ROC",0.899,NA,432.5,97.748,80.995
"25","EMmeanByTSS_mergedAlgo_RUN9_PA1","KAPPA",0.824,NA,174,98.655,83.636
"26","EMmeanByTSS_mergedAlgo_RUN9_PA1","TSS",0.823,NA,174,98.655,83.636
"27","EMmeanByTSS_mergedAlgo_RUN9_PA1","ROC",0.909,NA,174.5,98.655,83.636
"28","EMmeanByTSS_mergedAlgo_RUN10_PA1","KAPPA",0.801,NA,558,93.694,86.425
"29","EMmeanByTSS_mergedAlgo_RUN10_PA1","TSS",0.801,NA,558,93.694,86.425
"30","EMmeanByTSS_mergedAlgo_RUN10_PA1","ROC",0.915,NA,559.5,93.694,86.425
"31","EMmeanByTSS_mergedAlgo_Full_PA1","KAPPA",0.813,NA,511,96.4,84.785
"32","EMmeanByTSS_mergedAlgo_Full_PA1","TSS",0.813,NA,511,96.4,84.785
"33","EMmeanByTSS_mergedAlgo_Full_PA1","ROC",0.952,NA,512,96.4,84.901
