"GAM.RUN1.PA1","GLM.RUN1.PA1","MAXENT.Phillips.RUN1.PA1","GAM.RUN2.PA1","GLM.RUN2.PA1","MAXENT.Phillips.RUN2.PA1","GAM.RUN3.PA1","GLM.RUN3.PA1","MAXENT.Phillips.RUN3.PA1","GAM.RUN4.PA1","GLM.RUN4.PA1","MAXENT.Phillips.RUN4.PA1","GAM.RUN5.PA1","GLM.RUN5.PA1","MAXENT.Phillips.RUN5.PA1","GAM.RUN6.PA1","GLM.RUN6.PA1","MAXENT.Phillips.RUN6.PA1","GAM.RUN7.PA1","GLM.RUN7.PA1","MAXENT.Phillips.RUN7.PA1","GAM.RUN8.PA1","GLM.RUN8.PA1","MAXENT.Phillips.RUN8.PA1","GAM.RUN9.PA1","GLM.RUN9.PA1","MAXENT.Phillips.RUN9.PA1","GAM.RUN10.PA1","GLM.RUN10.PA1","MAXENT.Phillips.RUN10.PA1","GAM.Full.PA1","GLM.Full.PA1","MAXENT.Phillips.Full.PA1","GAM.RUN1.PA2","GLM.RUN1.PA2","MAXENT.Phillips.RUN1.PA2","GAM.RUN2.PA2","GLM.RUN2.PA2","MAXENT.Phillips.RUN2.PA2","GAM.RUN3.PA2","GLM.RUN3.PA2","MAXENT.Phillips.RUN3.PA2","GAM.RUN4.PA2","GLM.RUN4.PA2","MAXENT.Phillips.RUN4.PA2","GAM.RUN5.PA2","GLM.RUN5.PA2","MAXENT.Phillips.RUN5.PA2","GAM.RUN6.PA2","GLM.RUN6.PA2","MAXENT.Phillips.RUN6.PA2","GAM.RUN7.PA2","GLM.RUN7.PA2","MAXENT.Phillips.RUN7.PA2","GAM.RUN8.PA2","GLM.RUN8.PA2","MAXENT.Phillips.RUN8.PA2","GAM.RUN9.PA2","GLM.RUN9.PA2","MAXENT.Phillips.RUN9.PA2","GAM.RUN10.PA2","GLM.RUN10.PA2","MAXENT.Phillips.RUN10.PA2","GAM.Full.PA2","GLM.Full.PA2","MAXENT.Phillips.Full.PA2"
0.285,0.409,0.271,0.251,0.468,0.288,0.445,0.429,0.547,0.491,0.479,0.319,0.457,0.493,0.42,0.313,0.391,0.004,0.453,0.478,0.522,0.448,0.447,0.457,0.337,0.458,0.392,0.405,0.508,0.453,0.465,0.475,0.384,0.422,0.743,0.471,0.55,0.47,0.427,0.726,0.666,0.401,0.306,0.392,0.379,0.255,0.414,0.417,0.821,0.478,0.442,0.344,0.466,0.368,0.292,0.381,0.316,0.258,0.432,0.464,0.529,0.41,0.008,0.278,0.414,0.418
0.067,0,0.028,0.125,0,0.102,0.018,0,0.021,0.02,0,0.05,0.076,0,0.007,0.014,0.015,0,0.029,0,0.003,0.024,0,0.005,0.083,0,0.083,0.057,0,0.018,0.045,0,0.038,0.207,0,0.022,0.036,0,0.006,0.053,0,0.002,0.049,0,0.123,0,0,0.028,0.149,0,0.054,0.027,0,0.026,0.005,0,0.046,0.26,0,0.01,0.093,0,0,0.099,0,0.04
0.785,0,0.001,0.196,0,0.038,0.09,0,0.028,0.559,0,0.01,0.446,0,0.004,0.538,0,0.007,0.114,0,0.008,0.137,0,0.032,0.729,0,0.002,0.291,0,0.004,0.16,0,0.003,0.567,0,0.025,0.471,0,0.018,0.662,0,0,0.772,0.113,0.001,0.664,0.539,0.039,0.973,0,0.009,0.285,0,0.012,0.374,0,0,0.998,0.5,0,0.609,0.56,0,0.833,0,0.015
0.03,0,0,0.014,0,0.046,0.002,0,0.014,0.009,0,0.002,0.009,0,0,0.016,0,0,0.004,0,0.002,0.022,0.019,0.019,0.108,0,0.04,0,0,0.01,0.007,0,0.033,0.129,0,0.01,0.013,0,0.008,0.186,0,0.014,0.147,0,0,0.017,0.041,0.039,0.123,0,0,0,0,0.009,0.05,0,0,0.19,0.029,0,0.081,0.039,0,0.107,0,0.012
0.127,0.217,0.107,0.057,0.203,0.204,0.066,0.231,0.001,0.208,0.2,0.172,0.013,0.092,0.014,0.18,0.226,0.007,0.071,0.181,0,0.128,0.186,0.043,0.041,0.197,0.189,0.036,0.172,0.012,0.059,0.203,0.095,0.088,0.191,0.192,0.046,0.196,0.211,0.16,0.214,0.239,0.171,0.263,0.154,0.147,0.251,0.294,0.05,0.181,0.144,0.013,0.211,0.199,0.142,0.242,0.237,0.172,0.248,0.166,0.13,0.229,0.028,0.131,0.223,0.25
0.221,0.057,0,0.158,0,0.012,0.025,0.006,0.02,0.097,0,0.001,0,0.217,0.027,0.195,0,0.007,0.07,0,0,0.266,0,0.016,0.167,0,0.019,0.061,0,0.002,0.089,0,0,0.204,0,0.005,0.109,0,0.099,0.032,0,0,0.369,0,0,0.067,0.206,0.03,0.129,0,0,0.153,0,0.005,0,0,0.017,0,0,0,0.394,0.071,0,0.261,0,0.005
0.045,0,0.055,0.52,0,0.042,0.003,0,0,0.068,0,0.027,0.132,0,0.041,0.046,0,0,0,0,0.001,0.055,0,0.001,0.302,0,0.09,0.182,0,0.001,0.096,0,0.01,0.499,0,0.015,0.311,0,0.028,0.423,0,0.054,0.504,0,0.012,0.301,0,0.067,0.199,0,0.013,0.117,0,0.006,0.162,0,0.068,0.099,0,0.048,0.282,0,0,0.337,0,0.021
0.047,0,0.04,0.051,0,0,0.023,0,0,0.24,0,0.011,0.246,0,0.034,0.024,0,0,0.055,0,0,0.01,0,0.007,0.07,0,0.062,0.219,0,0,0.068,0,0.007,0.023,0,0.059,0.068,0,0.156,0.035,0,0.045,0.124,0,0,0.002,0.105,0.046,0.002,0,0,0.072,0,0.012,0.072,0,0.061,0.14,0,0.069,0.185,0,0,0.06,0,0.029
0.075,0,0,0.38,0,0,0.002,0,0,0.093,0,0.026,0.084,0.138,0.04,0.246,0,0,0.059,0,0,0.011,0,0,0.016,0,0.105,0.252,0,0,0.001,0,0.012,0.627,0,0.05,0.262,0,0.054,0.432,0,0.066,0.404,0,0.014,0.45,0.097,0.075,0.333,0,0.047,0.29,0,0.056,0.491,0,0.066,0.26,0,0.04,0.21,0,0,0.37,0,0.068
0.282,0,0.135,0.311,0,0.1,0.164,0,0.015,0.252,0,0.016,0.288,0,0.032,0.001,0,0,0.296,0,0.013,0.188,0,0.009,0.264,0,0.124,0.332,0,0.012,0.292,0,0.041,0.096,0,0.069,0.453,0,0.033,0.418,0,0.048,0.101,0,0.012,0.039,0,0.004,0.115,0,0.006,0.003,0,0.004,0.034,0,0.028,0.354,0,0.002,0.245,0,0.038,0.001,0,0.017
