"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",NA,NA,NA,NA
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.956,520,99.111,96.444
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.824,495,95.082,87.302
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.884,76,98.438,90
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.837,348.5,96.825,86.885
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",NA,NA,NA,NA
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.806,495,87.097,93.548
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.855,253,98.387,87.097
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.742,439,85.714,88.525
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.819,0,100,0
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",NA,NA,NA,NA
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.87,5,96.825,90.164
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.79,15,93.548,85.484
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",NA,NA,NA,NA
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.791,495,87.302,91.803
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.871,0,100,0
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.791,167,89.231,89.831
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.789,0,100,0
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.774,828,90.323,87.097
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.871,0,100,0
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.837,0,100,0
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.924,384,99.111,93.333
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.942,515,98.222,96
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.857,181,100,85.714
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.87,626,95.312,91.667
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.869,141,98.413,88.525
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.919,515,96.875,95
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.903,496.5,100,90.323
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.839,662,93.548,90.323
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.968,601,98.413,98.361
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.838,702,95.238,88.525
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.918,528,98.438,93.333
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.952,237,96.923,98.305
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.92,576,95.238,96.721
