"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByTSS_mergedAlgo_RUN1_PA1","KAPPA",0.904,NA,447,98.387,92.063
"2","EMmeanByTSS_mergedAlgo_RUN1_PA1","TSS",0.905,NA,447,98.387,92.063
"3","EMmeanByTSS_mergedAlgo_RUN1_PA1","ROC",0.971,NA,553,98.387,93.651
"4","EMmeanByTSS_mergedAlgo_RUN2_PA1","KAPPA",0.92,NA,339,100,91.935
"5","EMmeanByTSS_mergedAlgo_RUN2_PA1","TSS",0.919,NA,339,100,91.935
"6","EMmeanByTSS_mergedAlgo_RUN2_PA1","ROC",0.977,NA,341.5,100,91.935
"7","EMmeanByTSS_mergedAlgo_RUN3_PA1","KAPPA",0.84,NA,297,96.875,86.885
"8","EMmeanByTSS_mergedAlgo_RUN3_PA1","TSS",0.838,NA,297,96.875,86.885
"9","EMmeanByTSS_mergedAlgo_RUN3_PA1","ROC",0.942,NA,296.5,96.875,86.885
"10","EMmeanByTSS_mergedAlgo_RUN4_PA1","KAPPA",0.824,NA,765,95.161,87.302
"11","EMmeanByTSS_mergedAlgo_RUN4_PA1","TSS",0.825,NA,765,95.161,87.302
"12","EMmeanByTSS_mergedAlgo_RUN4_PA1","ROC",0.949,NA,847,93.548,90.476
"13","EMmeanByTSS_mergedAlgo_RUN5_PA1","KAPPA",0.936,NA,609,96.875,96.721
"14","EMmeanByTSS_mergedAlgo_RUN5_PA1","TSS",0.936,NA,609,96.875,96.721
"15","EMmeanByTSS_mergedAlgo_RUN5_PA1","ROC",0.983,NA,611.5,96.875,96.721
"16","EMmeanByTSS_mergedAlgo_RUN6_PA1","KAPPA",0.84,NA,333,98.413,83.871
"17","EMmeanByTSS_mergedAlgo_RUN6_PA1","TSS",0.839,NA,333,98.413,83.871
"18","EMmeanByTSS_mergedAlgo_RUN6_PA1","ROC",0.941,NA,336,98.413,85.484
"19","EMmeanByTSS_mergedAlgo_RUN7_PA1","KAPPA",0.888,NA,487,96.825,91.935
"20","EMmeanByTSS_mergedAlgo_RUN7_PA1","TSS",0.888,NA,487,96.825,91.935
"21","EMmeanByTSS_mergedAlgo_RUN7_PA1","ROC",0.966,NA,487,96.825,91.935
"22","EMmeanByTSS_mergedAlgo_RUN8_PA1","KAPPA",0.839,NA,507.5,96.923,86.667
"23","EMmeanByTSS_mergedAlgo_RUN8_PA1","TSS",0.836,NA,507.5,96.923,86.667
"24","EMmeanByTSS_mergedAlgo_RUN8_PA1","ROC",0.967,NA,512,96.923,86.667
"25","EMmeanByTSS_mergedAlgo_RUN9_PA1","KAPPA",0.824,NA,222,100,82.54
"26","EMmeanByTSS_mergedAlgo_RUN9_PA1","TSS",0.825,NA,222,100,82.54
"27","EMmeanByTSS_mergedAlgo_RUN9_PA1","ROC",0.939,NA,219,100,82.54
"28","EMmeanByTSS_mergedAlgo_RUN10_PA1","KAPPA",0.824,NA,370,95.161,87.302
"29","EMmeanByTSS_mergedAlgo_RUN10_PA1","TSS",0.825,NA,370,95.161,87.302
"30","EMmeanByTSS_mergedAlgo_RUN10_PA1","ROC",0.935,NA,371.5,95.161,87.302
"31","EMmeanByTSS_mergedAlgo_Full_PA1","KAPPA",0.898,NA,465.5,98.222,91.556
"32","EMmeanByTSS_mergedAlgo_Full_PA1","TSS",0.898,NA,465.5,98.222,91.556
"33","EMmeanByTSS_mergedAlgo_Full_PA1","ROC",0.99,NA,443.5,98.222,91.556
"34","EMmeanByTSS_mergedAlgo_RUN1_PA2","KAPPA",0.808,NA,574,93.651,87.097
"35","EMmeanByTSS_mergedAlgo_RUN1_PA2","TSS",0.807,NA,574,93.651,87.097
"36","EMmeanByTSS_mergedAlgo_RUN1_PA2","ROC",0.939,NA,575.5,93.651,87.097
"37","EMmeanByTSS_mergedAlgo_RUN2_PA2","KAPPA",0.92,NA,411,93.651,98.387
"38","EMmeanByTSS_mergedAlgo_RUN2_PA2","TSS",0.92,NA,411,93.651,98.387
"39","EMmeanByTSS_mergedAlgo_RUN2_PA2","ROC",0.983,NA,402,95.238,98.387
"40","EMmeanByTSS_mergedAlgo_RUN3_PA2","KAPPA",0.92,NA,44,100,91.935
"41","EMmeanByTSS_mergedAlgo_RUN3_PA2","TSS",0.919,NA,44,100,91.935
"42","EMmeanByTSS_mergedAlgo_RUN3_PA2","ROC",0.982,NA,44.5,100,91.935
"43","EMmeanByTSS_mergedAlgo_RUN4_PA2","KAPPA",0.888,NA,511,96.923,91.667
"44","EMmeanByTSS_mergedAlgo_RUN4_PA2","TSS",0.886,NA,511,96.923,91.667
"45","EMmeanByTSS_mergedAlgo_RUN4_PA2","ROC",0.97,NA,509,96.923,91.667
"46","EMmeanByTSS_mergedAlgo_RUN5_PA2","KAPPA",0.936,NA,602,96.774,96.825
"47","EMmeanByTSS_mergedAlgo_RUN5_PA2","TSS",0.936,NA,602,96.774,96.825
"48","EMmeanByTSS_mergedAlgo_RUN5_PA2","ROC",0.993,NA,605.5,96.774,96.825
"49","EMmeanByTSS_mergedAlgo_RUN6_PA2","KAPPA",0.84,NA,423.5,96.774,87.302
"50","EMmeanByTSS_mergedAlgo_RUN6_PA2","TSS",0.841,NA,423.5,96.774,87.302
"51","EMmeanByTSS_mergedAlgo_RUN6_PA2","ROC",0.962,NA,426,96.774,87.302
"52","EMmeanByTSS_mergedAlgo_RUN7_PA2","KAPPA",0.872,NA,368,100,86.885
"53","EMmeanByTSS_mergedAlgo_RUN7_PA2","TSS",0.869,NA,368,100,86.885
"54","EMmeanByTSS_mergedAlgo_RUN7_PA2","ROC",0.969,NA,370.5,100,86.885
"55","EMmeanByTSS_mergedAlgo_RUN8_PA2","KAPPA",0.936,NA,401,98.462,95
"56","EMmeanByTSS_mergedAlgo_RUN8_PA2","TSS",0.935,NA,401,98.462,95
"57","EMmeanByTSS_mergedAlgo_RUN8_PA2","ROC",0.984,NA,400.5,98.462,95
"58","EMmeanByTSS_mergedAlgo_RUN9_PA2","KAPPA",0.936,NA,385,98.413,95.161
"59","EMmeanByTSS_mergedAlgo_RUN9_PA2","TSS",0.936,NA,385,98.413,95.161
"60","EMmeanByTSS_mergedAlgo_RUN9_PA2","ROC",0.989,NA,387,98.413,95.161
"61","EMmeanByTSS_mergedAlgo_RUN10_PA2","KAPPA",0.872,NA,204,96.875,90.164
"62","EMmeanByTSS_mergedAlgo_RUN10_PA2","TSS",0.87,NA,204,96.875,90.164
"63","EMmeanByTSS_mergedAlgo_RUN10_PA2","ROC",0.977,NA,203.5,96.875,90.164
"64","EMmeanByTSS_mergedAlgo_Full_PA2","KAPPA",0.929,NA,587,97.778,95.111
"65","EMmeanByTSS_mergedAlgo_Full_PA2","TSS",0.929,NA,587,97.778,95.111
"66","EMmeanByTSS_mergedAlgo_Full_PA2","ROC",0.99,NA,588.5,97.778,95.111
