"GAM.RUN1.PA1","GLM.RUN1.PA1","MAXENT.Phillips.RUN1.PA1","GAM.RUN2.PA1","GLM.RUN2.PA1","MAXENT.Phillips.RUN2.PA1","GAM.RUN3.PA1","GLM.RUN3.PA1","MAXENT.Phillips.RUN3.PA1","GAM.RUN4.PA1","GLM.RUN4.PA1","MAXENT.Phillips.RUN4.PA1","GAM.RUN5.PA1","GLM.RUN5.PA1","MAXENT.Phillips.RUN5.PA1","GAM.RUN6.PA1","GLM.RUN6.PA1","MAXENT.Phillips.RUN6.PA1","GAM.RUN7.PA1","GLM.RUN7.PA1","MAXENT.Phillips.RUN7.PA1","GAM.RUN8.PA1","GLM.RUN8.PA1","MAXENT.Phillips.RUN8.PA1","GAM.RUN9.PA1","GLM.RUN9.PA1","MAXENT.Phillips.RUN9.PA1","GAM.RUN10.PA1","GLM.RUN10.PA1","MAXENT.Phillips.RUN10.PA1","GAM.Full.PA1","GLM.Full.PA1","MAXENT.Phillips.Full.PA1","GAM.RUN1.PA2","GLM.RUN1.PA2","MAXENT.Phillips.RUN1.PA2","GAM.RUN2.PA2","GLM.RUN2.PA2","MAXENT.Phillips.RUN2.PA2","GAM.RUN3.PA2","GLM.RUN3.PA2","MAXENT.Phillips.RUN3.PA2","GAM.RUN4.PA2","GLM.RUN4.PA2","MAXENT.Phillips.RUN4.PA2","GAM.RUN5.PA2","GLM.RUN5.PA2","MAXENT.Phillips.RUN5.PA2","GAM.RUN6.PA2","GLM.RUN6.PA2","MAXENT.Phillips.RUN6.PA2","GAM.RUN7.PA2","GLM.RUN7.PA2","MAXENT.Phillips.RUN7.PA2","GAM.RUN8.PA2","GLM.RUN8.PA2","MAXENT.Phillips.RUN8.PA2","GAM.RUN9.PA2","GLM.RUN9.PA2","MAXENT.Phillips.RUN9.PA2","GAM.RUN10.PA2","GLM.RUN10.PA2","MAXENT.Phillips.RUN10.PA2","GAM.Full.PA2","GLM.Full.PA2","MAXENT.Phillips.Full.PA2"
0.012,0.981,0.714,0.416,0.89,0.877,NA,0.976,0.669,NA,0.996,0.667,0.309,0.991,0.575,0.361,0.995,0.956,0.151,0.991,0.619,NA,0.958,0.453,0.127,0.873,0.353,0.345,0.963,0.58,0.364,0.987,0.482,0.007,0.933,0.509,0.519,0.541,0.35,NA,0.938,0.655,0.326,0.752,0.406,0.237,0.84,0.654,0.9,0.952,0.768,0.056,0.932,0.297,0.235,0.868,0.665,0.326,0.9,0.537,0.404,0.91,0.759,0.293,0.881,0.67
0.314,0,0,0.247,0.14,0.004,NA,0.27,0.074,NA,0,0.009,0.008,0.006,0,0.462,0,0.018,0.315,0,0,NA,0,0.04,0.095,0,0.013,0.183,0,0.006,0.16,0.005,0,0.176,0,0,0.278,0,0.005,NA,0,0,0.224,0,0,0.055,0,0,0.544,0,0,0.298,0,0.003,0.478,0,0,0.068,0,0,0.289,0,0,0.032,0,0
0.306,0,0,0.326,0,0,NA,0,0,NA,0,0,0.352,0,0,0.528,0,0,0.359,0,0,NA,0,0,0.444,0,0.018,0.502,0,0.006,0.119,0,0,0.115,0,0,0.532,0,0,NA,0,0,0.354,0,0,0.267,0,0,0.411,0,0,0.434,0,0,0.424,0.222,0,0.272,0,0,0.262,0.159,0,0.247,0,0
0.242,0,0.005,0.464,0,0.11,NA,0,0.093,NA,0,0.199,0.055,0,0.221,0.044,0,0,0.202,0.008,0.082,NA,0,0.249,0.35,0,0.131,0.406,0,0.1,0.167,0,0.092,0.222,0,0,0.293,0.06,0,NA,0.238,0,0.066,0,0,0.077,0.278,0,0.499,0,0.004,0.87,0.278,0,0.457,0.227,0,0.02,0.277,0,0.521,0.332,0,0.05,0.283,0
0.181,0,0.012,0.126,0,0.014,NA,0.04,0.032,NA,0.038,0.07,0.002,0,0.115,0.028,0.033,0,0.114,0,0,NA,0,0.118,0.381,0.061,0.251,0.26,0,0.27,0.022,0,0.125,0.161,0,0.008,0.426,0.211,0.169,NA,0,0,0.212,0.105,0.031,0,0,0,0.169,0,0,0.117,0,0.216,0.047,0.037,0,0.004,0,0.045,0.068,0.038,0,0.065,0,0
0.267,0,0,0.157,0,0.047,NA,0,0.083,NA,0,0.038,0.401,0,0.047,0.473,0,0.041,0.088,0,0,NA,0,0.007,0.338,0,0.058,0.454,0,0.101,0.146,0,0.007,0.588,0,0,0.426,0,0,NA,0,0.049,0.405,0,0,0.293,0.042,0.057,0.79,0,0.03,0.717,0.053,0.012,0.51,0,0.061,0.03,0.055,0.07,0.618,0.113,0.033,0.101,0,0.061
0.33,0,0,0.383,0,0.022,NA,0,0.015,NA,0,0.043,0.273,0,0.051,0.276,0,0,0.18,0,0.027,NA,0,0,0.159,0,0.015,0.33,0.082,0,0.133,0,0.028,0.321,0,0.006,0.23,0,0.014,NA,0,0.007,0.032,0,0.01,0.254,0,0.007,0.214,0,0.008,0.461,0,0.096,0.403,0,0.018,0.151,0,0.008,0.383,0,0.003,0.161,0,0.014
0.334,0,0,0.171,0,0.019,NA,0,0.005,NA,0,0.045,0.178,0,0.021,0.384,0,0.009,0.277,0,0,NA,0,0,0.341,0,0.036,0.288,0,0.017,0.038,0,0,0.155,0.045,0,0.314,0,0,NA,0,0,0.297,0,0,0.281,0,0,0.406,0,0,0.546,0,0.002,0.495,0,0,0.161,0,0,0.39,0,0,0.091,0,0
0.466,0,0.022,0.486,0,0.059,NA,0,0.005,NA,0.047,0.023,0.479,0.035,0.039,0.549,0,0.01,0.417,0,0.015,NA,0.049,0.064,0.519,0.037,0.1,0.546,0.179,0.006,0.113,0.038,0,0.414,0,0,0.588,0,0.016,NA,0,0.019,0.323,0.078,0,0.294,0,0.021,0.676,0.03,0,0.15,0,0,0.566,0.136,0.026,0.131,0,0,0.754,0,0.017,0,0.05,0.01
0.353,0,0,0.314,0,0,NA,0,0.012,NA,0,0.118,0.234,0,0.131,0.289,0,0,0.305,0.033,0.016,NA,0,0.045,0.271,0,0.052,0.473,0,0.051,0.014,0,0,0.823,0,0.109,0.309,0,0.145,NA,0,0.069,0.491,0,0.131,0.201,0,0.086,0.37,0,0.066,0.502,0,0.345,0.312,0,0.113,0.192,0,0.103,0.654,0,0.073,0.23,0,0.08
