"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.984,894,100,98.438
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.535,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.64,0,100,0
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",NA,NA,NA,NA
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.769,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.643,0,100,0
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.711,495,88.785,82.292
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.898,495,94.737,95.036
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.77,495,94.872,82.131
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.85,495,94.872,90.144
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.774,495,82.051,95.353
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.862,495,92.308,93.91
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.945,60,98.131,96.354
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.89,16,97.368,91.433
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.93,20,100,92.869
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.933,46,100,93.349
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.958,70,100,95.753
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.931,57,97.436,95.673
