"rand1.NARKE.CAPENSIS_PA1_RUN1_GAM","rand2.NARKE.CAPENSIS_PA1_RUN1_GAM","rand3.NARKE.CAPENSIS_PA1_RUN1_GAM","rand4.NARKE.CAPENSIS_PA1_RUN1_GAM","rand5.NARKE.CAPENSIS_PA1_RUN1_GAM","rand1.NARKE.CAPENSIS_PA1_RUN1_GLM","rand2.NARKE.CAPENSIS_PA1_RUN1_GLM","rand3.NARKE.CAPENSIS_PA1_RUN1_GLM","rand4.NARKE.CAPENSIS_PA1_RUN1_GLM","rand5.NARKE.CAPENSIS_PA1_RUN1_GLM","rand1.NARKE.CAPENSIS_PA1_RUN1_MAXENT.Phillips","rand2.NARKE.CAPENSIS_PA1_RUN1_MAXENT.Phillips","rand3.NARKE.CAPENSIS_PA1_RUN1_MAXENT.Phillips","rand4.NARKE.CAPENSIS_PA1_RUN1_MAXENT.Phillips","rand5.NARKE.CAPENSIS_PA1_RUN1_MAXENT.Phillips","rand1.NARKE.CAPENSIS_PA1_RUN2_GAM","rand2.NARKE.CAPENSIS_PA1_RUN2_GAM","rand3.NARKE.CAPENSIS_PA1_RUN2_GAM","rand4.NARKE.CAPENSIS_PA1_RUN2_GAM","rand5.NARKE.CAPENSIS_PA1_RUN2_GAM","rand1.NARKE.CAPENSIS_PA1_RUN2_GLM","rand2.NARKE.CAPENSIS_PA1_RUN2_GLM","rand3.NARKE.CAPENSIS_PA1_RUN2_GLM","rand4.NARKE.CAPENSIS_PA1_RUN2_GLM","rand5.NARKE.CAPENSIS_PA1_RUN2_GLM","rand1.NARKE.CAPENSIS_PA1_RUN2_MAXENT.Phillips","rand2.NARKE.CAPENSIS_PA1_RUN2_MAXENT.Phillips","rand3.NARKE.CAPENSIS_PA1_RUN2_MAXENT.Phillips","rand4.NARKE.CAPENSIS_PA1_RUN2_MAXENT.Phillips","rand5.NARKE.CAPENSIS_PA1_RUN2_MAXENT.Phillips","rand1.NARKE.CAPENSIS_PA1_RUN3_GLM","rand2.NARKE.CAPENSIS_PA1_RUN3_GLM","rand3.NARKE.CAPENSIS_PA1_RUN3_GLM","rand4.NARKE.CAPENSIS_PA1_RUN3_GLM","rand5.NARKE.CAPENSIS_PA1_RUN3_GLM","rand1.NARKE.CAPENSIS_PA1_RUN3_MAXENT.Phillips","rand2.NARKE.CAPENSIS_PA1_RUN3_MAXENT.Phillips","rand3.NARKE.CAPENSIS_PA1_RUN3_MAXENT.Phillips","rand4.NARKE.CAPENSIS_PA1_RUN3_MAXENT.Phillips","rand5.NARKE.CAPENSIS_PA1_RUN3_MAXENT.Phillips","rand1.NARKE.CAPENSIS_PA1_RUN4_GAM","rand2.NARKE.CAPENSIS_PA1_RUN4_GAM","rand3.NARKE.CAPENSIS_PA1_RUN4_GAM","rand4.NARKE.CAPENSIS_PA1_RUN4_GAM","rand5.NARKE.CAPENSIS_PA1_RUN4_GAM","rand1.NARKE.CAPENSIS_PA1_RUN4_GLM","rand2.NARKE.CAPENSIS_PA1_RUN4_GLM","rand3.NARKE.CAPENSIS_PA1_RUN4_GLM","rand4.NARKE.CAPENSIS_PA1_RUN4_GLM","rand5.NARKE.CAPENSIS_PA1_RUN4_GLM","rand1.NARKE.CAPENSIS_PA1_RUN4_MAXENT.Phillips","rand2.NARKE.CAPENSIS_PA1_RUN4_MAXENT.Phillips","rand3.NARKE.CAPENSIS_PA1_RUN4_MAXENT.Phillips","rand4.NARKE.CAPENSIS_PA1_RUN4_MAXENT.Phillips","rand5.NARKE.CAPENSIS_PA1_RUN4_MAXENT.Phillips","rand1.NARKE.CAPENSIS_PA1_RUN5_GAM","rand2.NARKE.CAPENSIS_PA1_RUN5_GAM","rand3.NARKE.CAPENSIS_PA1_RUN5_GAM","rand4.NARKE.CAPENSIS_PA1_RUN5_GAM","rand5.NARKE.CAPENSIS_PA1_RUN5_GAM","rand1.NARKE.CAPENSIS_PA1_RUN5_GLM","rand2.NARKE.CAPENSIS_PA1_RUN5_GLM","rand3.NARKE.CAPENSIS_PA1_RUN5_GLM","rand4.NARKE.CAPENSIS_PA1_RUN5_GLM","rand5.NARKE.CAPENSIS_PA1_RUN5_GLM","rand1.NARKE.CAPENSIS_PA1_RUN5_MAXENT.Phillips","rand2.NARKE.CAPENSIS_PA1_RUN5_MAXENT.Phillips","rand3.NARKE.CAPENSIS_PA1_RUN5_MAXENT.Phillips","rand4.NARKE.CAPENSIS_PA1_RUN5_MAXENT.Phillips","rand5.NARKE.CAPENSIS_PA1_RUN5_MAXENT.Phillips","rand1.NARKE.CAPENSIS_PA1_Full_GAM","rand2.NARKE.CAPENSIS_PA1_Full_GAM","rand3.NARKE.CAPENSIS_PA1_Full_GAM","rand4.NARKE.CAPENSIS_PA1_Full_GAM","rand5.NARKE.CAPENSIS_PA1_Full_GAM","rand1.NARKE.CAPENSIS_PA1_Full_GLM","rand2.NARKE.CAPENSIS_PA1_Full_GLM","rand3.NARKE.CAPENSIS_PA1_Full_GLM","rand4.NARKE.CAPENSIS_PA1_Full_GLM","rand5.NARKE.CAPENSIS_PA1_Full_GLM","rand1.NARKE.CAPENSIS_PA1_Full_MAXENT.Phillips","rand2.NARKE.CAPENSIS_PA1_Full_MAXENT.Phillips","rand3.NARKE.CAPENSIS_PA1_Full_MAXENT.Phillips","rand4.NARKE.CAPENSIS_PA1_Full_MAXENT.Phillips","rand5.NARKE.CAPENSIS_PA1_Full_MAXENT.Phillips"
0.199097,0.185299,0.204306,0.197547,0.202623,0.51865,0.551031,0.53933,0.526304,0.544954,0.571304,0.533797,0.518599,0.540219,0.5469,0.721904,0.602621,0.65659,0.681457,0.650118,0.00326499999999996,0.00783999999999996,0.00587899999999997,0.00980300000000001,0.00653199999999998,0.916143,0.923762,0.932119,0.931919,0.907239,0.858129,0.869336,0.854282,0.873953,0.854654,0.797393,0.761204,0.800335,0.794475,0.854934,0.794062,0.720957,0.764643,0.711648,0.757589,0.769508,0.826533,0.806176,0.824077,0.797918,0.921079,0.939169,0.880008,0.874179,0.895095,0.64244,0.684854,0.647954,0.720119,0.678665,0.364157,0.382976,0.411093,0.411093,0.368296,0.688878,0.691579,0.6925,0.644057,0.74968,0.519742,0.540582,0.620334,0.597106,0.624993,0.708114,0.727615,0.702642,0.714511,0.713518,0.733058,0.764165,0.770663,0.776837,0.771348
0.582571,0.548569,0.616772,0.595777,0.590128,0,0,0,0,0,0.123443,0.10158,0.1029,0.136684,0.107583,0.555817,0.552974,0.522504,0.543404,0.566859,0,0,0,0,0,0.195475,0.187506,0.224488,0.189654,0.161804,0,0,0,0,0,0,0,0,0,0,0.663287,0.678471,0.672919,0.639788,0.641014,0,0,0,0,0,0.073273,0.086936,0.104288,0.0946399999999999,0.091845,0.719987,0.724467,0.755255,0.711356,0.762738,0,0,0,0,0,0.133051,0.127043,0.0902539999999999,0.119615,0.125275,0.575871,0.617616,0.56549,0.611406,0.53005,0,0,0,0,0,0.492865,0.493018,0.472497,0.495309,0.495357
0.519518,0.475519,0.431752,0.430248,0.473824,0.660876,0.670167,0.633344,0.670505,0.62841,0.063482,0.062927,0.056948,0.061437,0.054346,0.739633,0.715078,0.727366,0.725344,0.714748,0,0,0,0,0,0.056184,0.064504,0.056219,0.059996,0.055281,0,0,0,0,0,0.263418,0.293274,0.288629,0.297586,0.240082,0.626073,0.621584,0.650535,0.624137,0.60036,0,0,0,0,0,0.018069,0.017947,0.017915,0.017649,0.018751,0.490195,0.472194,0.479184,0.476451,0.512478,0,0,0,0,0,0.00502800000000003,0.00570700000000002,0.00578900000000004,0.006216,0.00581100000000001,0.477368,0.483666,0.502971,0.527664,0.523346,0,0,0,0,0,0.04713,0.042389,0.053756,0.04874,0.05441
0.682838,0.672151,0.690961,0.692297,0.713185,0,0,0,0,0,0.018027,0.0142910000000001,0.015085,0.0156809999999999,0.015422,0.452168,0.462256,0.461793,0.492765,0.481631,0,0,0,0,0,0,0,0,0,0,0.226932,0.234488,0.240866,0.236207,0.223798,0,0,0,0,0,0.683771,0.607505,0.621913,0.626748,0.639825,0.275498,0.25882,0.256173,0.23181,0.227448,7.80000000000225e-05,9.5999999999985e-05,7.1999999999961e-05,9.30000000000097e-05,9.80000000000425e-05,0.78136,0.729657,0.721655,0.693305,0.779126,0,0,0,0,0,0.010159,0.00909400000000005,0.010742,0.011124,0.00899399999999995,0.578477,0.571417,0.540739,0.601411,0.562422,0,0,0,0,0,0.404972,0.450789,0.431134,0.338135,0.393845
0.80933,0.839756,0.849646,0.904404,0.871223,0.510993,0.504163,0.547316,0.514423,0.496441,0.596655,0.533648,0.55955,0.567425,0.49879,0.57395,0.546455,0.580154,0.546369,0.565446,0.241603,0.257202,0.260695,0.263042,0.275252,0.0693550000000001,0.063702,0.068344,0.068308,0.070587,0.08913,0.084136,0.068528,0.069395,0.066102,0.04916,0.04527,0.046293,0.049671,0.043849,0.49944,0.54242,0.525967,0.533165,0.551548,0.176992,0.174745,0.180177,0.172292,0.169438,0.012391,0.010545,0.010607,0.012191,0.011736,0.355386,0.374434,0.325854,0.351354,0.315655,0,0,0,0,0,0.205295,0.212103,0.219352,0.200475,0.225437,0.67374,0.649456,0.592566,0.634203,0.634234,0,0,0,0,0,0.0994620000000001,0.102436,0.096529,0.0953850000000001,0.096589
0.443186,0.507784,0.501206,0.498254,0.458615,0.330139,0.339057,0.324266,0.325352,0.312876,0.026797,0.023046,0.029358,0.026747,0.0271479999999999,0.697925,0.696638,0.664938,0.659388,0.66595,0,0,0,0,0,0.00339299999999998,0.00355300000000003,0.00334999999999996,0.00396700000000005,0.00336800000000004,0,0,0,0,0,0,0,0,0,0,0.617509,0.601312,0.588496,0.556557,0.625772,0.280188,0.263388,0.257323,0.310963,0.270195,0.000326999999999966,0.000313000000000008,0.000299999999999967,0.000311999999999979,0.000307999999999975,0.784809,0.775751,0.796216,0.803077,0.797042,0,0,0,0,0,0.00810100000000002,0.00910500000000003,0.00820100000000001,0.00953800000000005,0.010327,0.457366,0.531287,0.499431,0.487249,0.454751,0.14443,0.132663,0.139523,0.146251,0.154646,0.022508,0.033654,0.0284180000000001,0.0303060000000001,0.026876
0.519169,0.483489,0.510383,0.490496,0.490163,0.177501,0.187242,0.179243,0.175805,0.179983,0.162775,0.159012,0.16457,0.16701,0.155086,0.428737,0.463585,0.43015,0.407916,0.473935,0,0,0,0,0,0.24595,0.242633,0.25761,0.255918,0.252143,0,0,0,0,0,0.025206,0.031541,0.030976,0.021446,0.029138,0.480479,0.481407,0.566254,0.540111,0.625753,0,0,0,0,0,0.22588,0.238941,0.217096,0.222503,0.238292,0.473117,0.474576,0.5144,0.457417,0.437599,0,0,0,0,0,0.285694,0.29545,0.275213,0.284337,0.289261,0.355785,0.358952,0.390278,0.361755,0.37225,0,0,0,0,0,0.001193,0.00123200000000001,0.00107299999999999,0.00111700000000003,0.00107900000000005
0.545532,0.531251,0.535182,0.544767,0.58116,0.180663,0.173375,0.174017,0.186933,0.175758,0,0,0,0,0,0.56618,0.608831,0.629649,0.586734,0.617237,0.113539,0.117961,0.123643,0.111152,0.118166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541088,0.541519,0.516534,0.564099,0.527204,0,0,0,0,0,0,0,0,0,0,0.19561,0.16328,0.170502,0.161465,0.17134,0,0,0,0,0,0,0,0,0,0,0.490817,0.525459,0.500838,0.467617,0.517825,0,0,0,0,0,0.011443,0.00937299999999996,0.01248,0.00931499999999996,0.011931
0.360252,0.368957,0.387937,0.405231,0.369896,0.14021,0.146027,0.149648,0.139196,0.146823,0.048159,0.046643,0.045077,0.039135,0.0455100000000001,0.351162,0.339575,0.343603,0.348237,0.32687,0,0,0,0,0,0.323232,0.337965,0.317065,0.305507,0.315055,0.258808,0.267088,0.310289,0.288884,0.270403,0.042065,0.059261,0.055566,0.052603,0.04664,0.447842,0.388219,0.412012,0.41662,0.461555,0,0,0,0,0,0.027105,0.027904,0.020089,0.025544,0.021541,0.308841,0.331162,0.305838,0.343844,0.347816,0.0376880000000001,0.025996,0.034674,0.025953,0.031933,0.0724900000000001,0.062897,0.070558,0.07035,0.071692,0.085588,0.0886670000000001,0.096703,0.088044,0.0809260000000001,0,0,0,0,0,0.068487,0.064584,0.068962,0.087411,0.078159
0.216302,0.226983,0.180508,0.19458,0.21909,0,0,0,0,0,0.011269,0.0111520000000001,0.0119,0.010526,0.01119,0.518253,0.503942,0.495299,0.489203,0.507912,0,0,0,0,0,0.024993,0.0259779999999999,0.040227,0.025564,0.030554,0,0,0,0,0,0,0,0,0,0,0.565261,0.599527,0.637465,0.57467,0.586299,0,0,0,0,0,0.075413,0.066863,0.074789,0.082118,0.080215,0.661198,0.657929,0.611745,0.65844,0.575054,0,0,0,0,0,0.040062,0.039149,0.053835,0.041916,0.035748,0.412971,0.408565,0.411354,0.425113,0.402573,0,0,0,0,0,0.00131300000000001,0.00130799999999998,0.00122500000000003,0.00131899999999996,0.00127600000000005
