"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.994,949,100,99.419
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.386,975,40,98.558
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.087,500,10,98.718
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.777,20,80,97.676
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.681,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.583,76,60,98.317
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.97,742,100,97.036
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.741,714,100,74.038
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.726,571,100,72.596
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.852,353,90,95.192
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.901,10,100,89.824
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.922,10,100,92.067
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.918,35,100,91.67
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.962,172,100,96.154
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.929,54,100,92.788
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.954,199.5,100,95.433
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.864,16,100,85.577
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.953,182,100,95.272
