"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,500,100,99.96
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.995,152,100,99.519
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.498,495,50,99.76
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.498,495,50,99.76
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.499,965,50,99.92
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0,1000,0,99.92
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.976,869,100,97.635
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.991,990,100,99.119
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.499,904,50,99.92
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.966,343,100,96.554
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.996,242,100,99.599
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.987,980,100,98.718
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.952,150,100,95.15
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.994,754,100,99.359
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.5,738,50,100
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.994,703,100,99.439
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.995,691.5,100,99.519
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.978,421,100,97.756
