"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByTSS_mergedAlgo_RUN1_PA1","KAPPA",0.918,NA,618,96,95.833
"2","EMmeanByTSS_mergedAlgo_RUN1_PA1","TSS",0.918,NA,618,96,95.833
"3","EMmeanByTSS_mergedAlgo_RUN1_PA1","ROC",0.99,NA,622,96,95.833
"4","EMmeanByTSS_mergedAlgo_RUN2_PA1","KAPPA",0.794,NA,273,98.039,80.851
"5","EMmeanByTSS_mergedAlgo_RUN2_PA1","TSS",0.789,NA,273,98.039,80.851
"6","EMmeanByTSS_mergedAlgo_RUN2_PA1","ROC",0.965,NA,270.5,98.039,80.851
"7","EMmeanByTSS_mergedAlgo_RUN3_PA1","KAPPA",0.898,NA,146,96.078,93.617
"8","EMmeanByTSS_mergedAlgo_RUN3_PA1","TSS",0.897,NA,146,96.078,93.617
"9","EMmeanByTSS_mergedAlgo_RUN3_PA1","ROC",0.977,NA,149.5,96.078,93.617
"10","EMmeanByTSS_mergedAlgo_RUN4_PA1","KAPPA",0.877,NA,337,96.078,89.362
"11","EMmeanByTSS_mergedAlgo_RUN4_PA1","TSS",0.876,NA,337,96.078,89.362
"12","EMmeanByTSS_mergedAlgo_RUN4_PA1","ROC",0.986,NA,399.5,94.118,93.617
"13","EMmeanByTSS_mergedAlgo_RUN5_PA1","KAPPA",0.898,NA,399,100,89.583
"14","EMmeanByTSS_mergedAlgo_RUN5_PA1","TSS",0.896,NA,399,100,89.583
"15","EMmeanByTSS_mergedAlgo_RUN5_PA1","ROC",0.976,NA,403,100,89.583
"16","EMmeanByTSS_mergedAlgo_RUN6_PA1","KAPPA",0.959,NA,402.5,98,97.917
"17","EMmeanByTSS_mergedAlgo_RUN6_PA1","TSS",0.959,NA,402.5,98,97.917
"18","EMmeanByTSS_mergedAlgo_RUN6_PA1","ROC",0.995,NA,403.5,98,97.917
"19","EMmeanByTSS_mergedAlgo_RUN7_PA1","KAPPA",0.939,NA,428,94.118,100
"20","EMmeanByTSS_mergedAlgo_RUN7_PA1","TSS",0.941,NA,428,94.118,100
"21","EMmeanByTSS_mergedAlgo_RUN7_PA1","ROC",0.995,NA,430.5,94.118,100
"22","EMmeanByTSS_mergedAlgo_RUN8_PA1","KAPPA",0.836,NA,531,92.157,91.489
"23","EMmeanByTSS_mergedAlgo_RUN8_PA1","TSS",0.836,NA,531,92.157,91.489
"24","EMmeanByTSS_mergedAlgo_RUN8_PA1","ROC",0.975,NA,530,92.157,91.489
"25","EMmeanByTSS_mergedAlgo_RUN9_PA1","KAPPA",0.796,NA,404,86.275,93.617
"26","EMmeanByTSS_mergedAlgo_RUN9_PA1","TSS",0.799,NA,404,86.275,93.617
"27","EMmeanByTSS_mergedAlgo_RUN9_PA1","ROC",0.958,NA,405,86.275,93.617
"28","EMmeanByTSS_mergedAlgo_RUN10_PA1","KAPPA",0.815,NA,388,94.231,86.957
"29","EMmeanByTSS_mergedAlgo_RUN10_PA1","TSS",0.812,NA,388,94.231,86.957
"30","EMmeanByTSS_mergedAlgo_RUN10_PA1","ROC",0.962,NA,389.5,94.231,86.957
