"GAM.RUN1.PA1","GLM.RUN1.PA1","MAXENT.Phillips.RUN1.PA1","GAM.RUN2.PA1","GLM.RUN2.PA1","MAXENT.Phillips.RUN2.PA1","GAM.RUN3.PA1","GLM.RUN3.PA1","MAXENT.Phillips.RUN3.PA1","GAM.RUN4.PA1","GLM.RUN4.PA1","MAXENT.Phillips.RUN4.PA1","GAM.RUN5.PA1","GLM.RUN5.PA1","MAXENT.Phillips.RUN5.PA1","GAM.RUN6.PA1","GLM.RUN6.PA1","MAXENT.Phillips.RUN6.PA1","GAM.RUN7.PA1","GLM.RUN7.PA1","MAXENT.Phillips.RUN7.PA1","GAM.RUN8.PA1","GLM.RUN8.PA1","MAXENT.Phillips.RUN8.PA1","GAM.RUN9.PA1","GLM.RUN9.PA1","MAXENT.Phillips.RUN9.PA1","GAM.RUN10.PA1","GLM.RUN10.PA1","MAXENT.Phillips.RUN10.PA1","GAM.Full.PA1","GLM.Full.PA1","MAXENT.Phillips.Full.PA1","GAM.RUN1.PA2","GLM.RUN1.PA2","MAXENT.Phillips.RUN1.PA2","GAM.RUN2.PA2","GLM.RUN2.PA2","MAXENT.Phillips.RUN2.PA2","GAM.RUN3.PA2","GLM.RUN3.PA2","MAXENT.Phillips.RUN3.PA2","GAM.RUN4.PA2","GLM.RUN4.PA2","MAXENT.Phillips.RUN4.PA2","GAM.RUN5.PA2","GLM.RUN5.PA2","MAXENT.Phillips.RUN5.PA2","GAM.RUN6.PA2","GLM.RUN6.PA2","MAXENT.Phillips.RUN6.PA2","GAM.RUN7.PA2","GLM.RUN7.PA2","MAXENT.Phillips.RUN7.PA2","GAM.RUN8.PA2","GLM.RUN8.PA2","MAXENT.Phillips.RUN8.PA2","GAM.RUN9.PA2","GLM.RUN9.PA2","MAXENT.Phillips.RUN9.PA2","GAM.RUN10.PA2","GLM.RUN10.PA2","MAXENT.Phillips.RUN10.PA2","GAM.Full.PA2","GLM.Full.PA2","MAXENT.Phillips.Full.PA2"
0.476,0,0.41,0.312,0.214,0.961,0.36,0,0.899,0.735,0,0.58,0.493,0,0.565,0.424,0.137,0.698,0.303,0,0.364,0.247,0,0.889,0.563,0.356,0.444,0.203,0.303,0.546,0.253,0,0.78,0.224,0,0.563,0.277,0,0.544,0.144,0.026,0.793,0.029,0,0.312,0.062,0,0.276,0.373,0.424,0.515,0.157,0,0.329,0.127,0,0.429,0.227,0.052,0.097,0.364,0,0.561,0.179,0,0.585
0.232,0,0.039,0.1,0,0.005,0.411,0,0,0.711,0,0.023,0.82,0,0,0.25,0.164,0.023,0.286,0,0,0.732,0,0.011,0.108,0.222,0,0.318,0,0,0.295,0,0.037,0.333,0.267,0.036,0.265,0,0.028,0.135,0,0,0.298,0.245,0.064,0.135,0,0.053,0.409,0.215,0,0.326,0,0.009,0.006,0,0.045,0.195,0,0,0.314,0,0,0.327,0.22,0.033
0.348,0,0.056,0.242,0,0.004,0.359,0.167,0,0.399,0.17,0.022,0.42,0,0,0.354,0,0,0.398,0,0,0.534,0,0,0.212,0,0,0.541,0,0,0.372,0,0,0.63,0,0,0.688,0.19,0,0.486,0.293,0,0.797,0.636,0.065,0.375,0.434,0.046,0.655,0,0,0.702,0.457,0,0.641,0.462,0,0.174,0.149,0,0.554,0,0,0.715,0,0.067
0.489,0.565,0.074,0.645,0,0.006,0.39,0,0.007,0.638,0,0.048,0.109,0,0,0.238,0,0.026,0.666,0,0.04,0.415,0,0.019,0.574,0.679,0,0.604,0.785,0,0.541,0,0.07,0.303,0,0.193,0.102,0,0.199,0.321,0,0,0.226,0,0.103,0.39,0,0.07,0.29,0.263,0.084,0.496,0,0.007,0.416,0,0.011,0.388,0,0.002,0.116,0.41,0.414,0.303,0,0.138
0.265,0.211,0.126,0.291,0.545,0,0.716,0.467,0.013,0.384,0.683,0.164,0.605,0.319,0.351,0.127,0.342,0.098,0.126,0.342,0.311,0.597,0.329,0.041,0.147,0.284,0.383,0.437,0.193,0.018,0.253,0.278,0.015,0.333,0.574,0.174,0.679,0.76,0.156,0.366,0.862,0.019,0.224,0.759,0.399,0.631,0.896,0.452,0.084,0.409,0.269,0.538,0.796,0.286,0.807,0.848,0.132,0.511,0.867,0.463,0.286,0.271,0.214,0.404,0.651,0.123
0.532,0,0,0.519,0.282,0,0.297,0,0,0.224,0,0,0.364,0,0,0.437,0,0,0.536,0,0,0.469,0,0.002,0.291,0,0,0.519,0.521,0,0.524,0,0,0.416,0,0.023,0.452,0,0.003,0.355,0,0,0.376,0,0,0.047,0,0.013,0.286,0.242,0,0.354,0,0.022,0.297,0,0.065,0.418,0,0.036,0.483,0,0.052,0.309,0,0.061
0.27,0,0,0.307,0,0.005,0.359,0,0,0.261,0,0,0.034,0,0.001,0.279,0,0,0.333,0,0,0.613,0.176,0,0.219,0,0,0.424,0,0,0.214,0,0,0.389,0,0,0.564,0,0.03,0.445,0,0,0.502,0,0,0.526,0,0,0.317,0,0,0.374,0,0.025,0.349,0,0.032,0.488,0,0.046,0.337,0,0.052,0.276,0,0.016
0.397,0.175,0.005,0.46,0,0.002,0.338,0,0,0.203,0,0,0.274,0.076,0,0.283,0.167,0.001,0.239,0,0,0.407,0.143,0,0.199,0.24,0.074,0.447,0.459,0,0.251,0.032,0.004,0.185,0.063,0.118,0.2,0,0.081,0.237,0,0,0.215,0,0.007,0.39,0,0.023,0.367,0,0.002,0.313,0,0.081,0.276,0,0.135,0.171,0,0.003,0.194,0,0.051,0.224,0.171,0.085
0.487,0.282,0,0.178,0.536,0,0.09,0,0,0.448,0,0.002,0.469,0,0,0.42,0,0,0.369,0.158,0,0.743,0,0.005,0.3,0.151,0,0.33,0,0,0.379,0,0,0.308,0,0,0.05,0,0.03,0.184,0,0,0.366,0,0,0.45,0,0,0.418,0,0,0.187,0,0,0.384,0,0.028,0.25,0,0,0.55,0.179,0.055,0.304,0,0.025
0.351,0,0,0.267,0,0,0.204,0,0,0.44,0,0,0.363,0,0,0.409,0,0,0.342,0,0,0.776,0.364,0,0.017,0,0,0.467,0,0,0.396,0.15,0,0.324,0,0,0.374,0,0.018,0.29,0,0,0.473,0,0,0.506,0,0,0.25,0,0,0.283,0,0.014,0.438,0,0,0.343,0,0.017,0.175,0,0.056,0.351,0.158,0.053
0.241,0,0,0.318,0.242,0,0.261,0.041,0,0.426,0,0,0.445,0.05,0,0.165,0.095,0,0.37,0.159,0.03,0.644,0.204,0,0.18,0,0.001,0.55,0,0,0.272,0.178,0,0.541,0,0.159,0.386,0,0.087,0.47,0,0.001,0.714,0,0,0.74,0,0,0.429,0,0.026,0.281,0,0.092,0.45,0,0.081,0.557,0,0.104,0.454,0,0.058,0.348,0.147,0.083
0.635,0,0,0.995,0,0,0.548,0.321,0.005,0.917,0.653,0.022,0.278,0,0,0.538,0,0.021,0.38,0,0,0.326,0.178,0,1,0,0,0.164,0,0.083,0.391,0.409,0,0.712,0.809,0,0.883,0.611,0,0.674,0.805,0,0.996,0.541,0.114,0.523,0.339,0,0.645,0.238,0.046,0.763,0.59,0,0.799,0.534,0.006,0.946,0.569,0,0.63,0.931,0,0.629,0,0
0.415,0.354,0.061,0.399,0,0.006,0.144,0,0.006,0.451,0,0.033,0.342,0,0.006,0.492,0,0.021,0.391,0,0,0.319,0,0,0.413,0.388,0,0.491,0.458,0.056,0.327,0,0.066,0.14,0,0,0.392,0,0,0.287,0,0,0.381,0.197,0.088,0.443,0,0.05,0.273,0,0.118,0.131,0.257,0.142,0.115,0.263,0,0.32,0.078,0,0.395,0.384,0.006,0.406,0,0.007
0.249,0,0,0.264,0.233,0.007,0.271,0,0.006,0,0,0.026,0.323,0,0.005,0.329,0,0.02,0.211,0,0,0.063,0,0,0.518,0,0,0.47,0,0.059,0.113,0.134,0,0.15,0,0,0.59,0,0.079,0.285,0,0,0.398,0,0.068,0.536,0,0,0.189,0,0.042,0.511,0,0.009,0.345,0,0.182,0.5,0,0.002,0.406,0,0.012,0.285,0,0.089
0.384,0,0.026,0.555,0,0.011,0.256,0,0.012,0.983,0,0.012,0.467,0,0.004,0.338,0,0.041,0.56,0.251,0.13,0.207,0.512,0.014,0.622,0.434,0.074,0.522,0.709,0.132,0.389,0,0.056,0.335,0,0.005,0.57,0,0.054,0.256,0,0.049,0.512,0,0.117,0.575,0,0.064,0.414,0,0.069,0.442,0,0.025,0.482,0,0.146,0.453,0,0.305,0.426,0,0.031,0.352,0,0.084
0.589,0.339,0.014,0.99,0.407,0,0.179,0,0.007,0.606,0,0,0.881,0,0,0.389,0.391,0,0.919,0.552,0,0.803,0,0,1,0,0.001,0.995,0,0.083,0.416,0,0,0.635,0,0.012,1,0,0.004,0.446,0,0,0.871,0,0.115,0.99,0,0,0.739,0,0.052,0.761,0,0.064,0.776,0.138,0.162,0.867,0,0,0.843,0.227,0.129,0.647,0.702,0.032
