"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,778,100,99.9
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0,1000,0,99.76
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0,1000,0,99.44
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0,1000,0,99.68
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0,1000,0,99.6
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.988,929,100,98.779
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.995,980,100,99.52
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0,1000,0,99.92
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.993,980,100,99.279
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.999,963,100,99.92
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.992,495,100,99.199
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.994,429,100,99.44
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.991,424,100,99.119
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.988,405,100,98.799
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.994,396,100,99.359
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.998,430,100,99.76
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.998,560,100,99.76
