"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,667,100,99.92
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.498,495,50,99.76
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0,1000,0,99.599
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0,1000,0,99.84
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.495,586,50,99.519
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0,1000,0,99.679
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.897,652,100,89.688
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.49,495,50,98.958
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0,1000,0,99.679
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0,1000,0,99.92
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.986,964,100,98.558
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.969,946,100,96.795
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.933,44,100,93.172
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.5,523,50,100
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.498,42,50,99.76
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.498,41,50,99.76
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.996,736.5,100,99.599
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.999,832,100,99.92
