"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.993,500,100,99.306
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.993,500,100,99.306
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.767,556,86.667,90
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.812,0,100,0
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.695,217,81.395,88.095
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.74,495,88.636,85.366
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.812,470,90.698,90.476
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.553,0,100,0
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.74,480,88.636,85.366
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.81,71,93.182,87.805
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.745,0,100,0
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",NA,NA,NA,NA
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.694,10,86.047,83.333
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.724,510,77.273,95.122
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.788,692,90.476,88.372
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.694,495,86.047,83.333
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.6,495,78.571,81.395
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.647,10,80.952,83.721
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.74,237,90.698,83.333
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.74,490,90.698,83.333
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.787,10,85.714,93.023
