"","Model.name","Eval.metric","Testing.data","Evaluating.data","Cutoff","Sensitivity","Specificity"
"1","EMmeanByTSS_mergedAlgo_RUN1_PA1","KAPPA",0.858,NA,127,95.455,90.244
"2","EMmeanByTSS_mergedAlgo_RUN1_PA1","TSS",0.857,NA,127,95.455,90.244
"3","EMmeanByTSS_mergedAlgo_RUN1_PA1","ROC",0.96,NA,128,95.455,90.244
"4","EMmeanByTSS_mergedAlgo_RUN2_PA1","KAPPA",0.764,NA,592,88.636,87.805
"5","EMmeanByTSS_mergedAlgo_RUN2_PA1","TSS",0.764,NA,592,88.636,87.805
"6","EMmeanByTSS_mergedAlgo_RUN2_PA1","ROC",0.916,NA,594,88.636,87.805
"7","EMmeanByTSS_mergedAlgo_RUN3_PA1","KAPPA",0.835,NA,561,90.909,92.683
"8","EMmeanByTSS_mergedAlgo_RUN3_PA1","TSS",0.836,NA,561,90.909,92.683
"9","EMmeanByTSS_mergedAlgo_RUN3_PA1","ROC",0.939,NA,565.5,90.909,92.683
"10","EMmeanByTSS_mergedAlgo_RUN4_PA1","KAPPA",0.811,NA,366,95.455,85.366
"11","EMmeanByTSS_mergedAlgo_RUN4_PA1","TSS",0.808,NA,366,95.455,85.366
"12","EMmeanByTSS_mergedAlgo_RUN4_PA1","ROC",0.933,NA,365.5,95.455,85.366
"13","EMmeanByTSS_mergedAlgo_RUN5_PA1","KAPPA",0.811,NA,542,93.182,87.805
"14","EMmeanByTSS_mergedAlgo_RUN5_PA1","TSS",0.81,NA,542,93.182,87.805
"15","EMmeanByTSS_mergedAlgo_RUN5_PA1","ROC",0.949,NA,542.5,93.182,87.805
"16","EMmeanByTSS_mergedAlgo_RUN6_PA1","KAPPA",0.812,NA,499,90.698,90.476
"17","EMmeanByTSS_mergedAlgo_RUN6_PA1","TSS",0.812,NA,499,90.698,90.476
"18","EMmeanByTSS_mergedAlgo_RUN6_PA1","ROC",0.97,NA,499.5,90.698,90.476
"19","EMmeanByTSS_mergedAlgo_RUN7_PA1","KAPPA",0.859,NA,411,90.698,95.238
"20","EMmeanByTSS_mergedAlgo_RUN7_PA1","TSS",0.859,NA,411,90.698,95.238
"21","EMmeanByTSS_mergedAlgo_RUN7_PA1","ROC",0.961,NA,412.5,90.698,95.238
"22","EMmeanByTSS_mergedAlgo_RUN8_PA1","KAPPA",0.742,NA,169,97.619,76.744
"23","EMmeanByTSS_mergedAlgo_RUN8_PA1","TSS",0.744,NA,169,97.619,76.744
"24","EMmeanByTSS_mergedAlgo_RUN8_PA1","ROC",0.922,NA,168,97.619,76.744
"25","EMmeanByTSS_mergedAlgo_RUN9_PA1","KAPPA",0.81,NA,93,100,80.488
"26","EMmeanByTSS_mergedAlgo_RUN9_PA1","TSS",0.805,NA,93,100,80.488
"27","EMmeanByTSS_mergedAlgo_RUN9_PA1","ROC",0.943,NA,93,100,80.488
"28","EMmeanByTSS_mergedAlgo_RUN10_PA1","KAPPA",0.787,NA,430,97.727,80.488
"29","EMmeanByTSS_mergedAlgo_RUN10_PA1","TSS",0.782,NA,430,97.727,80.488
"30","EMmeanByTSS_mergedAlgo_RUN10_PA1","ROC",0.912,NA,431,97.727,80.488
"31","EMmeanByTSS_mergedAlgo_Full_PA1","KAPPA",0.868,NA,343,97.222,89.583
"32","EMmeanByTSS_mergedAlgo_Full_PA1","TSS",0.868,NA,348,97.222,89.583
"33","EMmeanByTSS_mergedAlgo_Full_PA1","ROC",0.986,NA,316,97.917,88.889
"34","EMmeanByTSS_mergedAlgo_RUN1_PA2","KAPPA",0.859,NA,360,92.857,93.023
"35","EMmeanByTSS_mergedAlgo_RUN1_PA2","TSS",0.859,NA,360,92.857,93.023
"36","EMmeanByTSS_mergedAlgo_RUN1_PA2","ROC",0.951,NA,334.5,95.238,90.698
"37","EMmeanByTSS_mergedAlgo_RUN2_PA2","KAPPA",0.906,NA,504,100,90.698
"38","EMmeanByTSS_mergedAlgo_RUN2_PA2","TSS",0.907,NA,504,100,90.698
"39","EMmeanByTSS_mergedAlgo_RUN2_PA2","ROC",0.968,NA,530,100,93.023
"40","EMmeanByTSS_mergedAlgo_RUN3_PA2","KAPPA",0.906,NA,579,90.698,100
"41","EMmeanByTSS_mergedAlgo_RUN3_PA2","TSS",0.907,NA,579,90.698,100
"42","EMmeanByTSS_mergedAlgo_RUN3_PA2","ROC",0.993,NA,580,90.698,100
"43","EMmeanByTSS_mergedAlgo_RUN4_PA2","KAPPA",0.835,NA,672,95.349,88.095
"44","EMmeanByTSS_mergedAlgo_RUN4_PA2","TSS",0.834,NA,672,95.349,88.095
"45","EMmeanByTSS_mergedAlgo_RUN4_PA2","ROC",0.927,NA,670.5,95.349,88.095
"46","EMmeanByTSS_mergedAlgo_RUN5_PA2","KAPPA",0.882,NA,661.5,95.349,92.857
"47","EMmeanByTSS_mergedAlgo_RUN5_PA2","TSS",0.882,NA,661.5,95.349,92.857
"48","EMmeanByTSS_mergedAlgo_RUN5_PA2","ROC",0.951,NA,666,95.349,92.857
"49","EMmeanByTSS_mergedAlgo_RUN6_PA2","KAPPA",0.906,NA,855.5,97.619,93.023
"50","EMmeanByTSS_mergedAlgo_RUN6_PA2","TSS",0.906,NA,855.5,97.619,93.023
"51","EMmeanByTSS_mergedAlgo_RUN6_PA2","ROC",0.956,NA,453,100,90.698
"52","EMmeanByTSS_mergedAlgo_RUN7_PA2","KAPPA",0.929,NA,467.5,100,92.683
"53","EMmeanByTSS_mergedAlgo_RUN7_PA2","TSS",0.927,NA,467.5,100,92.683
"54","EMmeanByTSS_mergedAlgo_RUN7_PA2","ROC",0.953,NA,467,100,92.683
"55","EMmeanByTSS_mergedAlgo_RUN8_PA2","KAPPA",0.858,NA,541,95.455,90.244
"56","EMmeanByTSS_mergedAlgo_RUN8_PA2","TSS",0.857,NA,541,95.455,90.244
"57","EMmeanByTSS_mergedAlgo_RUN8_PA2","ROC",0.955,NA,543,95.455,90.244
"58","EMmeanByTSS_mergedAlgo_RUN9_PA2","KAPPA",0.953,NA,483,97.674,97.619
"59","EMmeanByTSS_mergedAlgo_RUN9_PA2","TSS",0.953,NA,483,97.674,97.619
"60","EMmeanByTSS_mergedAlgo_RUN9_PA2","ROC",0.989,NA,486,97.674,97.619
"61","EMmeanByTSS_mergedAlgo_RUN10_PA2","KAPPA",0.882,NA,384,97.619,90.698
"62","EMmeanByTSS_mergedAlgo_RUN10_PA2","TSS",0.883,NA,384,97.619,90.698
"63","EMmeanByTSS_mergedAlgo_RUN10_PA2","ROC",0.97,NA,383,97.619,90.698
"64","EMmeanByTSS_mergedAlgo_Full_PA2","KAPPA",0.951,NA,587,96.528,98.611
"65","EMmeanByTSS_mergedAlgo_Full_PA2","TSS",0.951,NA,587,96.528,98.611
"66","EMmeanByTSS_mergedAlgo_Full_PA2","ROC",0.998,NA,591,96.528,98.611
