"GAM.RUN1.PA1","GLM.RUN1.PA1","MAXENT.Phillips.RUN1.PA1","GAM.RUN2.PA1","GLM.RUN2.PA1","MAXENT.Phillips.RUN2.PA1","GAM.RUN3.PA1","GLM.RUN3.PA1","MAXENT.Phillips.RUN3.PA1","GAM.RUN4.PA1","GLM.RUN4.PA1","MAXENT.Phillips.RUN4.PA1","GAM.RUN5.PA1","GLM.RUN5.PA1","MAXENT.Phillips.RUN5.PA1","GAM.RUN6.PA1","GLM.RUN6.PA1","MAXENT.Phillips.RUN6.PA1","GAM.RUN7.PA1","GLM.RUN7.PA1","MAXENT.Phillips.RUN7.PA1","GAM.RUN8.PA1","GLM.RUN8.PA1","MAXENT.Phillips.RUN8.PA1","GAM.RUN9.PA1","GLM.RUN9.PA1","MAXENT.Phillips.RUN9.PA1","GAM.RUN10.PA1","GLM.RUN10.PA1","MAXENT.Phillips.RUN10.PA1","GAM.Full.PA1","GLM.Full.PA1","MAXENT.Phillips.Full.PA1","GAM.RUN1.PA2","GLM.RUN1.PA2","MAXENT.Phillips.RUN1.PA2","GAM.RUN2.PA2","GLM.RUN2.PA2","MAXENT.Phillips.RUN2.PA2","GAM.RUN3.PA2","GLM.RUN3.PA2","MAXENT.Phillips.RUN3.PA2","GAM.RUN4.PA2","GLM.RUN4.PA2","MAXENT.Phillips.RUN4.PA2","GAM.RUN5.PA2","GLM.RUN5.PA2","MAXENT.Phillips.RUN5.PA2","GAM.RUN6.PA2","GLM.RUN6.PA2","MAXENT.Phillips.RUN6.PA2","GAM.RUN7.PA2","GLM.RUN7.PA2","MAXENT.Phillips.RUN7.PA2","GAM.RUN8.PA2","GLM.RUN8.PA2","MAXENT.Phillips.RUN8.PA2","GAM.RUN9.PA2","GLM.RUN9.PA2","MAXENT.Phillips.RUN9.PA2","GAM.RUN10.PA2","GLM.RUN10.PA2","MAXENT.Phillips.RUN10.PA2","GAM.Full.PA2","GLM.Full.PA2","MAXENT.Phillips.Full.PA2"
0.101,0.596,0.225,0.53,0.644,0.235,0.497,0.523,0.256,0.462,0.718,0.154,0.491,0.36,0.342,0.33,0.47,0.197,0.309,0.533,0.09,0.369,0.426,0.287,0.635,0.68,0.346,0.387,0.55,0.076,NA,0.383,0.098,0.991,0.996,0.421,0.719,0.592,0.753,0.108,0.739,0.367,0.65,0.602,0.405,0.505,0.521,0.206,0.863,0.574,0.434,0.559,0.535,0.366,0.72,0.488,0.219,0.642,0.783,0.522,0.616,0.483,0.322,0.92,0.512,0.376
0.311,0,0,0.162,0,0,0.593,0.28,0.005,0.426,0,0,0.55,0,0,0.55,0,0.056,0.511,0,0,0.381,0,0,0.705,0.431,0,0.154,0,0,NA,0,0,0.542,0,0,0.393,0.171,0,0.734,0,0,0.456,0.024,0,0.495,0.446,0,0.565,0.037,0.061,0.467,0.046,0.016,0.508,0,0,0.283,0,0,0.418,0.038,0,0.425,0.023,0
0.444,0.166,0.021,0.416,0,0.001,0.549,0,0,0.355,0.367,0,0.476,0,0,0.383,0.37,0,0.451,0,0,0.441,0,0,0.492,0.352,0,0.359,0,0.014,NA,0,0.02,0.763,0,0,0.634,0,0,0.95,0,0,0.758,0,0,0.322,0.68,0,0.927,0,0,0.785,0,0,0.677,0,0,0.161,0,0,0.255,0,0,0.688,0,0.03
0.446,0,0,0.144,0.08,0.201,0.425,0.414,0,0.471,0,0,0.514,0.431,0,0.466,0,0,0.608,0,0,0.368,0.374,0,0.595,0,0,0.299,0,0,NA,0.396,0,0.409,0,0.055,0.353,0,0.018,0.403,0.173,0.105,0.359,0,0,0.228,0.378,0,0.074,0,0,0.419,0,0,0.21,0.209,0.01,0.316,0.307,0.075,0.458,0,0,0.549,0,0.206
0.11,0,0.07,0.243,0.128,0,0.207,0,0.195,0.341,0.121,0.182,0.139,0,0.24,0.189,0.229,0.167,0.289,0.251,0.069,0.004,0,0.234,0.261,0,0.003,0.244,0.164,0.36,NA,0,0.059,0.158,0,0.033,0.156,0.143,0.007,0.069,0,0,0.463,0.189,0.006,0.132,0.22,0.337,0.23,0.192,0.036,0.315,0.227,0.033,0.119,0.111,0.153,0.185,0,0,0.435,0.242,0,0.159,0.244,0
0.333,0.437,0.181,0.204,0,0.112,0.53,0,0.016,0.619,0,0.016,0.466,0.253,0.039,0.506,0,0.167,0.514,0,0.175,0.465,0,0,0.418,0,0.049,0.473,0,0.04,NA,0.187,0.211,0.277,0.316,0.017,0.407,0,0,0.251,0,0,0.251,0,0,0.583,0,0,0.55,0,0.052,0.303,0,0.019,0.362,0,0.026,0.451,0,0,0.485,0,0.044,0.491,0,0.05
0.307,0.356,0.056,0.412,0,0.063,0.538,0.358,0.109,0.621,0,0.079,0.436,0,0.062,0.439,0,0.036,0.489,0,0.037,0.443,0.19,0.17,0.581,0,0.056,0.25,0,0.039,NA,0,0.051,0.344,0,0.094,0.341,0,0,0.475,0,0,0.109,0,0.09,0.471,0,0.091,0.448,0,0.019,0.286,0,0,0.245,0,0.133,0.157,0,0,0.792,0,0,0.785,0,0.044
0.473,0,0,0.249,0,0.009,0.485,0,0,0.462,0.246,0.023,0.47,0.256,0,0.366,0.11,0.092,0.146,0,0,0.42,0,0,0.546,0,0,0.464,0,0.011,NA,0,0,0.001,0,0,0.638,0,0,0.664,0,0.022,0.626,0,0,0.606,0,0,0.762,0,0.023,0.187,0,0,0.521,0,0.104,0.724,0,0,0.375,0,0.028,0.254,0,0.021
0.213,0.662,0,0.481,0,0,0.371,0,0,0.511,0,0,0.502,0,0,0.408,0,0,0.537,0,0,0.768,0,0,0.527,0,0,0.094,0,0,NA,0,0,0.483,0,0.041,0.524,0.184,0.01,0.875,0,0.194,0.104,0.217,0.07,0.851,0,0,0.243,0,0.03,0.357,0,0.006,0.531,0,0.099,0.653,0,0.028,0.43,0,0.011,0.481,0,0.142
0.747,0,0.152,0.194,0.236,0.113,0.64,0,0.07,0.352,0,0.111,0.439,0,0.025,0.209,0,0.206,0.652,0,0.242,0.344,0.269,0.005,0.345,0,0.003,0.104,0,0.191,NA,0.241,0.238,0.915,0,0.058,0.439,0,0.014,0.276,0,0.462,0.382,0,0.102,1,0.121,0.241,1,0.219,0.096,0.363,0.231,0.012,0.972,0.049,0.208,0.476,0.07,0,0.229,0.253,0,0.342,0.21,0.168
0.307,0.344,0.358,0.572,0,0.221,0.789,0.463,0.068,0.723,0,0.134,0.898,0,0.097,0.748,0,0.348,0.499,0.225,0.295,0.93,0.596,0.041,0.864,0.476,0.133,0.57,0.282,0.178,NA,0.529,0.355,0.165,0,0.207,0.985,0,0.018,0.154,0.184,0.126,0.969,0,0.112,0.368,0,0.02,0.493,0,0.183,0.751,0,0.14,0.352,0,0.079,1,0,0.055,0.182,0,0.173,0.629,0,0.1
0.4,0,0.002,0.612,0,0.357,0.556,0,0,0.394,0,0.002,0.414,0,0,0.565,0.282,0.032,0.697,0,0,0.22,0.206,0.064,0.769,0.612,0,0.361,0,0.236,NA,0.089,0,0.996,0,0.067,0.786,0,0.007,0.682,0.288,0.119,0.558,0,0,0.377,0,0.022,0.344,0,0.071,0.386,0,0.001,0.067,0.433,0.033,0.748,0.553,0.095,0.657,0,0,0.865,0,0.341
0.302,0.316,0.056,0.429,0,0.312,0.582,0.446,0.102,0.412,0.379,0.21,0.456,0.492,0.011,0.2,0,0.143,0.373,0.073,0.135,0.365,0.484,0.071,0.335,0.29,0.343,0.261,0.06,0.273,NA,0.456,0.095,0.169,0.099,0.113,0.438,0,0,0.657,0,0,0.321,0,0,0.311,0,0,0.327,0,0.022,0.15,0,0.009,0.115,0,0,0.329,0,0,0.121,0,0,0.399,0,0.034
0.441,0.529,0,0.556,0,0.122,0.251,0.457,0,0.325,0.466,0,0.423,0.494,0,0.278,0.811,0.047,0.238,0,0.067,0.742,0.539,0,0.228,0.212,0,0.625,0,0,NA,0.506,0.053,0.66,0,0,0.463,0,0,0.091,0,0,0.253,0,0,0.53,0,0,0.649,0,0,0.478,0,0,0.406,0,0,0.834,0,0,0.356,0,0,0.278,0,0.042
0.823,0,0.14,0.907,0,0,0.81,0,0.148,0.834,0,0.315,0.791,0,0,0.682,0,0.065,1,0,0.153,0.801,0,0,0.942,0,0.245,0.785,0,0.121,NA,0,0.067,1,0,0.163,1,0,0.014,1,0,0.005,0.919,0,0.066,0.699,0,0.04,1,0,0.035,0.602,0,0.044,0.487,0,0.073,0.942,0,0.002,1,0,0.043,1,0,0.125
1,0,0,0.692,0,0,0.593,0,0,1,0,0.023,1,0,0,1,0,0,0.788,0,0.032,1,0,0,0.633,0.17,0,1,0,0,NA,0,0,0.742,0,0.048,0.82,0.148,0,0.813,0,0.069,0.561,0,0.024,0.978,0,0.006,0.801,0,0.047,0.903,0,0.039,0.879,0,0.028,0.575,0,0.096,0.813,0,0,0.656,0,0.104
1,0,0.102,0.887,0,0.085,0.673,0,0.148,0.952,0,0.101,0.992,0,0.123,0.78,0,0.09,0.948,0,0.042,0.964,0.09,0.081,0.776,0,0.028,0.987,0,0.064,NA,0,0.074,0.866,0,0,0.946,0,0,0.958,0,0.001,0.818,0,0,0.763,0,0.144,0.917,0,0.025,0.591,0,0.036,0.565,0,0.088,0.737,0,0.043,0.974,0,0,0.836,0,0.054
0.772,0,0.006,0.38,0,0.046,0.591,0,0.003,0.356,0,0.036,0.367,0,0.004,0.453,0,0.007,0.603,0,0.011,0.338,0,0,0.379,0.178,0.002,0.36,0,0.023,NA,0,0.008,0.191,0.272,0.043,0.385,0,0.01,0.794,0,0.061,0.354,0,0.296,0.258,0,0.006,0.214,0,0.017,0.307,0,0.224,0.3,0,0.238,0.327,0,0.3,0.292,0,0.261,0.253,0,0.133
