"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.958,419,99.065,96.729
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.949,465,98.598,96.262
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.885,338,93.651,94.828
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.918,606,95.161,96.61
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.883,449.5,96.774,91.525
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.852,0,100,0
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.853,495,90.476,94.828
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.9,40,100,90
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.884,313,95.161,93.22
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.816,495,95.161,86.441
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.748,495,90.625,84.211
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.801,490,91.935,88.136
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.74,970,82.812,91.228
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.831,40,98.387,84.746
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.804,212,85.484,94.915
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.834,0,100,0
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.719,10,85.484,86.441
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.748,0,100,0
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.832,96,95.238,87.931
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.914,101,98.438,92.982
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.739,495,82.54,91.379
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.768,5,89.062,87.719
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.925,575,98.131,94.393
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.949,479,98.598,96.262
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.87,742,90.476,96.552
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.967,655,98.387,98.305
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.883,763,96.774,91.525
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.917,660,96.721,95
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.915,394,98.413,93.103
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.9,620,98.361,91.667
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.916,242,98.387,93.22
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.898,464,100,89.831
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.846,757,96.875,87.719
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.884,566,95.161,93.22
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.883,737,95.312,92.982
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.932,484,100,93.22
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.949,592,100,94.915
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.95,747,98.387,96.61
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.899,711,98.387,91.525
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.866,556,95.238,91.379
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.882,636,96.825,91.379
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.951,508,96.875,98.246
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.934,611,96.825,96.552
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.867,667,93.75,92.982
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.935,409,94.86,98.598
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.925,63,98.131,94.393
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.932,86,98.413,94.828
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.915,203,100,91.525
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.815,459,96.774,84.746
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.901,173,95.082,95
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.87,760,90.476,96.552
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.884,577,93.443,95
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.95,59,98.387,96.61
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.882,17,98.387,89.831
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.815,326,93.75,87.719
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.868,757,93.548,93.22
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.865,152,95.312,91.228
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.881,18,100,88.136
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.802,685,88.71,91.525
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.834,314.5,93.548,89.831
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.817,222,93.548,88.136
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.836,569,90.476,93.103
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.849,797.5,95.238,89.655
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.865,185,95.312,91.228
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.899,18,96.825,93.103
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.842,429,100,84.211
