"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.976,399,100,97.638
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",1,495,100,100
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.737,495,84.211,89.474
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.575,0,100,0
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.789,954.5,81.579,97.368
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.814,500,92.5,88.889
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.684,495,86.842,81.579
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.789,10,89.744,89.189
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.688,990,76.923,91.892
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.522,500,80,72.222
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.711,495,86.842,84.211
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.789,273,84.211,94.737
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.579,682,73.684,84.211
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.735,500,89.744,83.784
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.816,495,89.474,92.105
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.661,778,80,86.111
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.814,35,94.872,86.486
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.864,495,97.5,88.889
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",NA,NA,NA,NA
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.763,495,84.211,92.105
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.794,904,85,94.444
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.817,399,90,91.667
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.89,449.5,97.638,91.339
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.945,333,99.213,95.276
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.895,839,92.105,97.368
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.922,162,95,97.222
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.921,706,94.737,97.368
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.758,495,92.5,83.333
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.816,662,94.737,86.842
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.947,768,97.436,97.297
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.818,692,87.179,94.595
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.972,384,100,97.222
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.921,560,97.368,94.737
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.921,121,97.368,94.737
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.842,338,94.737,89.474
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.819,914,84.615,97.297
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.842,769,97.368,86.842
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.839,394,95,88.889
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.92,461,97.436,94.595
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.922,566,95,97.222
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.812,495,97.436,83.784
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.921,727,94.737,97.368
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.867,636,95,91.667
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.869,672,92.5,94.444
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.969,637,97.638,99.213
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.945,139,97.638,96.85
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.868,89,97.368,89.474
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.95,373,95,100
