"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.726,444,94.022,78.533
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.734,556,88.859,84.239
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.446,444,83.696,60.87
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.402,323,84.783,56.522
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.467,273,84.783,61.957
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.609,465,86.957,73.913
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.478,667,73.913,73.913
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.522,566,76.087,76.087
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.435,318,80.435,63.043
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.522,434,90.217,61.957
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.609,308,91.304,69.565
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.457,268,94.565,51.087
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.565,414,88.043,68.478
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.533,550.5,76.087,77.174
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.435,162,95.652,47.826
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.587,465,88.043,69.565
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.522,510,79.348,72.826
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.467,495,78.261,68.478
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.446,485,78.261,66.304
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.565,263,94.565,61.957
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.467,439,79.348,67.391
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.62,525,83.696,77.174
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.5,319,94.022,55.978
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.503,407,89.402,60.598
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.5,540,84.783,65.217
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.359,354,93.478,42.391
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.489,312,94.565,54.348
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.511,507,88.043,63.043
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.402,641,64.13,76.087
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.424,324,93.478,48.913
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.435,414,85.87,56.522
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.424,520,79.348,63.043
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.511,510.5,81.522,69.565
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.467,521,80.435,65.217
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.543,390,90.217,64.13
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.576,409,90.217,66.304
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.424,217,95.652,46.739
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.5,315,95.652,53.261
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.511,421,90.217,60.87
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.413,402,77.174,58.696
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.446,640,66.304,78.261
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.543,379,90.217,64.13
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.424,485,77.174,65.217
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.5,622,77.174,70.652
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.609,532,69.565,91.304
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.652,441,78.261,86.957
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.522,233,92.391,58.696
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.435,130,86.957,56.522
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.424,175,81.522,60.87
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.543,140,88.043,66.304
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.402,430,71.739,68.478
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.435,139,81.522,61.957
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.402,20,88.043,52.174
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.554,340,81.522,73.913
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.543,281,85.87,68.478
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.5,563,80.435,69.565
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.554,170,88.043,67.391
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.5,210,83.696,65.217
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.413,145,88.043,53.261
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.554,190,88.043,67.391
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.478,250,80.435,67.391
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.554,370,80.435,76.087
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.489,452,70.652,78.261
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.641,313,89.13,73.913
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.391,329,77.174,61.957
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.543,501,78.261,76.087
