"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.973,500,100,97.315
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.987,495,100,98.658
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.838,434,91.111,92.683
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.697,15,85.106,84.615
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.885,192,93.478,95
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.685,495,78.723,89.744
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.788,0,100,0
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.814,35,91.111,90.244
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.785,30,95.556,82.927
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.627,303,82.222,80.488
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.747,495,84.444,90.244
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.793,45.5,86.667,92.683
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.782,0,100,0
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.758,0,100,0
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.74,0,100,0
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.748,15,85.106,89.744
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.791,0,100,0
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.751,495,80,95.122
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.769,0,100,0
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.695,0,100,0
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.698,202,84.444,85.366
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",NA,NA,NA,NA
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.913,338,99.329,91.946
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.886,453,98.658,89.933
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.905,586,97.778,92.683
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.753,495,82.979,92.308
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.9,35,100,90
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.876,483,97.872,89.744
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.9,692,100,90
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.905,202,97.778,92.683
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.902,525,100,90.244
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.796,567,84.444,95.122
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.816,382,88.889,92.683
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.882,0,100,0
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.851,125,97.872,87.179
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.878,562,100,87.805
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.882,719,95.556,92.683
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.872,647,100,87.179
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.951,429,100,95.122
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.905,140,97.778,92.683
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.929,449.5,97.778,95.122
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.753,0,100,0
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.885,370.5,93.333,95.122
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.88,452,97.778,90.244
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.866,443,89.262,97.315
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.94,753.5,93.96,100
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.76,337,95.556,80.488
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.735,903,91.489,82.051
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.816,26,89.13,92.5
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.727,174.5,95.745,76.923
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.778,148,97.826,80
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.907,132,95.556,95.122
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.787,477,93.333,85.366
