"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.769,449.5,97.504,79.425
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.787,434,97.806,80.938
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.723,439,96.131,76.19
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.815,429,97.033,84.478
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.721,565,96.119,75.964
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.738,576,94.362,79.403
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.8,386,97.923,82.09
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.726,601,92.285,80.299
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.773,474,95.846,81.493
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.801,429,97.619,82.44
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.732,577,96.736,76.418
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.756,249,96.418,79.228
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.789,620,97.015,81.602
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.75,520,95.252,79.701
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.738,379,96.142,77.612
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.731,535,94.985,78.078
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.763,423,98.209,78.042
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.777,575,96.131,81.25
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.723,478,97.024,75.298
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.751,419,97.91,77.151
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.726,362,96.142,76.418
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.77,574,95.252,81.791
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.761,595,95.84,80.106
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.775,493.5,97.05,80.484
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.726,585.5,95.238,77.083
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.821,506,97.329,84.776
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.718,481.5,97.612,74.184
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.758,575.5,95.846,80
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.797,560,96.142,83.582
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.726,427,95.846,76.716
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.785,512.5,97.329,81.194
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.81,656,95.536,85.119
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.737,519,97.329,76.418
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.754,246,97.015,78.338
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.78,555,97.91,80.119
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.764,495,95.846,80.597
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.752,361.5,96.736,78.507
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.736,428,95.87,77.778
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.76,416.5,98.507,77.448
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.774,600,97.321,80.06
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.72,540,96.429,75.595
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.748,485,97.91,76.855
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.726,432.5,96.142,76.418
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.773,623,95.252,82.09
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.767,316,95.461,81.165
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.784,262,95.31,82.98
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.729,190,95.238,77.679
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.815,171,97.329,84.179
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.727,372,93.134,79.525
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.75,206,94.955,80
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.794,139,96.142,83.284
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.723,100,94.659,77.612
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.788,160,96.142,82.687
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.804,317,95.833,84.524
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.737,105,97.626,76.119
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.742,40,95.522,78.338
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.768,151,98.209,78.635
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.755,100,95.846,79.701
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.738,231,93.175,80.597
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.733,70,96.46,76.877
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.765,146,97.612,78.932
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.771,226,97.619,79.464
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.732,151,96.429,76.786
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.724,100,95.224,77.151
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.735,225,94.362,79.104
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.762,256,94.362,81.791
