"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.989,495,100,98.889
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",1,500,100,100
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.782,500,89.286,88.889
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.668,500,96.429,70.37
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.635,667,77.778,85.714
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.854,495,92.857,92.593
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.779,495,96.429,81.481
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.64,384,92.593,71.429
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.819,500,92.593,89.286
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.783,495,92.593,85.714
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.602,495,85.185,75
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.674,0,100,0
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.682,5,92.308,75.862
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.675,960,88.889,78.571
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.746,520,85.714,88.889
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.678,985,88.462,79.31
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.71,495,88.889,82.143
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.857,990,100,85.714
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.817,495,88.889,92.857
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.706,10,92.857,77.778
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.817,495,88.889,92.857
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.606,66,64.286,96.296
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.822,442,95.556,86.667
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.833,409.5,98.889,84.444
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.815,282,100,81.481
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.817,750,92.857,88.889
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.604,495,92.593,67.857
