"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.962,495,100,96.183
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.977,495,100,97.71
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.558,859,78.049,77.778
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.69,495,89.474,79.487
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.713,0,100,0
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.663,0,100,0
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.638,0,100,0
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.689,348.5,86.842,82.051
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.526,495,67.568,85
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.533,0,100,0
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.818,0,100,0
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.636,10,84.615,78.947
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.717,0,100,0
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.688,495,85,83.784
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.767,0,100,0
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.69,10,76.923,92.105
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.719,0,100,0
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.69,0,100,0
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.609,0,100,0
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.559,136,76.923,78.947
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.662,949,84.615,81.579
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.742,0,100,0
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.87,409,98.473,88.55
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.84,626,91.603,91.603
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.785,106,95.122,83.333
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.846,630,100,84.615
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.872,284,100,87.179
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.786,375,97.5,81.081
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.845,167,97.368,87.179
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.872,320,100,87.179
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.923,409,97.297,95
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.818,487,92.308,89.474
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.872,495,100,87.179
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.765,81,94.872,81.579
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.896,548,94.872,94.737
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.784,30,100,78.378
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.948,323,97.436,97.368
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.896,190,94.872,94.737
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.794,479,91.892,87.5
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.819,515,91.892,90
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.795,30,100,79.487
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.766,730,89.744,86.842
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.844,763,92.308,92.105
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.769,517,100,76.923
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.878,320,96.183,91.603
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.847,138,95.42,89.313
