"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.98,495,100,97.959
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.947,616,97.551,97.143
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.689,990,80.882,88.06
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.62,0,100,0
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.805,479,95.652,84.848
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.734,0,100,0
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.761,758,92.754,83.333
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.704,76,84.058,86.364
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.674,35,86.765,80.597
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.703,0,100,0
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.686,0,100,0
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.881,520,97.059,91.045
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.773,51,100,77.273
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.733,10,87.143,86.154
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.72,0,100,0
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.747,0,100,0
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.748,35,88.406,86.364
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.793,535,88.235,91.045
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.562,990,71.831,82.812
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.719,990,85.294,86.567
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.66,960,81.429,84.615
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.851,0,100,0
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.841,612,93.469,90.612
