"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.993,960,100,99.299
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.378,177,40,97.837
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.194,990,20,99.279
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.184,167,20,98.397
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0,1000,0,98.958
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.393,475,40,99.279
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.849,589,100,84.839
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.894,748,100,89.423
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.763,929,80,96.314
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.958,884,100,95.833
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.545,495,60,94.471
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.827,595,100,82.692
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.931,104,100,93.09
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.97,467,100,96.955
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.902,51,100,90.224
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.97,375,100,96.955
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.856,17,100,85.337
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.879,39,100,87.74
