"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",1,495,100,100
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.979,495,100,97.917
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.833,0,100,0
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.792,318,91.667,87.5
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.833,495,95.833,87.5
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.875,495,95.833,91.667
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.75,545,91.667,83.333
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.75,505,83.333,91.667
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.667,505,91.667,75
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.625,495,83.333,79.167
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.875,298,95.833,91.667
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.667,343,83.333,83.333
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.667,540,70.833,95.833
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.667,379,91.667,75
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.75,495,79.167,95.833
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.792,207,87.5,91.667
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.583,30,75,83.333
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.667,0,100,0
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.75,0,100,0
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.833,495,95.833,87.5
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.792,495,95.833,83.333
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.625,25,87.5,75
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.844,480,97.917,86.458
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.896,409,96.875,92.708
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.875,253,95.833,91.667
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.792,131,95.833,83.333
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.833,595,95.833,87.5
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.958,399,100,95.833
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.833,318,95.833,87.5
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.792,429,87.5,91.667
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.792,524,100,79.167
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.833,540,100,83.333
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.708,391,87.5,83.333
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.75,424,87.5,87.5
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.625,146,87.5,75
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.792,510,95.833,83.333
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.833,437,100,87.5
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.792,298,87.5,91.667
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.833,343,95.833,87.5
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.875,404,100,87.5
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.833,811,87.5,95.833
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.917,641,100,91.667
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.875,413,95.833,91.667
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.792,702,87.5,91.667
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.812,771,82.292,98.958
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.812,254,92.708,88.542
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.75,247,79.167,95.833
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.833,247,95.833,87.5
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.833,247,91.667,91.667
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.958,334,100,95.833
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.75,247,83.333,91.667
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.917,247,100,91.667
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.625,247,83.333,79.167
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.75,247,87.5,87.5
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.542,247,54.167,100
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.708,247,87.5,83.333
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.583,247,62.5,95.833
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.667,247,83.333,83.333
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.625,247,66.667,95.833
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.875,247,87.5,100
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.583,247,62.5,95.833
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.875,247,95.833,91.667
"63","MAXENT.Phillips_RUN8_PA1","MAXENT.Phillips","RUN8","PA1","TSS",0.708,247,79.167,91.667
"64","MAXENT.Phillips_RUN8_PA2","MAXENT.Phillips","RUN8","PA2","TSS",0.875,247,95.833,91.667
"65","MAXENT.Phillips_RUN9_PA1","MAXENT.Phillips","RUN9","PA1","TSS",0.583,247,79.167,79.167
"66","MAXENT.Phillips_RUN9_PA2","MAXENT.Phillips","RUN9","PA2","TSS",0.542,247,79.167,75
