"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,859,100,99.86
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.248,495,25,99.76
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.497,697,50,99.68
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.248,990,25,99.76
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.494,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.495,788,50,99.52
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.989,495,100,98.939
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.988,495,100,98.799
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.994,495,100,99.359
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.737,495,75,98.719
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.98,495,100,97.998
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.49,495,50,98.959
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.992,249,100,99.199
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.994,209,100,99.44
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.998,641,100,99.76
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.995,537,100,99.52
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.99,288,100,99.039
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.988,159.5,100,98.799
