"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.999,823,100,99.9
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.121,495,12.5,99.6
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.058,813,5.882,99.92
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0,1000,0,99.84
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.058,859,5.882,99.92
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.115,990,11.765,99.76
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.983,495,100,98.257
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.9,495,100,89.992
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.696,495,70.588,99.038
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.176,0,100,0
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0,1000,0,99.76
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.176,0,100,0
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.988,132,100,98.778
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.989,90.5,100,98.879
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.032,423,5.882,97.356
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.113,445,11.765,99.519
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.115,537,11.765,99.76
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.571,414,64.706,92.388
