"rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN1_GAM","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN1_GAM","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN1_GAM","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN1_GAM","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN1_GAM","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN1_GLM","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN1_GLM","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN1_GLM","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN1_GLM","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN1_GLM","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN1_MAXENT.Phillips","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN1_MAXENT.Phillips","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN1_MAXENT.Phillips","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN1_MAXENT.Phillips","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN1_MAXENT.Phillips","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN2_GAM","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN2_GAM","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN2_GAM","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN2_GAM","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN2_GAM","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN2_GLM","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN2_GLM","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN2_GLM","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN2_GLM","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN2_GLM","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN2_MAXENT.Phillips","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN2_MAXENT.Phillips","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN2_MAXENT.Phillips","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN2_MAXENT.Phillips","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN2_MAXENT.Phillips","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN3_GAM","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN3_GAM","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN3_GAM","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN3_GAM","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN3_GAM","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN3_GLM","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN3_GLM","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN3_GLM","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN3_GLM","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN3_GLM","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN3_MAXENT.Phillips","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN3_MAXENT.Phillips","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN3_MAXENT.Phillips","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN3_MAXENT.Phillips","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN3_MAXENT.Phillips","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN4_GAM","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN4_GAM","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN4_GAM","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN4_GAM","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN4_GAM","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN4_GLM","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN4_GLM","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN4_GLM","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN4_GLM","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN4_GLM","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN4_MAXENT.Phillips","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN4_MAXENT.Phillips","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN4_MAXENT.Phillips","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN4_MAXENT.Phillips","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN4_MAXENT.Phillips","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN5_GAM","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN5_GAM","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN5_GAM","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN5_GAM","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN5_GAM","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN5_GLM","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN5_GLM","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN5_GLM","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN5_GLM","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN5_GLM","rand1.RHIZOPRIONODON.ACUTUS_PA1_RUN5_MAXENT.Phillips","rand2.RHIZOPRIONODON.ACUTUS_PA1_RUN5_MAXENT.Phillips","rand3.RHIZOPRIONODON.ACUTUS_PA1_RUN5_MAXENT.Phillips","rand4.RHIZOPRIONODON.ACUTUS_PA1_RUN5_MAXENT.Phillips","rand5.RHIZOPRIONODON.ACUTUS_PA1_RUN5_MAXENT.Phillips","rand1.RHIZOPRIONODON.ACUTUS_PA1_Full_GAM","rand2.RHIZOPRIONODON.ACUTUS_PA1_Full_GAM","rand3.RHIZOPRIONODON.ACUTUS_PA1_Full_GAM","rand4.RHIZOPRIONODON.ACUTUS_PA1_Full_GAM","rand5.RHIZOPRIONODON.ACUTUS_PA1_Full_GAM","rand1.RHIZOPRIONODON.ACUTUS_PA1_Full_GLM","rand2.RHIZOPRIONODON.ACUTUS_PA1_Full_GLM","rand3.RHIZOPRIONODON.ACUTUS_PA1_Full_GLM","rand4.RHIZOPRIONODON.ACUTUS_PA1_Full_GLM","rand5.RHIZOPRIONODON.ACUTUS_PA1_Full_GLM","rand1.RHIZOPRIONODON.ACUTUS_PA1_Full_MAXENT.Phillips","rand2.RHIZOPRIONODON.ACUTUS_PA1_Full_MAXENT.Phillips","rand3.RHIZOPRIONODON.ACUTUS_PA1_Full_MAXENT.Phillips","rand4.RHIZOPRIONODON.ACUTUS_PA1_Full_MAXENT.Phillips","rand5.RHIZOPRIONODON.ACUTUS_PA1_Full_MAXENT.Phillips"
0.919681,0.896507,0.891352,0.876883,0.891342,0,0,0,0,0,0.634285,0.425264,0.460868,0.586259,0.540747,0.515521,0.442772,0.46398,0.473041,0.511965,0,0,0,0,0,0,0,0,0,0,0.840451,0.788195,0.810777,0.747023,0.833969,1,1,1,1,1,0,0,0,0,0,0.976025,0.956641,1,0.976953,0.948745,0,0,0,0,0,0,0,0,0,0,0.507627,0.551589,0.518471,0.489893,0.505327,0,0,0,0,0,0,0,0,0,0,1,0.981405,0.796481,1,0.856806,0.009772,0.00487499999999996,0.00487499999999996,0.014691,0,0.800826,0.751005,0.788283,0.748766,0.813445
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.695456,0.698627,0.692428,0.756086,0.761393,0,0,0,0,0,0,0,0,0,0,0.831548,0.771975,0.835235,0.834956,0.836822,0,0,0,0,0,0,0,0,0,0,0.960088,0.959573,0.944602,0.959807,0.960185,0,0,0,0,0,0,0,0,0,0,0.956624,0.946838,0.957738,0.94761,0.937899,0,0,0,0,0,0,0,0,0,0,0.912357,0.978771,0.892473,0.902186,0.88944,0,0,0,0,0,0.593156,0.514273,0.655007,0.498608,0.542494
0.433882,0.607481,0.683599,0.66607,0.674659,0.817454,0.806728,0.830969,0.841464,0.812562,0.779404,0.812775,0.764315,0.845603,0.838678,0.282847,0.327568,0.25183,0.201125,0.326171,0.949186,0.965108,0.945108,1,0.995107,0,0,0,0,0,0.734925,0.734341,0.728677,0.726289,0.753575,0,0,0,0,0,0,0,0,0,0,0.219457,0.06614,0.335409,0.346734,0.078186,0,0,0,0,0,0,0,0,0,0,0.86089,0.933131,0.926895,0.871976,0.638863,1,1,1,1,1,0,0,0,0,0,1,1,1,0.833257,1,0,0,0,0,0,0.08017,0.084628,0.0806,0.0943619999999999,0.083307
0.985995,0.971379,0.985236,0.944417,0.986619,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.995294,0.981739,0.996188,0.995772,0.98162,0,0,0,0,0,0,0,0,0,0,0.988632,0.98868,0.98919,0.988569,0.962378,0,0,0,0,0,0,0,0,0,0,0.933818,0.92272,0.924593,0.922973,0.92354,0,0,0,0,0,0,0,0,0,0,0.89069,0.859662,0.838264,0.902365,0.895563,0,0,0,0,0,0.064541,0.0723549999999999,0.08226,0.07752,0.074236
0.794297,0.780804,0.774187,0.745564,0.76686,0,0,0,0,0,0,0,0,0,0,0.978417,0.97824,0.97879,0.978835,0.978995,0,0,0,0,0,0,0,0,0,0,0.978954,0.977973,0.977607,0.959753,0.978355,0,0,0,0,0,0,0,0,0,0,0.994129,0.994167,0.955949,0.97543,0.97458,0,0,0,0,0,0,0,0,0,0,0.988283,0.994366,0.994986,0.981014,0.990085,0,0,0,0,0,0,0,0,0,0,0.587607,0.601351,0.552024,0.657192,0.411746,0.861441,0.87876,0.885902,0.854601,0.862987,0,0,0,0,0
0.750008,0.578377,0.851978,0.719253,0.759394,0,0,0,0,0,0.799553,0.797175,0.834184,0.807125,0.848495,0.977371,0.974294,0.965097,0.988686,0.974009,0,0,0,0,0,0,0,0,0,0,0.991079,0.976622,0.97569,1,1,1,0.999451,0.999805,0.62052,0.751509,0,0,0,0,0,0.988708,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0.999957,1,0.99969,1,0.762242,0,0,0,0,0,0.86556,0.816646,0.755079,0.627132,0.702206,0,0,0,0,0,0,0,0,0,0
0.953081,0.936036,0.952419,0.936219,0.953687,0,0,0,0,0,0.060307,0.063353,0.070374,0.060164,0.063971,0.768393,0.820123,0.886401,0.794107,0.753937,0,0,0,0,0,0,0,0,0,0,0.997521,0.997436,1,0.968826,0.997299,0,0,0,0,0,0,0,0,0,0,0.968202,0.972524,0.986559,0.972912,0.996467,1,1,0.993069,0.99321,1,0,0,0,0,0,0.930853,0.951203,0.941133,0.940923,0.932326,0,0,0,0,0,0,0,0,0,0,0.857056,0.769288,0.662317,0.797677,0.770932,0,0,0,0,0,0,0,0,0,0
0.792866,0.792642,0.763167,0.784555,0.769215,0.574981,0.561323,0.576299,0.567809,0.588813,0,0,0,0,0,0.970007,0.95703,0.971387,0.957708,0.958466,0,0,0,0,0,0,0,0,0,0,0.969405,1,0.983497,1,0.997732,0,0,0,0,0,0,0,0,0,0,0.999694,0.999893,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.846501,0.844968,0.906885,0.847721,0.912774,0,0,0,0,0,0,0,0,0,0
0.871726,0.846805,0.811301,0.845792,0.827482,0,0,0,0,0,0,0,0,0,0,0.965796,0.953406,0.997338,1,1,0.476942,0.445409,0.455612,0.449512,0.409957,0,0,0,0,0,0.992274,0.992326,0.977937,0.992271,0.977951,0,0,0,0,0,0,0,0,0,0,0.963169,0.963556,0.963156,0.962835,0.963192,0,0,0,0,0,0,0,0,0,0,0.857759,0.859813,0.891055,0.858801,0.875907,0,0,0,0,0,0,0,0,0,0,0.653305,0.887709,0.779313,0.845592,0.724564,0,0,0,0,0,0.00671999999999995,0.00778299999999998,0.007691,0.009185,0.00794399999999995
0.966813,0.941295,0.930946,0.911057,0.944527,0,0,0,0,0,0.015198,0.012262,0.012812,0.014575,0.0151019999999999,0.91833,0.887128,0.916625,0.92996,0.981441,0,0,0,0,0,1,0.996798,1,1,0.996798,0.881067,0.87049,0.859529,0.871103,0.868078,0,0,0,0,0,1,1,1,1,1,0.925113,0.96199,0.941469,0.963915,0.942105,0.953617,0.954899,0.935391,0.974037,0.95476,1,1,1,1,1,0.903389,0.890822,0.892199,0.924285,0.888774,0,0,0,0,0,1,0.984952,0.990349,1,1,0.789593,0.655282,0.786661,0.846671,0.71073,0.911118,0.8917,0.923418,0.910281,0.912902,0.044306,0.041443,0.044885,0.041919,0.045859
