"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.996,970,100,99.559
"2","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.571,0,100,0
"3","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.651,0,100,0
"4","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.74,10,75,98.96
"5","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.591,0,100,0
"6","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.49,379,50,99.04
"7","GLM_Full_PA1","GLM","Full","PA1","TSS",0.989,869,100,98.918
"8","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.889,495,91.667,97.2
"9","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.949,0,100,0
"10","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.909,783,91.667,99.28
"11","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.786,495,84,94.636
"12","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.701,874,70.833,99.28
"13","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.963,60,98.039,98.197
"14","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.988,144,100,98.8
"15","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.971,30,100,97.12
"16","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.977,30,100,97.6
"17","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.955,0,100,0
"18","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.86,0,100,0
