"","Model.name","Algo","Run","Dataset","Eval.metric","Testing.data","Cutoff","Sensitivity","Specificity"
"1","GAM_Full_PA1","GAM","Full","PA1","TSS",0.814,556,94.737,86.466
"2","GAM_Full_PA2","GAM","Full","PA2","TSS",0.82,556,95.301,86.654
"3","GAM_RUN1_PA1","GAM","RUN1","PA1","TSS",0.733,500,92.857,80.435
"4","GAM_RUN1_PA2","GAM","RUN1","PA2","TSS",0.747,268,97.857,76.812
"5","GAM_RUN10_PA1","GAM","RUN10","PA1","TSS",0.719,410,94.245,77.698
"6","GAM_RUN10_PA2","GAM","RUN10","PA2","TSS",0.769,470,90.071,86.861
"7","GAM_RUN2_PA1","GAM","RUN2","PA1","TSS",0.764,271,97.826,78.571
"8","GAM_RUN2_PA2","GAM","RUN2","PA2","TSS",0.698,389,90.647,79.137
"9","GAM_RUN3_PA1","GAM","RUN3","PA1","TSS",0.778,687,93.478,84.286
"10","GAM_RUN3_PA2","GAM","RUN3","PA2","TSS",0.79,389,95.745,83.212
"11","GAM_RUN4_PA1","GAM","RUN4","PA1","TSS",0.821,383,96.377,85.714
"12","GAM_RUN4_PA2","GAM","RUN4","PA2","TSS",0.761,384,95.714,80.435
"13","GAM_RUN5_PA1","GAM","RUN5","PA1","TSS",0.805,512,96.429,84.058
"14","GAM_RUN5_PA2","GAM","RUN5","PA2","TSS",0.686,444,91.971,76.596
"15","GAM_RUN6_PA1","GAM","RUN6","PA1","TSS",0.747,545,92.857,81.884
"16","GAM_RUN6_PA2","GAM","RUN6","PA2","TSS",0.733,626,92.143,81.159
"17","GAM_RUN7_PA1","GAM","RUN7","PA1","TSS",0.734,136,97.842,75.54
"18","GAM_RUN7_PA2","GAM","RUN7","PA2","TSS",0.768,202,95.035,81.752
"19","GAM_RUN8_PA1","GAM","RUN8","PA1","TSS",0.655,217,87.77,77.698
"20","GAM_RUN8_PA2","GAM","RUN8","PA2","TSS",0.737,242,95.07,78.676
"21","GAM_RUN9_PA1","GAM","RUN9","PA1","TSS",0.799,419,96.403,83.453
"22","GAM_RUN9_PA2","GAM","RUN9","PA2","TSS",0.747,71,95.714,78.986
"23","GLM_Full_PA1","GLM","Full","PA1","TSS",0.773,495,96.805,80.451
"24","GLM_Full_PA2","GLM","Full","PA2","TSS",0.75,434,97.18,77.82
"25","GLM_RUN1_PA1","GLM","RUN1","PA1","TSS",0.769,444,97.143,79.71
"26","GLM_RUN1_PA2","GLM","RUN1","PA2","TSS",0.739,356,97.857,76.087
"27","GLM_RUN10_PA1","GLM","RUN10","PA1","TSS",0.705,285,94.964,75.54
"28","GLM_RUN10_PA2","GLM","RUN10","PA2","TSS",0.767,443,97.163,79.562
"29","GLM_RUN2_PA1","GLM","RUN2","PA1","TSS",0.784,598,90.58,87.857
"30","GLM_RUN2_PA2","GLM","RUN2","PA2","TSS",0.727,379,95.683,76.978
"31","GLM_RUN3_PA1","GLM","RUN3","PA1","TSS",0.8,531,99.275,80.714
"32","GLM_RUN3_PA2","GLM","RUN3","PA2","TSS",0.775,447,94.326,83.212
"33","GLM_RUN4_PA1","GLM","RUN4","PA1","TSS",0.8,486,97.101,82.857
"34","GLM_RUN4_PA2","GLM","RUN4","PA2","TSS",0.776,499,95.714,81.884
"35","GLM_RUN5_PA1","GLM","RUN5","PA1","TSS",0.798,518,96.429,83.333
"36","GLM_RUN5_PA2","GLM","RUN5","PA2","TSS",0.723,361,97.08,75.177
"37","GLM_RUN6_PA1","GLM","RUN6","PA1","TSS",0.754,544,95.714,79.71
"38","GLM_RUN6_PA2","GLM","RUN6","PA2","TSS",0.747,471,98.571,76.087
"39","GLM_RUN7_PA1","GLM","RUN7","PA1","TSS",0.748,235,100,74.82
"40","GLM_RUN7_PA2","GLM","RUN7","PA2","TSS",0.781,234,98.582,79.562
"41","GLM_RUN8_PA1","GLM","RUN8","PA1","TSS",0.755,358,97.122,78.417
"42","GLM_RUN8_PA2","GLM","RUN8","PA2","TSS",0.738,519,93.662,80.147
"43","GLM_RUN9_PA1","GLM","RUN9","PA1","TSS",0.791,425.5,95.683,83.453
"44","GLM_RUN9_PA2","GLM","RUN9","PA2","TSS",0.769,277,97.143,79.71
"45","MAXENT.Phillips_Full_PA1","MAXENT.Phillips","Full","PA1","TSS",0.778,180,96.241,81.579
"46","MAXENT.Phillips_Full_PA2","MAXENT.Phillips","Full","PA2","TSS",0.791,344,86.09,92.857
"47","MAXENT.Phillips_RUN1_PA1","MAXENT.Phillips","RUN1","PA1","TSS",0.754,210,95,79.71
"48","MAXENT.Phillips_RUN1_PA2","MAXENT.Phillips","RUN1","PA2","TSS",0.704,60,95.714,74.638
"49","MAXENT.Phillips_RUN10_PA1","MAXENT.Phillips","RUN10","PA1","TSS",0.655,99,82.014,83.453
"50","MAXENT.Phillips_RUN10_PA2","MAXENT.Phillips","RUN10","PA2","TSS",0.783,109,93.617,84.672
"51","MAXENT.Phillips_RUN2_PA1","MAXENT.Phillips","RUN2","PA1","TSS",0.777,319,91.304,85.714
"52","MAXENT.Phillips_RUN2_PA2","MAXENT.Phillips","RUN2","PA2","TSS",0.734,139,91.367,82.014
"53","MAXENT.Phillips_RUN3_PA1","MAXENT.Phillips","RUN3","PA1","TSS",0.799,369,95.652,84.286
"54","MAXENT.Phillips_RUN3_PA2","MAXENT.Phillips","RUN3","PA2","TSS",0.71,50,92.908,78.102
"55","MAXENT.Phillips_RUN4_PA1","MAXENT.Phillips","RUN4","PA1","TSS",0.792,139,97.101,81.429
"56","MAXENT.Phillips_RUN4_PA2","MAXENT.Phillips","RUN4","PA2","TSS",0.683,40,91.429,77.536
"57","MAXENT.Phillips_RUN5_PA1","MAXENT.Phillips","RUN5","PA1","TSS",0.747,210,93.571,81.159
"58","MAXENT.Phillips_RUN5_PA2","MAXENT.Phillips","RUN5","PA2","TSS",0.643,0,100,0
"59","MAXENT.Phillips_RUN6_PA1","MAXENT.Phillips","RUN6","PA1","TSS",0.725,109,96.429,76.087
"60","MAXENT.Phillips_RUN6_PA2","MAXENT.Phillips","RUN6","PA2","TSS",0.042,304,7.143,97.101
"61","MAXENT.Phillips_RUN7_PA1","MAXENT.Phillips","RUN7","PA1","TSS",0.734,50,100,73.381
"62","MAXENT.Phillips_RUN7_PA2","MAXENT.Phillips","RUN7","PA2","TSS",0.753,124,95.745,79.562
